source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Агуулахын туслах,Цахиур ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Бусад,"цаг баримталдаг байх | ачаа барааг өргөх, зөөх биеийн хүчний чадвартай байх | хариуцлагатай, муу зуршилгүй | тогтвортой хамтран ажиллах чадвартай | 20-30 настай"
Zangia,Хуульч,Энто ХХК,2500000,3000000,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"эрх зүйч аль эсвэл хуульч мэргэжилтэй /хуульчийн сонгон шалгаруулалтад тэнцсэн/ | мэргэжлээрээ 1-2 жил ажилласан туршлагатай | англи хэлээр бичигдсэн баримт бичиг дээр ажиллах чадвартай | компанийн эрх зүйн  мэдлэгтэй | хувийн компанид ажилласан туршлагатай, эсвэл шүүгчийн туслах хийж байсан байж болно | дүрэм журам, бодлогын бичиг баримт боловсруулах, хянах, тайлбарлан таниулах чадвартай"
Zangia,Нярав (Багануур),Сайн Интернэшнл ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатай | оффисын хэрэглээний программ дээр ажиллах чадвартай | эмх цэгцтэй, нягт нямбай | хариуцлага хүлээх чадвартай"
Zangia,Борлуулалтын ахлах менежер,Очирдагинас,3000000,3500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бизнес хөгжлийн менежер,"боловсрол: бизнесийн удирдлага, маркетинг, менежмент чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | туршлага: борлуулалтын чиглэлээр 3-аас дээш жил ажилласан туршлагатай | ур чадвар: баг удирдах, гүйцэтгэлийг хянах, стратеги боловсруулах чадвартай | харилцааны чадвар сайтай, шийдвэр гаргах чадвартай | 30-аас дээш насны эрэгтэй"
Zangia,Цэвэрлэгээ үйлчилгээний менежер,Милленниум плаза,2100000,2500000,,Менежмент,6,Менежер / Супервайзор,Бусад,аялал жуучлал болон зочид буудал зоогийн газрын менежментээр бакалавр болон түүнээс дээш зэрэгтэй | салбартаа өсөн дэвших хүсэл тэмүүлэлтэй | удирдан зохион байгуулах чадвартай | тогтвор суурьшилтай ажиллах | зочид буудлын менежерээр ажиллаж байсан туршлагатай бол давуу тал болно
Zangia,Хувийн туслах,БОСА Холдинг ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,хувийн туслахаар ажиллаж байсан туршлагатай | багаар болон бие даан ажиллах чадвартай | харилцааны өндөр ур чадвартай | зохион байгуулалт хийх чадвартай | эмэгтэй
Zangia,Мерчиндайзер,БОСА КОНДИТЕР ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Бусад,"худалдааны салбарын талаар мэдлэгтэй байх | шинийг санаачлах, хөгжүүлэх сэтгэлгээ сайтай | идэвхи санаачлагатай | харилцааны соёлтой, зөв хандлагатай"
Zangia,Чанарын менежер,МонФүүдЛанд ХХК,1800000,2100000,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"хүнсний технологи, чанарын менежмент болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх | чанарын удирдлагын системд ажилласан туршлагатай байх | стандарт, дүрэм, журамтай сайн танилцсан байх | ажлын үр дүнг хэмжих, анализ хийх чадвартай байх | багийн ажил хийх, харилцааны өндөр чадвартай байх | судалгаа, шинжилгээ хийх, мэдээлэл боловсруулах чадвартай байх | хүнсний үйлдвэрт ажиллаж байсан бол давуу тал болно"
Zangia,Ээлжийн тогооч /ресторанд/,Зулзаган Дөл ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"хүнсний технологи, үйлдвэрлэлийн чиглэлээр төгссөн | ресторанд 1-ээс дээш жил ажилласан туршлагатай | цаашид тогтвор суурьшилтай ажиллах хүсэлтэй | багаар ажиллах, манлайлах чадвартай | хувийн зохион байгуулалт сайтай"
Zangia,Нягтлан бодогч,Үнэт санхүүгийн нэгдэл,2100000,2500000,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"нягтлан бодох бүртгэл, санхүүгийн чиглэлээр мэргэжил эзэмшсэн | хариуцлагатай | хурдтай"
