category,category_min_salary,category_max_salary,job_title,job_min_salary,job_max_salary,job_average_salary,salary_range,job_url
Administration,1026907,2299568,Administrative Worker,961523,2034023,1497773.0,1072500,https://www.paylab.com/mn/salaryinfo/administration/administrative-worker?lang=en
Administration,1026907,2299568,"Archivist, Registry Administrator",836456,2185851,1511153.5,1349395,https://www.paylab.com/mn/salaryinfo/administration/archivist-registry-administrator?lang=en
Administration,1026907,2299568,Assistant,1046181,2094383,1570282.0,1048202,https://www.paylab.com/mn/salaryinfo/administration/assistant?lang=en
Administration,1026907,2299568,CSR specialist,1385029,2825710,2105369.5,1440681,https://www.paylab.com/mn/salaryinfo/administration/csr-specialist?lang=en
Administration,1026907,2299568,Call Operator,1046153,2000264,1523208.5,954111,https://www.paylab.com/mn/salaryinfo/administration/call-operator?lang=en
Administration,1026907,2299568,Chief Receptionist Officer,1105777,2238338,1672057.5,1132561,https://www.paylab.com/mn/salaryinfo/administration/chief-receptionist-officer?lang=en
Administration,1026907,2299568,Contract administrator,1310345,2742645,2026495.0,1432300,https://www.paylab.com/mn/salaryinfo/administration/contract-administrator?lang=en
Administration,1026907,2299568,Data Entry Operator,774036,1855961,1314998.5,1081925,https://www.paylab.com/mn/salaryinfo/administration/data-entry-operator?lang=en
Administration,1026907,2299568,Data entry operator,880964,1953572,1417268.0,1072608,https://www.paylab.com/mn/salaryinfo/administration/data-entry-operator?lang=en
Administration,1026907,2299568,"Diversity, Equity and Inclusion Manager",1614510,3293892,2454201.0,1679382,https://www.paylab.com/mn/salaryinfo/administration/diversity-equity-and-inclusion-manager?lang=en
Administration,1026907,2299568,Office Manager,1056794,2858031,1957412.5,1801237,https://www.paylab.com/mn/salaryinfo/administration/office-manager?lang=en
Administration,1026907,2299568,Procurement specialist,1095104,2949989,2022546.5,1854885,https://www.paylab.com/mn/salaryinfo/administration/procurement-specialist?lang=en
Administration,1026907,2299568,Project Assistant,1227876,2344307,1786091.5,1116431,https://www.paylab.com/mn/salaryinfo/administration/project-assistant?lang=en
