Gender,Category,Year,value
Бүгд,Улсын дундаж,2024,2332.4
Бүгд,Менежер,2024,3037.5
Бүгд,Мэргэжилтэн,2024,2622.0
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2024,2470.2
Бүгд,"Контор, үйлчилгээний ажилтан",2024,2274.3
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2024,1465.0
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1254.4
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,2224.8
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2768.3
Бүгд,"Энгийн ажил, мэргэжил",2024,1499.4
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2024,2504.1
Эмэгтэй,Улсын дундаж,2024,2077.1
Эмэгтэй,Менежер,2024,2689.7
Эмэгтэй,Мэргэжилтэн,2024,2398.1
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2024,2263.3
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2024,2063.4
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2024,1346.8
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1340.7
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,1643.0
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2669.6
Эмэгтэй,"Энгийн ажил, мэргэжил",2024,1378.8
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2024,2374.3
Эрэгтэй,Улсын дундаж,2024,2576.9
Эрэгтэй,Менежер,2024,3344.5
Эрэгтэй,Мэргэжилтэн,2024,3081.7
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2024,2706.3
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2024,2738.1
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2024,1622.0
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1206.5
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,2378.2
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2775.9
Эрэгтэй,"Энгийн ажил, мэргэжил",2024,1633.4
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2024,2536.7
