source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Агуулахын туслах,Цахиур ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Бусад,"цаг баримталдаг байх | ачаа барааг өргөх, зөөх биеийн хүчний чадвартай байх | хариуцлагатай, муу зуршилгүй | тогтвортой хамтран ажиллах чадвартай | 20-30 настай"
Zangia,Хувийн туслах,БОСА Холдинг ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,хувийн туслахаар ажиллаж байсан туршлагатай | багаар болон бие даан ажиллах чадвартай | харилцааны өндөр ур чадвартай | зохион байгуулалт хийх чадвартай | эмэгтэй
Zangia,Мерчиндайзер,БОСА КОНДИТЕР ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Бусад,"худалдааны салбарын талаар мэдлэгтэй байх | шинийг санаачлах, хөгжүүлэх сэтгэлгээ сайтай | идэвхи санаачлагатай | харилцааны соёлтой, зөв хандлагатай"
Zangia,"Архив, бичиг хэрэг хариуцсан ажилтан",Сайн Интернэшнл ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,"архив, бичиг хэргийн чиглэлээр сурч төгссөн; | мэргэжлээрээ 2-с дээш жил ажилласан туршлагатай байх; | эмх цэгцтэй нямбай, баримт бичиг боловсруулах чадвартай; | хариуцлагатай, тууштай зан чанартай; | тогтвор суурьшилтай ажиллах"
Zangia,Ресейпшн,Монголын Алт (МАК) ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Захиргааны ажилтан,"бизнесийн удирдлага, олон улсын харилцаа, бичиг хэрэг хөтлөлт болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй; | оффис менежмент, мэдээлэл харилцааны чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно; | англи хэлний дундаас дээш түвшний мэдлэгтэй; | эерэг хандлагатай, харилцааны өндөр соёлтой; | төлөвлөх, тайлагнах чадвартай; | царайны зөв дүр төрхтэй;"
Zangia,Худалдааны зөвлөх,Ононо энд ко Монгол ХХК,1800000,2100000,,Ажилтан,2,Ажилтан,Бусад,"цаг сайн барьдаг | үнэнч, тууштай ажиллах | хариуцлагатай байх"
Zangia,Утасны оператор,Сайн Интернэшнл ХХК,3000000,3500000,,Ажилтан,2,Ажилтан,Бусад,"хэрэглээний програмууд дээр ажиллах чадвартай; | хүлээцтэй, асуудлыг хурдан хугацаанд шийдвэрлэх чадвартай; | харилцааны болон багаар ажиллах чадвартай; | аливаа зүйлд хүлээцтэй ханддаг, асуудлыг шийдвэрлэх чадвартай | 10 хуруугаар хурдан шивдэг бол давуу талтай"
Zangia,Утасны оператор,Сайн Моторс ХХК,3000000,3500000,,Ажилтан,2,Ажилтан,Бусад,"компьютерын хэрэглээний програмууд дээр ажиллах чадвартай | харилцааны соёлтой, хариуцлагатай | асуудлыг шийдвэрлэх, дасан зохицох чадвартай | харилцагчийн үйлчилгээ, борлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно"
Zangia,"Хөтөч, бүртгэл мэдээллийн ажилтан",Грандмед эмнэлэг,1500000,1800000,,Ажилтан,2,Ажилтан,Захиргааны ажилтан,"хувийн зохион байгуулалт сайтай | харилцааны соёлтой | зөв хандлагатай, эерэг | тогтвор суурьшилтай сурч хөгжин ажиллах | англи хэлний дунд болон дундаас дээш түвшинтэй."
Zangia,Жолооч,Мишел Амазонка,2100000,2500000,,Ажилтан,2,Ажилтан,Бусад,"цаг баримталдаг, хувийн зохион байгуулалттай | хариуцлагатай | харилцааны соёлтой | багаар ажиллах чадвартай | нягт, нямбай, цэвэрч | 25-аас дээш насны"
