source,job
Zangia,"{'name': 'Агуулахын туслах', 'company': 'Цахиур ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'цаг баримталдаг байх', 'details': None}, {'name': 'ачаа барааг өргөх, зөөх биеийн хүчний чадвартай байх', 'details': None}, {'name': 'хариуцлагатай, муу зуршилгүй', 'details': None}, {'name': 'тогтвортой хамтран ажиллах чадвартай', 'details': None}, {'name': '20-30 настай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Хувийн туслах', 'company': 'БОСА Холдинг ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'хувийн туслахаар ажиллаж байсан туршлагатай', 'details': None}, {'name': 'багаар болон бие даан ажиллах чадвартай', 'details': None}, {'name': 'харилцааны өндөр ур чадвартай', 'details': None}, {'name': 'зохион байгуулалт хийх чадвартай', 'details': None}, {'name': 'эмэгтэй', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Ажилтан', 'job_category': 'Захиргааны ажилтан'}"
Zangia,"{'name': 'Мерчиндайзер', 'company': 'БОСА КОНДИТЕР ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'худалдааны салбарын талаар мэдлэгтэй байх', 'details': None}, {'name': 'шинийг санаачлах, хөгжүүлэх сэтгэлгээ сайтай', 'details': None}, {'name': 'идэвхи санаачлагатай', 'details': None}, {'name': 'харилцааны соёлтой, зөв хандлагатай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Архив, бичиг хэрэг хариуцсан ажилтан', 'company': 'Сайн Интернэшнл ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'архив, бичиг хэргийн чиглэлээр сурч төгссөн;', 'details': None}, {'name': 'мэргэжлээрээ 2-с дээш жил ажилласан туршлагатай байх;', 'details': None}, {'name': 'эмх цэгцтэй нямбай, баримт бичиг боловсруулах чадвартай;', 'details': None}, {'name': 'хариуцлагатай, тууштай зан чанартай;', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Ажилтан', 'job_category': 'Захиргааны ажилтан'}"
Zangia,"{'name': 'Ресейпшн', 'company': 'Монголын Алт (МАК) ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'бизнесийн удирдлага, олон улсын харилцаа, бичиг хэрэг хөтлөлт болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй;', 'details': None}, {'name': 'оффис менежмент, мэдээлэл харилцааны чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно;', 'details': None}, {'name': 'англи хэлний дундаас дээш түвшний мэдлэгтэй;', 'details': None}, {'name': 'эерэг хандлагатай, харилцааны өндөр соёлтой;', 'details': None}, {'name': 'төлөвлөх, тайлагнах чадвартай;', 'details': None}, {'name': 'царайны зөв дүр төрхтэй;', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Захиргааны ажилтан'}"
Zangia,"{'name': 'Худалдааны зөвлөх', 'company': 'Ононо энд ко Монгол ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'цаг сайн барьдаг', 'details': None}, {'name': 'үнэнч, тууштай ажиллах', 'details': None}, {'name': 'хариуцлагатай байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Утасны оператор', 'company': 'Сайн Интернэшнл ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'хэрэглээний програмууд дээр ажиллах чадвартай;', 'details': None}, {'name': 'хүлээцтэй, асуудлыг хурдан хугацаанд шийдвэрлэх чадвартай;', 'details': None}, {'name': 'харилцааны болон багаар ажиллах чадвартай;', 'details': None}, {'name': 'аливаа зүйлд хүлээцтэй ханддаг, асуудлыг шийдвэрлэх чадвартай', 'details': None}, {'name': '10 хуруугаар хурдан шивдэг бол давуу талтай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Утасны оператор', 'company': 'Сайн Моторс ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'компьютерын хэрэглээний програмууд дээр ажиллах чадвартай', 'details': None}, {'name': 'харилцааны соёлтой, хариуцлагатай', 'details': None}, {'name': 'асуудлыг шийдвэрлэх, дасан зохицох чадвартай', 'details': None}, {'name': 'харилцагчийн үйлчилгээ, борлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Хөтөч, бүртгэл мэдээллийн ажилтан', 'company': 'Грандмед эмнэлэг', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': None, 'requirements': [{'name': 'хувийн зохион байгуулалт сайтай', 'details': None}, {'name': 'харилцааны соёлтой', 'details': None}, {'name': 'зөв хандлагатай, эерэг', 'details': None}, {'name': 'тогтвор суурьшилтай сурч хөгжин ажиллах', 'details': None}, {'name': 'англи хэлний дунд болон дундаас дээш түвшинтэй.', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Захиргааны ажилтан'}"
Zangia,"{'name': 'Жолооч', 'company': 'Мишел Амазонка', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'цаг баримталдаг, хувийн зохион байгуулалттай', 'details': None}, {'name': 'хариуцлагатай', 'details': None}, {'name': 'харилцааны соёлтой', 'details': None}, {'name': 'багаар ажиллах чадвартай', 'details': None}, {'name': 'нягт, нямбай, цэвэрч', 'details': None}, {'name': '25-аас дээш насны', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Ажилтан', 'job_category': 'Бусад'}"
