source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Үйл ажиллагааны менежер,Южинтек Өү Юу Жи ХХК,2100000,2500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Zangia,Функциональ шинжээч,Скай Хайпермаркет ХХК,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Систем хөгжүүлэгч,Боловсрол | Туршлага
Zangia,Хороололд коллежид сантехникийн багш ажилд авна,Монголын Үндэсний Их Сургууль,1800000,2100000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Туршлага
Zangia,Борлуулалт хариуцсан менежер /Харүмафүжи ферм/,Ерөнхий боловсролын Шинэ Монгол Харүмафүжи сургууль,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Ур чадварууд | Ур чадварууд
Zangia,Зээлийн эдийн засагч,Мандал Даатгал ХК,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Хэлний мэдлэг
Zangia,АВТОМАТЖУУЛАЛТЫН ИНЖЕНЕР /ХҮНС ҮЙЛДВЭРЛЭЛ/,Грийн Групп,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Туршлага | Мэдлэг
Zangia,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ / ХУВЬДАА МАШИНТАЙ/,Грийн Групп,5000000,5500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Туршлага | Тусгай шаардлага | Тусгай шаардлага
Zangia,Авто засварчин,ТОП АВТО СЕРВИС,3500000,4000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Туршлага
Zangia,Хүний нөөцийн менежер,Эс Ар Трэйд ХХК,2100000,2500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Мэргэшил | Ур чадварууд
Zangia,Үл хөдлөх хөрөнгийн Агент /REAL ESTATE AGENT/PRIME,РЕМАКС Платин,4500000,5000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Хандлага | Боловсрол | Ур чадварууд
Zangia,Үл хөдлөх хөрөнгийн Агент /REAL ESTATE AGENT/PRIME,РЕМАКС Платин,4500000,5000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Хандлага | Боловсрол | Ур чадварууд
Zangia,Харилцааны менежер /Олон улсын банкны газар/,Худалдаа хөгжлийн банк,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Zangia,Нягтлан бодогч,Говь Инфрастракчер Партнерс,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Туршлага | Мэдлэг
Zangia,Эрсдэлийн мэргэжилтэн-Картын эрсдэл,Голомт Банк,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Мэргэшил
Zangia,Бизнес аналист- Дижитал банкны газар,Голомт Банк,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Хэлний мэдлэг
Zangia,ТООЦООНЫ НЯГТЛАН БОДОГЧ,Таван Богд Интернэйшнл ХХК,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Ур чадварууд | Туршлага
Zangia,ЦАХИЛГААНЫ ИНЖЕНЕР-БАРИЛГА,ИНЭЛ ХХК,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бусад,Боловсрол | Туршлага | Туршлага
Zangia,Комплаенсийн мэргэжилтэн,Голомт Банк,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага
Zangia,Бүтээгдэхүүний менежер,Берлин-Химиэ Менарини Монголиа ХХК,5000000,5500000,,Мэргэжилтэн,4,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар
