source,job
Zangia,"{'name': 'Үйл ажиллагааны менежер', 'company': 'Южинтек Өү Юу Жи ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Бакалаврын зэрэгтэй, бизнесийн удирдлага, менежмент, бусад холбогдох чиглэлээр'}, {'name': 'Хэлний мэдлэг', 'details': 'Солонгос хэлтэй /бичгийн болон ярианы өндөр чадвартай/'}, {'name': 'Туршлага', 'details': 'Кино театр, түргэн хоолны үйлчилгээний чиглэлээр ажилласан туршлагатай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бизнес хөгжлийн менежер'}"
Zangia,"{'name': 'Функциональ шинжээч', 'company': 'Скай Хайпермаркет ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Программ хангамж, мэдээллийн системийн чиглэлээр бакалавр зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Хүргэлт болон тээврийн менежментийн систем дээр ажиллаж байсан туршлагатай бол давуу тал болно'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Систем хөгжүүлэгч'}"
Zangia,"{'name': 'Хороололд коллежид сантехникийн багш ажилд авна', 'company': 'Монголын Үндэсний Их Сургууль', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Сантехник, инженерийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Боловсролын салбарт ажиллаж байсан туршлагатай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Борлуулалт хариуцсан менежер /Харүмафүжи ферм/', 'company': 'Ерөнхий боловсролын Шинэ Монгол Харүмафүжи сургууль', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Ур чадварууд', 'details': 'Сошиал медиа хөгжүүлэх, хөтлөх чадвартай'}, {'name': 'Ур чадварууд', 'details': 'Борлуулалтын төлөвлөгөө, тайлан гаргах чадвартай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бизнес хөгжлийн менежер'}"
Zangia,"{'name': 'Зээлийн эдийн засагч', 'company': 'Мандал Даатгал ХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Бизнесийн удирдлага, банк, санхүү, даатгал чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Банк санхүү, даатгалын салбарт тус чиглэлээр ажилласан туршлагатай байх'}, {'name': 'Хэлний мэдлэг', 'details': 'Англи хэлний ярианы болон бичгийн чадвар дундаас дээш'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Санхүүгийн шинжээч'}"
Zangia,"{'name': 'АВТОМАТЖУУЛАЛТЫН ИНЖЕНЕР /ХҮНС ҮЙЛДВЭРЛЭЛ/', 'company': 'Грийн Групп', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Цахилгаан, автоматжуулалтын инженер, үйлдвэрлэлийн автоматжуулалт чиглэлээр баклавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Мэргэжилээрээ 2-с доошгүй жил ажилласан туршлагатай'}, {'name': 'Мэдлэг', 'details': 'Үйлдвэрийн автоматжуулалтын программ хангамжийн мэдлэгтэй'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ / ХУВЬДАА МАШИНТАЙ/', 'company': 'Грийн Групп', 'min_salary': 5000000, 'max_salary': 5500000, 'bonus': None, 'requirements': [{'name': 'Туршлага', 'details': 'Худалдаа, нийлүүлэлт, борлуулалтын чиглэлээр 2 болон түүнээс дээш жил ажилласан туршлагатай'}, {'name': 'Тусгай шаардлага', 'details': 'Барьцаа шийдэх боломжтой байх'}, {'name': 'Тусгай шаардлага', 'details': 'Ажлын 6 өдрөөр ажиллах боломжтой байх'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Авто засварчин', 'company': 'ТОП АВТО СЕРВИС', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Механик инженер, автын чиглэлээр их дээд сургууль төгссөн дипломтой эсвэл мэргэжлийн үнэмлэхтэй байх'}, {'name': 'Туршлага', 'details': '2 хүртэлх жилийн ажлын туршлагатай бол давуу тал болно'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Хүний нөөцийн менежер', 'company': 'Эс Ар Трэйд ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'Мэргэшил', 'details': 'Хүний нөөцийн менежментээр мэргэшсэн байх'}, {'name': 'Ур чадварууд', 'details': 'Timely программ ашиглах чадвартай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Хүний нөөцийн ахлах ажилтан'}"
Zangia,"{'name': 'Үл хөдлөх хөрөнгийн Агент /REAL ESTATE AGENT/PRIME', 'company': 'РЕМАКС Платин', 'min_salary': 4500000, 'max_salary': 5000000, 'bonus': None, 'requirements': [{'name': 'Хандлага', 'details': 'Үл хөдлөхийн салбарт сонирхолтой'}, {'name': 'Боловсрол', 'details': 'Дээд боловсролтой'}, {'name': 'Ур чадварууд', 'details': 'Санхүүгийн тооцоолол дүн шинжилгээ хийх чадвартай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Ахисан түвшний мэргэжилтэн', 'job_category': 'Бусад'}"
