source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Борлуулалтын ахлах менежер,Очирдагинас,3000000,3500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бизнес хөгжлийн менежер,"боловсрол: бизнесийн удирдлага, маркетинг, менежмент чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | туршлага: борлуулалтын чиглэлээр 3-аас дээш жил ажилласан туршлагатай | ур чадвар: баг удирдах, гүйцэтгэлийг хянах, стратеги боловсруулах чадвартай | харилцааны чадвар сайтай, шийдвэр гаргах чадвартай | 30-аас дээш насны эрэгтэй"
Zangia,Санхүү дотоод аудитын албаны дарга,Цахиур ХХК,4500000,5000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бусад,"нягтлан бодох бүртгэлийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | мэргэжлээрээ 5-с дээш жил ажилласан туршлагатай | нягтлан бодох бүртгэлийн тухай хууль болон холбогдох бусад хууль журам, стандартын талаар мэдлэгтэй | ажлын хариуцлага сайтай, тогтвор суурьшилтай ажиллах | нягт нямбай, хурдан шаламгай, ёс зүйтэй | удирдан зохион байгуулах чадвартай | мнб тмз зэрэгтэй бол давуу тал болно."
Zangia,Ерөнхий нягтлан бодогч,Росторг ХХК,7000000,7500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,орос хэлний ахисан түвшний мэдлэгтэй; | нягтлан бодох бүртгэлээр бакалавраас дээш зэрэгтэй; | нягтлан бодогчоор 3-с дээш жил ажилласан туршлагатай; | ажлын хариуцлагатай; | харилцааны болон багаар ажиллах ур чадвартай; | санхүүгийн дүн шинжилгээ хийх чадвартай; | санхүүгийн 1с программ эзэмшсэн бол давуу талтай
Zangia,Захиргаа удирдлагын ахлах менежер,"""АМАР ДААТГАЛ"" ХХК",3500000,4000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бусад,"хууль, эрх зүйн чиглэлийн бакалавр болон түүнээс дээш зэрэгтэй | захиргаа, хүний нөөц, эрх зүй, комплаенсийн чиглэлээр 3-аас дээш жил ажилласан байх | хууль эрх зүйн мэдлэгтэй байх | англи хэлний дунд ба түүнээс дээш мэдлэгтэй байх | мэдээлэл, өгөгдлийн анализ хийх чадвартай | багаар ажиллах чадвартай, харилцааны өндөр ур чадвартай | компьютерийн хэрэглээний программуудыг эзэмшсэн байх | асуудлыг шийдвэрлэх, логик сэтгэлгээтэй байх | ажлын ачаалал даах чадвартай, цагийн менежментийн чадвартай | байгууллагын дотоод журам, стандартуудыг мэддэг байх"
Zangia,Борлуулалт хариуцсан менежер,Цэцэгт Мэндчилгээ ХХК,3000000,3500000,,Менежмент,7,Ахлах менежер / Нэгжийн удирдлага,Бусад,"бизнесийн удирдлага, маркетинг борлуулалт, бусад чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | худалдаа борлуулалтын салбарт 2-с доошгүй жил ажиллаж байсан туршлагатай | борлуулалт хийх, борлуулалт өсгөн нэмэгдүүлэх арга техник, мэдлэг туршлага хуримтлуулсан | судалгаа дүн шинжилгээ хийж боловсруулах, тайлагнах ур чадвартай | удирдан зохион байгуулах чадвартай | шаардлагатай бичиг боловсруулах, тайлан төлөвлөгөө гаргах түүнийг тайлагнах өндөр ур чадвартай"
Zangia,Сүлжээ дэлгүүр хариуцсан ахлах менежер,Цахиур ХХК,7000000,7500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бусад,"бакалавр болон түүнээс дээш зэрэгтэй, худалдаа, менежмент чиглэлээр | борлуулалтын чиглэлээр 3-5 жил ажилласан туршлагатай | удирдан зохион байгуулах, манлайлагч | багаар ажиллах чадвартай, хувийн зохион байгуулалт сайтай | мэдээллийн технологийн хэрэглээ, харилцааны болон бичгийн өндөр ур чадвартай | орос хэлний ахисан түвшин, англи хэлний дунд түвшний мэдлэгтэй | санал, шийдвэр гаргах чадвартай | стратегийн төлөвлөлт, анализ хийх чадвартай"
Zangia,Ахлах программ хөгжүүлэгч,Номин Холдинг,5000000,5500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ахлах программ хөгжүүлэгч,"мэдээллийн технологийн менежмент, программ хангамж чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх, | мэдээллийн технологийн салбарт 5-аас дээш жил ажилласан ажлын туршлагатай байх | судалгаа шинжилгээ хийх, баримт бичиг боловсруулах, үнэлэлт, дүгнэлт өгөх чадвартай байх | удирдан зохион байгуулах чадвартай байх | англи хэлний ахисан түвшний мэдлэгтэй байх"
Zangia,Ерөнхий нягтлан бодогч,Алтай Групп,4500000,5000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,улсын чанартай их дээд сургуулийг нягтлан бодогч мэргэжлээр төгссөн | санхүүгийн бүх төрлийн тайлан баланс гаргах чадвартай | санхүүгийн албанд удирдах албан тушаал хашиж байсан мэргэжлээрээ 10 болон түүнээс дээш жил ажилласан | тууштай ажиллах хүсэлтэй | асуудалд дүн шинжилгээ хийх чадвартай
Zangia,Маркетингийн ахлах менежер,Алди-Импорт ХХК,3000000,3500000,,Менежмент,7,Ахлах менежер / Нэгжийн удирдлага,Бусад,"маркетинг, бизнесийн удирдлага, эсвэл холбогдох чиглэлээр их дээд сургууль төгссөн | fmcg, импорт, түгээлтийн салбарт 2+ жилийн туршлагатай (давуу тал) | trade marketing, activation, campaign planning-д оролцож байсан туршлагатай | аналитик сэтгэлгээтэй, тоон үзүүлэлтээр ажлаа хэмжиж чаддаг | багтай ажиллах, харилцаа, зохион байгуулалтын чадвар сайн | англи хэлний дундаас дээш түвшний мэдлэгтэй"
Zangia,"Нөөцийн удирдлага, бүтээмжийн ахлах менежер",Улаанбаатар гурил,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Санхүүгийн шинжээч,"санхүүгийн удирдлага, санхүү шинжээч, дата аналист чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | санхүүгийн менежер, санхүүгийн шинжээч чиглэлээр 2-оос дээш жил ажилласан туршлагатай | бизнесийн болон санхүүгийн судалгаа шинжилгээ хийх, мэдээлэл боловсруулах, дүгнэлт гаргах тайлагнах чадвартай | төсөл төлөвлөгөө боловсруулах, процессийн сайжруулалт, бүтээмжийн хэмжилт, kpi тогтоох, гүйцэтгэлийг үнэлэх, дүн шинжилгээ хийх өндөр чадвартай | erp болон нөөцийн удирдлагын систем дээр ажиллах чадвартай | харилцааны өндөр ур чадвартай, багаар ажиллах болон бусдыг удирдан зохион байгуулах чадвартай | англи хэлний бичгийн болон ярианы ахисан түвшний мэдлэгтэй байвал давуу тал болно"
