source,job
Zangia,"{'name': 'Борлуулалтын ахлах менежер', 'company': 'Очирдагинас', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'боловсрол: бизнесийн удирдлага, маркетинг, менежмент чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'туршлага: борлуулалтын чиглэлээр 3-аас дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'ур чадвар: баг удирдах, гүйцэтгэлийг хянах, стратеги боловсруулах чадвартай', 'details': None}, {'name': 'харилцааны чадвар сайтай, шийдвэр гаргах чадвартай', 'details': None}, {'name': '30-аас дээш насны эрэгтэй', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бизнес хөгжлийн менежер'}"
Zangia,"{'name': 'Санхүү дотоод аудитын албаны дарга', 'company': 'Цахиур ХХК', 'min_salary': 4500000, 'max_salary': 5000000, 'bonus': None, 'requirements': [{'name': 'нягтлан бодох бүртгэлийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'мэргэжлээрээ 5-с дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'нягтлан бодох бүртгэлийн тухай хууль болон холбогдох бусад хууль журам, стандартын талаар мэдлэгтэй', 'details': None}, {'name': 'ажлын хариуцлага сайтай, тогтвор суурьшилтай ажиллах', 'details': None}, {'name': 'нягт нямбай, хурдан шаламгай, ёс зүйтэй', 'details': None}, {'name': 'удирдан зохион байгуулах чадвартай', 'details': None}, {'name': 'мнб тмз зэрэгтэй бол давуу тал болно.', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Ерөнхий нягтлан бодогч', 'company': 'Росторг ХХК', 'min_salary': 7000000, 'max_salary': 7500000, 'bonus': None, 'requirements': [{'name': 'орос хэлний ахисан түвшний мэдлэгтэй;', 'details': None}, {'name': 'нягтлан бодох бүртгэлээр бакалавраас дээш зэрэгтэй;', 'details': None}, {'name': 'нягтлан бодогчоор 3-с дээш жил ажилласан туршлагатай;', 'details': None}, {'name': 'ажлын хариуцлагатай;', 'details': None}, {'name': 'харилцааны болон багаар ажиллах ур чадвартай;', 'details': None}, {'name': 'санхүүгийн дүн шинжилгээ хийх чадвартай;', 'details': None}, {'name': 'санхүүгийн 1с программ эзэмшсэн бол давуу талтай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Ерөнхий нягтлан бодогч'}"
Zangia,"{'name': 'Захиргаа удирдлагын ахлах менежер', 'company': '""АМАР ДААТГАЛ"" ХХК', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'хууль, эрх зүйн чиглэлийн бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'захиргаа, хүний нөөц, эрх зүй, комплаенсийн чиглэлээр 3-аас дээш жил ажилласан байх', 'details': None}, {'name': 'хууль эрх зүйн мэдлэгтэй байх', 'details': None}, {'name': 'англи хэлний дунд ба түүнээс дээш мэдлэгтэй байх', 'details': None}, {'name': 'мэдээлэл, өгөгдлийн анализ хийх чадвартай', 'details': None}, {'name': 'багаар ажиллах чадвартай, харилцааны өндөр ур чадвартай', 'details': None}, {'name': 'компьютерийн хэрэглээний программуудыг эзэмшсэн байх', 'details': None}, {'name': 'асуудлыг шийдвэрлэх, логик сэтгэлгээтэй байх', 'details': None}, {'name': 'ажлын ачаалал даах чадвартай, цагийн менежментийн чадвартай', 'details': None}, {'name': 'байгууллагын дотоод журам, стандартуудыг мэддэг байх', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Борлуулалт хариуцсан менежер', 'company': 'Цэцэгт Мэндчилгээ ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'бизнесийн удирдлага, маркетинг борлуулалт, бусад чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'худалдаа борлуулалтын салбарт 2-с доошгүй жил ажиллаж байсан туршлагатай', 'details': None}, {'name': 'борлуулалт хийх, борлуулалт өсгөн нэмэгдүүлэх арга техник, мэдлэг туршлага хуримтлуулсан', 'details': None}, {'name': 'судалгаа дүн шинжилгээ хийж боловсруулах, тайлагнах ур чадвартай', 'details': None}, {'name': 'удирдан зохион байгуулах чадвартай', 'details': None}, {'name': 'шаардлагатай бичиг боловсруулах, тайлан төлөвлөгөө гаргах түүнийг тайлагнах өндөр ур чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Сүлжээ дэлгүүр хариуцсан ахлах менежер', 'company': 'Цахиур ХХК', 'min_salary': 7000000, 'max_salary': 7500000, 'bonus': None, 'requirements': [{'name': 'бакалавр болон түүнээс дээш зэрэгтэй, худалдаа, менежмент чиглэлээр', 'details': None}, {'name': 'борлуулалтын чиглэлээр 3-5 жил ажилласан туршлагатай', 'details': None}, {'name': 'удирдан зохион байгуулах, манлайлагч', 'details': None}, {'name': 'багаар ажиллах чадвартай, хувийн зохион байгуулалт сайтай', 'details': None}, {'name': 'мэдээллийн технологийн хэрэглээ, харилцааны болон бичгийн өндөр ур чадвартай', 'details': None}, {'name': 'орос хэлний ахисан түвшин, англи хэлний дунд түвшний мэдлэгтэй', 'details': None}, {'name': 'санал, шийдвэр гаргах чадвартай', 'details': None}, {'name': 'стратегийн төлөвлөлт, анализ хийх чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Ахлах программ хөгжүүлэгч', 'company': 'Номин Холдинг', 'min_salary': 5000000, 'max_salary': 5500000, 'bonus': None, 'requirements': [{'name': 'мэдээллийн технологийн менежмент, программ хангамж чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх,', 'details': None}, {'name': 'мэдээллийн технологийн салбарт 5-аас дээш жил ажилласан ажлын туршлагатай байх', 'details': None}, {'name': 'судалгаа шинжилгээ хийх, баримт бичиг боловсруулах, үнэлэлт, дүгнэлт өгөх чадвартай байх', 'details': None}, {'name': 'удирдан зохион байгуулах чадвартай байх', 'details': None}, {'name': 'англи хэлний ахисан түвшний мэдлэгтэй байх', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Ахлах программ хөгжүүлэгч'}"
Zangia,"{'name': 'Ерөнхий нягтлан бодогч', 'company': 'Алтай Групп', 'min_salary': 4500000, 'max_salary': 5000000, 'bonus': None, 'requirements': [{'name': 'улсын чанартай их дээд сургуулийг нягтлан бодогч мэргэжлээр төгссөн', 'details': None}, {'name': 'санхүүгийн бүх төрлийн тайлан баланс гаргах чадвартай', 'details': None}, {'name': 'санхүүгийн албанд удирдах албан тушаал хашиж байсан мэргэжлээрээ 10 болон түүнээс дээш жил ажилласан', 'details': None}, {'name': 'тууштай ажиллах хүсэлтэй', 'details': None}, {'name': 'асуудалд дүн шинжилгээ хийх чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Ерөнхий нягтлан бодогч'}"
Zangia,"{'name': 'Маркетингийн ахлах менежер', 'company': 'Алди-Импорт ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'маркетинг, бизнесийн удирдлага, эсвэл холбогдох чиглэлээр их дээд сургууль төгссөн', 'details': None}, {'name': 'fmcg, импорт, түгээлтийн салбарт 2+ жилийн туршлагатай (давуу тал)', 'details': None}, {'name': 'trade marketing, activation, campaign planning-д оролцож байсан туршлагатай', 'details': None}, {'name': 'аналитик сэтгэлгээтэй, тоон үзүүлэлтээр ажлаа хэмжиж чаддаг', 'details': None}, {'name': 'багтай ажиллах, харилцаа, зохион байгуулалтын чадвар сайн', 'details': None}, {'name': 'англи хэлний дундаас дээш түвшний мэдлэгтэй', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Нөөцийн удирдлага, бүтээмжийн ахлах менежер', 'company': 'Улаанбаатар гурил', 'min_salary': 4000000, 'max_salary': 4500000, 'bonus': None, 'requirements': [{'name': 'санхүүгийн удирдлага, санхүү шинжээч, дата аналист чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'санхүүгийн менежер, санхүүгийн шинжээч чиглэлээр 2-оос дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'бизнесийн болон санхүүгийн судалгаа шинжилгээ хийх, мэдээлэл боловсруулах, дүгнэлт гаргах тайлагнах чадвартай', 'details': None}, {'name': 'төсөл төлөвлөгөө боловсруулах, процессийн сайжруулалт, бүтээмжийн хэмжилт, kpi тогтоох, гүйцэтгэлийг үнэлэх, дүн шинжилгээ хийх өндөр чадвартай', 'details': None}, {'name': 'erp болон нөөцийн удирдлагын систем дээр ажиллах чадвартай', 'details': None}, {'name': 'харилцааны өндөр ур чадвартай, багаар ажиллах болон бусдыг удирдан зохион байгуулах чадвартай', 'details': None}, {'name': 'англи хэлний бичгийн болон ярианы ахисан түвшний мэдлэгтэй байвал давуу тал болно', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '8', 'job_level': 'Ахлах менежер / Нэгжийн удирдлага', 'job_category': 'Санхүүгийн шинжээч'}"
