source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Өгөгдлийн баазын админ,Номин Холдинг,4000000.0,4500000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"мэдээллийн технологи, системийн инженерчлэл, бизнесийн удирдлага чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх, | өгөгдлийн шинжилгээний стандарт арга аргачлалыг ашиглаж байсан туршлагатай байх, | sql хэл бүрэн эзэмшсэн powerbi, tableau ашиглаж тайлан, хянах самбар бэлтгэж r хэл дээр ажиллаж байсан ажлын туршлагатай бол давуу тал болно | big data, data analysis, data science сонирхдог өгөгдлийн баазын удирдах системийг удирдах чадвартай байх | тоон шинжилгээ, өгөгдлийн шинжилгээ, статистик судалгаа шинжилгээ хийсэн туршлагатай ms office програмуудыг бүрэн эзэмшсэн байх"
Zangia,Senior system engineer,Дэнцү Дата Артист Монгол ХХК,0.0,0.0,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Систем хөгжүүлэгч,"gcp, aws дээр 1.5 жилээс дээш туршлагатай байх. | програмчлалын аль нэг хэлний мэдлэгтэй байх. (ихэнх төсөл маань python, ts framework, sdk ашиглаж явагддаг) | ai tools ашигладаг байх."
Zangia,Senior AI/ML/ Engineer,Дэнцү Дата Артист Монгол ХХК,0.0,0.0,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Ахлах машин сургалтын инженер,"machine learning, ai, data analyst чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | gcp, aws, openai платформууд дээр 2-оос дээш жил ажиллаж байсан туршлагатай | python дээр дата цэвэрлэх, query бичих, дата бэлтгэж чаддаг байх | ахисан түвшиний англи хэлний мэдлэгтэй байх"
Zangia,Сургалтын зөвлөх,Кэй Эй Майнинг ХХК,3000000.0,3500000.0,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Хүний нөөцийн ажилтан,"менежмент, удирдлага, боловсрол, хүний нөөц мэргэжлээр баклавраас дээш зэрэгтэй | мэргэжлээрээ 3-с дээш жил ажилласан, удирдах ажлын туршлагатай. | судалгаа шинжилгээ, заах арга зүй, удирдах ур чадвартай | харилцааны ур чадвар сайтай | цагийн менежмент зохион байгуулалтын ур чадвартай | компьютерийн хэрэглээний программууд дээр ажиллах чадвартай | англи хэлний мэдлэгтэй байх"
Zangia,Судалгаа хөгжлийн ахлах менежер,Мэдээлэл технологийн үндэсний парк,2100000.0,2500000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Боловсрол | Туршлага | Тусгай шаардлага
Zangia,Ахлах нягтлан бодогч / Авлага/,Волтам ХХК,3500000.0,4000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Ур чадварууд
Zangia,"ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /МЭРГЭЖИЛТЭН /",Наран Фүүдс ХХК,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага | Ур чадварууд
Zangia,ХЭМАБ-н ахлах инженер /Улаанбаатар/,МАК Цемент ХХК,3500000.0,4000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Туршлага | Боловсрол | Тусгай шаардлага
Zangia,БОРЛУУЛАЛТЫН АХЛАХ МЭРГЭЖИЛТЭН,Эм Эм Эс Инженеринг ХХК,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Хэлний мэдлэг | Ур чадварууд
Zangia,Рестораны менежер,Прожект Девелопмент Тотал Солюшн,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Туршлага | Ур чадварууд
Zangia,Сантехникийн инженер,Цаст Импэкс ХХК,3000000.0,3500000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Боловсрол | Ур чадварууд
Zangia,Архитектур,ЮНАЙТЭД ПРОЖЕКТС КОРПОРЭЙШН ХХК,3500000.0,4000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадварууд
Zangia,Бүртгэл хариуцсан менежер /Солонгос хэлтэй/,Эс Ар эдүкейшн групп,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Захиргааны ажилтан,Хэлний мэдлэг
Zangia,Маркетингийн менежер,Ай энд эр монголиа ХХК,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Мэдлэг
Zangia,Үйл ажиллагааны эрсдэлийн менежер,Голомт Банк,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Хэлний мэдлэг
Zangia,Бизнес хөгжлийн менежер/Англи хэлтэй/,Голомт Банк,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Туршлага
Zangia,СУПЕРВАЙЗОР,Таван Богд Интернэйшнл ХХК,3000000.0,3500000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Туршлага | Тусгай шаардлага | Боловсрол
Zangia,Борлуулалтын менежер,Миксэл ХХК,2500000.0,3000000.0,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Туршлага | Бусад
Zangia,Төмөр зам хариуцсан ахлах мэргэжилтэн,Монголын Алт (МАК) ХХК,4500000.0,5000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бусад,Боловсрол | Туршлага
Zangia,Онлайн сувгийн хөгжүүлэлт хариуцсан ахлах мэргэжил,Миксэл ХХК,3000000.0,3500000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Туршлага | Хэлний мэдлэг
