source,job
Zangia,"{'name': 'Өгөгдлийн баазын админ', 'company': 'Номин Холдинг', 'min_salary': 4000000, 'max_salary': 4500000, 'bonus': None, 'requirements': [{'name': 'мэдээллийн технологи, системийн инженерчлэл, бизнесийн удирдлага чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх,', 'details': None}, {'name': 'өгөгдлийн шинжилгээний стандарт арга аргачлалыг ашиглаж байсан туршлагатай байх,', 'details': None}, {'name': 'sql хэл бүрэн эзэмшсэн powerbi, tableau ашиглаж тайлан, хянах самбар бэлтгэж r хэл дээр ажиллаж байсан ажлын туршлагатай бол давуу тал болно', 'details': None}, {'name': 'big data, data analysis, data science сонирхдог өгөгдлийн баазын удирдах системийг удирдах чадвартай байх', 'details': None}, {'name': 'тоон шинжилгээ, өгөгдлийн шинжилгээ, статистик судалгаа шинжилгээ хийсэн туршлагатай ms office програмуудыг бүрэн эзэмшсэн байх', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Мэдээллийн аюулгүй байдал болон систем администрат'}"
Zangia,"{'name': 'Senior system engineer', 'company': 'Дэнцү Дата Артист Монгол ХХК', 'min_salary': 0, 'max_salary': 0, 'bonus': None, 'requirements': [{'name': 'gcp, aws дээр 1.5 жилээс дээш туршлагатай байх.', 'details': None}, {'name': 'програмчлалын аль нэг хэлний мэдлэгтэй байх. (ихэнх төсөл маань python, ts framework, sdk ашиглаж явагддаг)', 'details': None}, {'name': 'ai tools ашигладаг байх.', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '7', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Систем хөгжүүлэгч'}"
Zangia,"{'name': 'Senior AI/ML/ Engineer', 'company': 'Дэнцү Дата Артист Монгол ХХК', 'min_salary': 0, 'max_salary': 0, 'bonus': None, 'requirements': [{'name': 'machine learning, ai, data analyst чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'gcp, aws, openai платформууд дээр 2-оос дээш жил ажиллаж байсан туршлагатай', 'details': None}, {'name': 'python дээр дата цэвэрлэх, query бичих, дата бэлтгэж чаддаг байх', 'details': None}, {'name': 'ахисан түвшиний англи хэлний мэдлэгтэй байх', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '7', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Ахлах машин сургалтын инженер'}"
Zangia,"{'name': 'Сургалтын зөвлөх', 'company': 'Кэй Эй Майнинг ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'менежмент, удирдлага, боловсрол, хүний нөөц мэргэжлээр баклавраас дээш зэрэгтэй', 'details': None}, {'name': 'мэргэжлээрээ 3-с дээш жил ажилласан, удирдах ажлын туршлагатай.', 'details': None}, {'name': 'судалгаа шинжилгээ, заах арга зүй, удирдах ур чадвартай', 'details': None}, {'name': 'харилцааны ур чадвар сайтай', 'details': None}, {'name': 'цагийн менежмент зохион байгуулалтын ур чадвартай', 'details': None}, {'name': 'компьютерийн хэрэглээний программууд дээр ажиллах чадвартай', 'details': None}, {'name': 'англи хэлний мэдлэгтэй байх', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '7', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Хүний нөөцийн ажилтан'}"
Zangia,"{'name': 'Судалгаа хөгжлийн ахлах менежер', 'company': 'Мэдээлэл технологийн үндэсний парк', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Мэдээллийн технологи эсвэл дүйцэхүйц мэргэжлээр бакалавр болон түүнээс дээш зэрэгтэй байх'}, {'name': 'Туршлага', 'details': 'Мэдээллийн технологийн чиглэлээр 3-аас доошгүй жил ажилласан байх'}, {'name': 'Тусгай шаардлага', 'details': 'Мэдээллийн технологийн чиглэлийн олон улсын гэрчилгээтэй байх'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Ахлах нягтлан бодогч / Авлага/', 'company': 'Волтам ХХК', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Нягтлан бодох бүртгэл, санхүү болон холбогдох мэргэжлээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Ахлах нягтлан бодогчоор 3-аас дээш жил ажилласан туршлагатай'}, {'name': 'Ур чадварууд', 'details': 'Санхүүгийн Smart Accounting програм дээр ажиллах чадвар'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Санхүүгийн шинжээч'}"
Zangia,"{'name': 'ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /МЭРГЭЖИЛТЭН /', 'company': 'Наран Фүүдс ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Бизнесийн удирдлага, хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Мэргэжлээрээ 1-с дээш жил ажилласан туршлагатай'}, {'name': 'Ур чадварууд', 'details': 'Хүний нөөцийн Smart HCM программ дээр ажилладаг бол давуу тал болно'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Хүний нөөцийн ахлах ажилтан'}"
Zangia,"{'name': 'ХЭМАБ-н ахлах инженер /Улаанбаатар/', 'company': 'МАК Цемент ХХК', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'Туршлага', 'details': 'ХАБЭА чиглэлээр 3 ба түүнээс дээш жил ажилласан'}, {'name': 'Боловсрол', 'details': 'Цахилгааны инженер мэргэжилтэй бол давуу тал болно'}, {'name': 'Тусгай шаардлага', 'details': 'Хөдөө орон нутагт ээлжийн хуваарийн дагуу ажиллах боломжтой байх'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'БОРЛУУЛАЛТЫН АХЛАХ МЭРГЭЖИЛТЭН', 'company': 'Эм Эм Эс Инженеринг ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Хэлний мэдлэг', 'details': 'Англи хэлний болон хятад хэлний мэдлэгтэй бол давуу тал болно'}, {'name': 'Ур чадварууд', 'details': 'Харилцааны болон хэлэлцээр хийх ур чадвартай'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Рестораны менежер', 'company': 'Прожект Девелопмент Тотал Солюшн', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Туршлага', 'details': 'Рестораны менежементээр 3-аас дээш жил ажиллаж байсан туршлагатай байх'}, {'name': 'Ур чадварууд', 'details': 'Удирдан зохион байгуулах ажлын туршлагатай байх'}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '6', 'job_level': 'Ахлах мэргэжилтэн', 'job_category': 'Бусад'}"
