category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Бизнес хөгжлийн менежер,502,491,11,Zangia,Борлуулалтын ахлах менежер,Очирдагинас,3000000.0,3500000.0,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Бизнес хөгжлийн менежер,"боловсрол: бизнесийн удирдлага, маркетинг, менежмент чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | туршлага: борлуулалтын чиглэлээр 3-аас дээш жил ажилласан туршлагатай | ур чадвар: баг удирдах, гүйцэтгэлийг хянах, стратеги боловсруулах чадвартай | харилцааны чадвар сайтай, шийдвэр гаргах чадвартай | 30-аас дээш насны эрэгтэй"
Бизнес хөгжлийн менежер,502,491,11,Zangia,Үйл ажиллагааны менежер,Южинтек Өү Юу Жи ХХК,2100000.0,2500000.0,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Бизнес хөгжлийн менежер,502,491,11,Zangia,Борлуулалт хариуцсан менежер /Харүмафүжи ферм/,Ерөнхий боловсролын Шинэ Монгол Харүмафүжи сургууль,2500000.0,3000000.0,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Ур чадварууд | Ур чадварууд
Бизнес хөгжлийн менежер,502,491,11,Zangia,Маркетингийн менежер,СҮҮХҮНГИЙ ХХК,2500000.0,3000000.0,,Менежмент,7,Менежер / Супервайзор,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Ур чадварууд
Бизнес хөгжлийн менежер,502,491,11,Zangia,БОРЛУУЛАЛТЫН МЕНЕЖЕР,КоллПро ХХК,,,,Мэргэжилтэн,4,Мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Бизнес хөгжлийн менежер,502,491,11,Zangia,МАРКЕТИНГИЙН МЕНЕЖЕР /МОНОС ЭМИЙН САН/,Монос Групп,2500000.0,3000000.0,,Менежмент,7,Менежер / Супервайзор,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Ур чадварууд
Бизнес хөгжлийн менежер,502,491,11,Zangia,Харилцааны менежер /Олон улсын банкны газар/,Худалдаа хөгжлийн банк,3000000.0,3500000.0,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Бизнес хөгжлийн менежер,502,491,11,Zangia,Маркетингийн менежер,Ай энд эр монголиа ХХК,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Мэдлэг
Бизнес хөгжлийн менежер,502,491,11,Zangia,Бизнес хөгжлийн менежер/Англи хэлтэй/,Голомт Банк,2500000.0,3000000.0,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Бизнес хөгжлийн менежер,Боловсрол | Туршлага
Бизнес хөгжлийн менежер,502,491,11,Zangia,МАРКЕТИНГИЙН МЕНЕЖЕР /эмэгтэй/,Таван Богд Интернэйшнл ХХК,4000000.0,4500000.0,,Менежмент,8,Менежер / Супервайзор,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Хэлний мэдлэг
