category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,UI/UX дизайнер,Юнител Групп,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,"шинэ санал санаачилга гаргах чадвартай | өөриймсөг сэтгэлтэй, үнэнч шударга, ажилдаа хариуцлагатай ханддаг | өөрийгөө илэрхийлэх, харилцааны болон багаар ажиллах чадвартай | хувийн зохион байгуулалт сайтай | график дизайнер чиглэлээр төгссөн | photoshop illustrator, figma програмууд дээр ажиллах чадвартай | дизайн спринт зохион байгуулах ур чадвартай | хөгжүүлэлтийн процессын талаар мэдлэгтэй | хэрэглэгчид суурилсан дизайны ойлголттой | өнгө дизайн, гоо зүйн мэдрэмжтэй"
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,"Интерьер, Тавилгын дизайнер ажилд авна.",Куадро Дизайн ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Ур чадварууд
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,Интерьер дизайнер,БИШРЭЛТ ГРУПП,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Туршлага | Ур чадварууд
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,UI/UX Дизайнер,Худалдаа хөгжлийн банк,3500000,4000000,,Мэргэжилтэн,5,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Ур чадвар | Туршлага
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,ДИЗАЙНЕР,Тэсо Пропертис ХХК,3500000,4000000,"[{'name': 'Туршлага', 'description': '3D Max, Интернет програмчлал, онлайн контент хөгжүүлэлт дээр ажиллаж байсан бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Ур чадварууд | Хэлний мэдлэг
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,UI/UX дизайнер/Салбар кампани/,Шунхлай Холдинг ХХК,2500000,3000000,"[{'name': 'Туршлага', 'description': 'Мэргэжлээрээ 2-с дээш жил ажилласан туршлагатай байх'}]",Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Ур чадварууд | Туршлага
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,Тавилгын дизайнер,Ганброс ХХК,3000000,3500000,"[{'name': 'Бусад', 'description': 'Тогтвор суурьшилтай ажиллах 20-35 насны эмэгтэй'}]",Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Ур чадварууд
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,Дизайнер,Добу технологи ХХК,2100000,2500000,"[{'name': 'Сонирхол', 'description': 'Дизайны чиглэлээр судалгаа хийх сонирхолтой'}]",Мэргэжилтэн,4,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Туршлага | Ур чадварууд
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,Тавилгын дизайнер,Цбон ХХК,3500000,4000000,,Мэргэжилтэн,3,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар
Бүтээгдэхүүн хариуцсан дизайнер,37,35,2,Zangia,Тавилгын дизайнер,Jacform,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Бүтээгдэхүүн хариуцсан дизайнер,Боловсрол | Ур чадвар | Хувийн чанар
