source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Санхүү хариуцсан захирал,Чиглэл ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Санхүү эрхэлсэн захирал,"су, нбб-ийн баклавр, эрдмийн зэрэгтэй байх | санхүүгийн чиглэлээр 10-с дээш жил удирдах ажил хийж байсан туршлагатай байх | мэргэшссэн ня-бо зэрэгтэй байх | санхүүгийн мэргэжлийн зөвлөгөө өгөх арга барил, чадвартай | манлайлан ажиллах чадвартай | асуудлыг дэмжин багаар хамтран ажиллах чадвартай | компанийн менежментийн хөгжилд хувь нэмэр оруулж ажиллах удирдлагын мэдлэгтэй | боловсруулах,загварчлах, төлөвлөх, тооцоолох, зохион байгуулах, тайлагнах чадвартай. | статистикийн дүн шинжилгээ хийх, санхүүгийн төлөвлөгөө төсөв боловсруулалтыг удирдах чадвартай. | асуудлыг шуурхай оновчтой шийдвэрлэх чадвартай | санхүү татварын хууль эрх зүйн мэдлэгтэй байх. | санхүү хариуцсан захирлын гүйцэтгэлийн үндсэн үзүүлэлтүүд нь: | 1. ашигт ажиллагааны түвшин | 2. мөнгөн урсгалын тогтвортой байдал | 3. төсвийн сахилга бат | 4. татвар, аудитын зөрчилгүй байдал | 5. зардлын бууралтын хувь"
Zangia,Үйл ажиллагаа хариуцсан захирал,Росторг ХХК,9000000,10000000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Дэд захирал,"Бизнесийн удирдлага, санхүү, маркетингийн чиглэлээр бакалавр зэрэгтэй | Борлуулалтын удирдлагаар 3-аас дээш жил ажилласан | Орос хэлний ахисан түвшний мэдлэгтэй"
Zangia,Гүйцэтгэх захирал,Таван Богд Групп,15000000,20000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,"бизнесийн удирдлага, санхүүгийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй; | гүйцэтгэх удирдлагын түвшинд 5-аас доошгүй жил ажилласан туршлагатай; | англи хэлний ахисан түвшний мэдлэгтэй, олон улсын түншүүдтэй хэлэлцээр хийх чадвартай; | санхүүгийн модель дээр үр ашгийн тооцоолол хийх чадвартай; | дунд болон урт хугацааны бизнесийн стратеги, өсөлтийн боловсруулж, амжилттай хэрэгжүүлэх ур чадвартай; | баг хамт олныг оновчтой бүтэц зохион байгуулалтаар хангах, гүйцэтгэлд суурилсан удирдлагын тогтолцоог хэрэгжүүлэх чадвартай; | стратегич өсөлтийн сэтгэлгээтэй, оновчтой шийдвэр гаргах чадвартай;"
Zangia,Хоол үйлдвэрлэлийн технологич,БльюМон Групп,4000000,4500000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Бусад,Боловсрол | Мэдлэг | Туршлага | Хандлага | Бүтээлч байдал | Хандлага | Манлайлал
Zangia,Гүйцэтгэх захирал/Франчайз/,Нэткапитал санхүүгийн корпораци,9000000,10000000,[],Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Туршлага | Ур чадвар | Мэдлэг | Ур чадвар | Хэлний мэдлэг
Zangia,ГҮЙЦЭТГЭХ ЗАХИРАЛ /Өндөг үйлдвэрлэл/,КАРЬЕР МАСТЕР ХХК,8000000,9000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага
Zangia,Гүйцэтгэх захирал,"""Нарны Эх Констракшн"" ХХК",9000000,10000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага
Zangia,Охин компанийн гүйцэтгэх захирал,Ази Фарма  ХХК,8000000,9000000,[],Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Гадаад хэл
Zangia,ГҮЙЦЭТГЭХ ЗАХИРАЛ (CEO) - FINTECH STARTUP,Скай Хайпермаркет  ХХК,6000000,6500000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Туршлага | Туршлага
Zangia,Удирдлага,Өгөөжбаян Хангай ХХК,6000000,6500000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Дэд захирал,Туршлага | Хэлний мэдлэг | Хандлага
Zangia,"Гүйцэтгэх захирал  / аялал ххк,  зочид буудал  удирдах",Бүрэн групп,3000000,3500000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хэлний мэдлэг
Zangia,Бизнес хөгжлийн менежер,ӨРНҮҮН АРВИЖИХ ТРЕЙД ХХК,2100000,2500000,,Гүйцэтгэх удирдлага,5,Гүйцэтгэх захирал,Бизнес хөгжлийн менежер,Боловсрол | Туршлага | Мэдлэг | Бусад
Zangia,Нягтлан бодогч,Шүэс Энд Моор,3000000,3500000,,Гүйцэтгэх удирдлага,7,Гүйцэтгэх захирал,Бусад,Боловсрол | Туршлага | Мэдлэг
Zangia,Борлуулалтын албаны дарга,Шинэ Сонголт Брэнд их дэлгүүр,4500000,5000000,,Гүйцэтгэх удирдлага,8,Гүйцэтгэх захирал,Бусад,Туршлага | Хэлний мэдлэг | Боловсрол
Zangia,Гүйцэтгэх захирал /Сэлэнгэ аймаг Баянгол суманд/,Баатарван групп,6500000,7000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Ерөнхий шаардлага | Мэргэжлийн мэдлэг | Ур чадвар | Хувь хүний чадвар
Zangia,Салбарын захирал /Дорноговь аймагт/,Монгол Эм Импэкс Концерн,2100000,2500000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Техник ур чадвар
Lambda Global,Гүйцэтгэх захирал,Таван Богд Групп,15000000,15500000,"[{'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Орон сууцны дэмжлэг', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}]",Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар
Lambda Global,Гүйцэтгэх Захирал,Eeltei Baylag Cooperative Network,3000000,4000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,
