category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Гүйцэтгэх захирал,15,10,5,Zangia,Гүйцэтгэх захирал,Таван Богд Групп,15000000,20000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,"бизнесийн удирдлага, санхүүгийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй; | гүйцэтгэх удирдлагын түвшинд 5-аас доошгүй жил ажилласан туршлагатай; | англи хэлний ахисан түвшний мэдлэгтэй, олон улсын түншүүдтэй хэлэлцээр хийх чадвартай; | санхүүгийн модель дээр үр ашгийн тооцоолол хийх чадвартай; | дунд болон урт хугацааны бизнесийн стратеги, өсөлтийн боловсруулж, амжилттай хэрэгжүүлэх ур чадвартай; | баг хамт олныг оновчтой бүтэц зохион байгуулалтаар хангах, гүйцэтгэлд суурилсан удирдлагын тогтолцоог хэрэгжүүлэх чадвартай; | стратегич өсөлтийн сэтгэлгээтэй, оновчтой шийдвэр гаргах чадвартай;"
Гүйцэтгэх захирал,15,10,5,Zangia,Ерөнхий менежер,БИШРЭЛТ ГРУПП,6000000,6500000,,Менежмент,6,Менежер / Супервайзор,Гүйцэтгэх захирал,Туршлага
Гүйцэтгэх захирал,15,10,5,Zangia,Гүйцэтгэх захирал/Франчайз/,Нэткапитал санхүүгийн корпораци,9000000,10000000,[],Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Туршлага | Ур чадвар | Мэдлэг | Ур чадвар | Хэлний мэдлэг
Гүйцэтгэх захирал,15,10,5,Zangia,ГҮЙЦЭТГЭХ ЗАХИРАЛ /Өндөг үйлдвэрлэл/,КАРЬЕР МАСТЕР ХХК,8000000,9000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага
Гүйцэтгэх захирал,15,10,5,Zangia,Гүйцэтгэх захирал,"""Нарны Эх Констракшн"" ХХК",9000000,10000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага
Гүйцэтгэх захирал,15,10,5,Zangia,Охин компанийн гүйцэтгэх захирал,Ази Фарма  ХХК,8000000,9000000,[],Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Гадаад хэл
Гүйцэтгэх захирал,15,10,5,Zangia,ГҮЙЦЭТГЭХ ЗАХИРАЛ (CEO) - FINTECH STARTUP,Скай Хайпермаркет  ХХК,6000000,6500000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Туршлага | Туршлага
Гүйцэтгэх захирал,15,10,5,Zangia,"Гүйцэтгэх захирал  / аялал ххк,  зочид буудал  удирдах",Бүрэн групп,3000000,3500000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хэлний мэдлэг
Гүйцэтгэх захирал,15,10,5,Zangia,Гүйцэтгэх захирал /Сэлэнгэ аймаг Баянгол суманд/,Баатарван групп,6500000,7000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Ерөнхий шаардлага | Мэргэжлийн мэдлэг | Ур чадвар | Хувь хүний чадвар
Гүйцэтгэх захирал,15,10,5,Zangia,Салбарын захирал /Дорноговь аймагт/,Монгол Эм Импэкс Концерн,2100000,2500000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Техник ур чадвар
Гүйцэтгэх захирал,15,10,5,Lambda Global,Гүйцэтгэх захирал,Таван Богд Групп,15000000,15500000,"[{'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Орон сууцны дэмжлэг', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}]",Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар
Гүйцэтгэх захирал,15,10,5,Lambda Global,Ерөнхий менежер,Urban World LLC,4500000,5000000,"[{'name': 'Компаний ашгаас хүртэх', 'description': None}]",Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Гүйцэтгэх захирал,
Гүйцэтгэх захирал,15,10,5,Lambda Global,Ерөнхий менежер /lounge & Nightclub/,Гялалзахын хөндий ХХК,3500000,5000000,"[{'name': 'Ажилчдын хямдрал', 'description': None}]",Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Гүйцэтгэх захирал,
Гүйцэтгэх захирал,15,10,5,Lambda Global,Ресортын ерөнхий менежер /Тэрэлжид/,Гялалзахын хөндий ХХК,3500000,5000000,"[{'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}]",Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Гүйцэтгэх захирал,
Гүйцэтгэх захирал,15,10,5,Lambda Global,Гүйцэтгэх Захирал,Eeltei Baylag Cooperative Network,3000000,4000000,,Гүйцэтгэх удирдлага,11,Гүйцэтгэх захирал,Гүйцэтгэх захирал,
