source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Үйл ажиллагаа эрхэлсэн дэд захирал,Алтан Зоос Капитал,4500000,5000000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадварууд | Ёс зүй
Zangia,Үйл ажиллагаа хариуцсан захирал,"""Би Девелопмент"" ХХК",4000000,4500000,[],Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Ажлын туршлага | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар
Zangia,Нягтлан бодогч,Хьёндэ Элеватор Монгол ХХК,3000000,3500000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Zangia,БОРЛУУЛАЛТ ҮЙЛ АЖИЛЛАГАА ХАРИУЦСАН ЗАХИРАЛ,Ази Фарма  ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага
Zangia,"Борлуулалт, маркетингийн газрын захирал",Ази Фарма  ХХК,5500000,6000000,[],Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Гадаад хэл
Zangia,Үйл ажиллагаа хариуцсан захирал,Монголын Алт (МАК) ХХК,7000000,7500000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Гадаад хэл
Zangia,ҮЙЛ АЖИЛЛАГАА ХАРИУЦСАН ЗАХИРАЛ /ОХИН КОМПАНИ/,Монполимет Групп,4500000,5000000,[],Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Гадаад хэл
Zangia,Үйл ажиллагаа хариуцсан захирал,Юу Эй Пи,4500000,5000000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Ур чадвар | Ур чадвар | Компьютерийн мэдлэг | Гадаад хэл
Lambda Global,Investment Director,HR Mongolia,9000000,10500000,"[{'name': 'Тэтгэврийн хуримтлал', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Сургалтын төлбөрийн дэмжлэг', 'description': None}]",Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,
Lambda Global,Chief financial officer (CFO),Milk JSC,7000000,10000000,"[{'name': 'Компанийн хувьцаа', 'description': None}, {'name': 'Хүүхэд асрах дэмжлэг', 'description': None}, {'name': 'Өглөөний цай /үнэгүй/', 'description': None}, {'name': 'Компаний машин/унаа', 'description': None}, {'name': 'Зарим өдөр гэрээс ажиллах', 'description': None}, {'name': 'Орон сууцны дэмжлэг', 'description': None}, {'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Gym/Yoga/Wellness гишүүнчлэл', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}, {'name': 'Тэтгэврийн хуримтлал', 'description': None}, {'name': 'Шинэ аав/ээжийн уртасгасан чөлөө', 'description': None}, {'name': 'Компанийн бэлэг', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Үдийн хоол /төлбөргүй/', 'description': None}, {'name': 'Сэтгэлзүйн эрүүл мэндийн дэмжлэг', 'description': None}]",Гүйцэтгэх удирдлага,10,Дэд захирал,Санхүү эрхэлсэн захирал,
