category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Дэд захирал,28,13,15,Zangia,Үйл ажиллагаа хариуцсан захирал,Росторг ХХК,9000000,10000000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Дэд захирал,"Бизнесийн удирдлага, санхүү, маркетингийн чиглэлээр бакалавр зэрэгтэй | Борлуулалтын удирдлагаар 3-аас дээш жил ажилласан | Орос хэлний ахисан түвшний мэдлэгтэй"
Дэд захирал,28,13,15,Zangia,Үйл ажиллагаа эрхэлсэн дэд захирал,Алтан Зоос Капитал,4500000,5000000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадварууд | Ёс зүй
Дэд захирал,28,13,15,Zangia,ҮЙЛ АЖИЛЛАГАА ХАРИУЦСАН ЗАХИРАЛ,Бичил Глобус,4500000,5000000,[],Менежмент,9,Чиг үүргийн удирдлага,Дэд захирал,Боловсрол | Ажлын туршлага | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Мэдлэг | Мэдлэг
Дэд захирал,28,13,15,Zangia,Үйл ажиллагаа хариуцсан захирал,"""Би Девелопмент"" ХХК",4000000,4500000,[],Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Ажлын туршлага | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар
Дэд захирал,28,13,15,Zangia,Үйл ажиллагааны захирал,И-Эн-Си Групп,5500000,6000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хэлний мэдлэг
Дэд захирал,28,13,15,Zangia,БОРЛУУЛАЛТ ҮЙЛ АЖИЛЛАГАА ХАРИУЦСАН ЗАХИРАЛ,Ази Фарма  ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага
Дэд захирал,28,13,15,Zangia,"Борлуулалт, маркетингийн газрын захирал",Ази Фарма  ХХК,5500000,6000000,[],Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Гадаад хэл
Дэд захирал,28,13,15,Zangia,Удирдлага,Өгөөжбаян Хангай ХХК,6000000,6500000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Дэд захирал,Туршлага | Хэлний мэдлэг | Хандлага
Дэд захирал,28,13,15,Zangia,Үйлдвэр эрхэлсэн дэд захирал,Хүнс Групп,5500000,6000000,,Менежмент,11,Ахлах менежер / Нэгжийн удирдлага,Дэд захирал,Боловсрол | Туршлага | Мэдлэг
Дэд захирал,28,13,15,Zangia,Үйл ажиллагаа хариуцсан захирал,Монголын Алт (МАК) ХХК,7000000,7500000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Дэд захирал,Боловсрол | Туршлага | Мэдлэг | Гадаад хэл
