category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Росторг ХХК,7000000,7500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,орос хэлний ахисан түвшний мэдлэгтэй; | нягтлан бодох бүртгэлээр бакалавраас дээш зэрэгтэй; | нягтлан бодогчоор 3-с дээш жил ажилласан туршлагатай; | ажлын хариуцлагатай; | харилцааны болон багаар ажиллах ур чадвартай; | санхүүгийн дүн шинжилгээ хийх чадвартай; | санхүүгийн 1с программ эзэмшсэн бол давуу талтай
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Алтай Групп,4500000,5000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,улсын чанартай их дээд сургуулийг нягтлан бодогч мэргэжлээр төгссөн | санхүүгийн бүх төрлийн тайлан баланс гаргах чадвартай | санхүүгийн албанд удирдах албан тушаал хашиж байсан мэргэжлээрээ 10 болон түүнээс дээш жил ажилласан | тууштай ажиллах хүсэлтэй | асуудалд дүн шинжилгээ хийх чадвартай
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Их Хүрээ Эниржи ХХК,5500000,6000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадварууд
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,Хулан Уул ХХК,3500000,4000000,,Менежмент,7,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадварууд
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,КАРЬЕР МАСТЕР ХХК,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Хэлний мэдлэг
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ /Ийзи паркинг ХХК/,Моннис Групп,4500000,5000000,,Мэргэжилтэн,8,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Гурван бухат групп ХХК,3500000,4000000,,Мэргэжилтэн,6,Мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ /худалдаа-хонхорт/,КАРЬЕР МАСТЕР ХХК,4500000,5000000,"[{'name': 'Мэргэшил', 'description': 'Мэргэшсэн нягтлан бодогч бол давуу тал болно'}]",Мэргэжилтэн,6,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Туршлага | Бусад
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,Хооллоё ХХК,4500000,5000000,"[{'name': 'Мэргэшил', 'description': 'Мэргэшсэн нягтлан бол давуу тал болно'}]",Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Мэдлэг | Мэдлэг
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,"""Erin International"" Co., Ltd",3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Мэргэшил
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий Нягтлан Бодогч,"""Дархан Эрхэт Майнинг"" ХХК",5000000,5500000,,Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Туршлага | Боловсрол | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ахлах нягтлан бодогч,Брасерий Монголиа ХХК,5000000,5500000,,Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Санхүү бүртгэлийн хэлтсийн дарга,БИШРЭЛТ ГРУПП,8000000,9000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,"санхүү, бизнесийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | мэргэжлийн чиглэлээр удирдах албан тушаалд 5 болон түүнээс дээш жил ажилласан туршлагатай | англи хэлний ахисан түвшний мэдлэгтэй | анализ хийх, шийдвэр гаргах чадвартай"
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Нягтлан бодогч,Талын алтан булаг майнинг ХХК,5000000,5500000,[],Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,"-нягтлан бодох бүртгэлийн мэрэгжлээр төгссөн | -мэргэжлээрээ таваас доошгүй жил ажилласан | -уул уурхайн ашиглалтын төсөл дээр ажиллаж байсан бол давуу тал | -багаар ажиллах, харилцааны өндөр ур чадвартай"
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ахлах нягтлан бодогч,БИШРЭЛТ ГРУПП,5000000,5500000,,Менежмент,7,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Туршлага | Туршлага | Хувь хүний чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,"""Дүүрэн фүүд"" ХХК",4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Компьютерийн мэдлэг | Туршлага | Багаар ажиллах | Хандлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,О'реш супермаркет,5000000,5500000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Энлает ХХК,3500000,4000000,[],Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Хатант интернэшнл ххк,6500000,7000000,[],Менежмент,9,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Мэргэшил
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Энсада Холдинг ХХК,3000000,3500000,[],Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч (МДМ ампул фарм ХХК),Мөнхийн Тун ХХК,3500000,4000000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадварууд | Мэдлэг | Компьютерийн мэдлэг | Мэргэшсэн байдал
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Уан Монголиа Туризм Групп,6000000,6500000,,Менежмент,,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Эхлэл Өрнөл ХХК,4500000,5000000,,Менежмент,,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Сентрал Партнерс Эф Эм Си,4000000,4500000,,Мэргэжилтэн,,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Мастер Групп,4500000,5000000,,Менежмент,,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Нью Тур ХХК,4000000,4500000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Туршлага | Програм хангамж | Ур чадварууд | Машин
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан,Нэткапитал санхүүгийн корпораци,4500000,5000000,,Мэргэжилтэн,8,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Англи хэл | Программ хангамж | Төлөвлөх чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Амно ХХК,4000000,4500000,,Менежмент,7,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Ерөнхий нягтлан бодогчоор 3-5 жил ажилласан туршлагатай байх | Санхүүгийн ДаянСофт программ мэдлэгтэй
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Алтан хараацайн далавч ХХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Ерөнхий нягтлан бодогч,"Нягтлан бодох бүртгэлийн чиглэлээр их, дээд сургууль төгссөн | Мэргэжлээрээ 3-аас дээш жил ажиллаж байсан туршлагатай | Хятад хэлний бичгийн болон ярианы мэдлэгтэй байх"
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Санхүү бүртгэл тайлагнал хариуцсан менежер,Номин Холдинг,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,"Нягтлан бодох бүртгэл, банк, санхүү чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | Мэргэжлээрээ 3 ба түүнээс дээш жил ажилласан байх"
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Татварын бүртгэл хариуцсан менежер,Номин Холдинг,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,"Нягтлан бодох бүртгэл, банк санхүү татварын чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | Санхүүгийн шийдвэр гаргах ур чадвар"
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ахлах нягтлан бодогч,Говь Инфрастракчер Партнерс,4000000,4500000,[],Мэргэжилтэн,7,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хэлний мэдлэг | Программ хангамж | Ур чадвар | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,НЯГТЛАН БОДОГЧ /Эмэгтэй/,“Домогт Хан Алтай” ХХК,4000000,4500000,[],Мэргэжилтэн,7,Мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Туршлага | Программ хангамж | Компьютерийн мэдлэг | Хандлага | Ур чадвар | Тогтвор суурьшил
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Нягтлан бодогч,Хьёндэ Элеватор Монгол ХХК,3000000,3500000,,Гүйцэтгэх удирдлага,10,Дэд захирал,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,Premier Tailor LLC,5000000,5500000,,Менежмент,7,Менежер / Супервайзор,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Монжүүс ХХК,4500000,5000000,,Менежмент,8,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Нэгүн кашмэр,6000000,6500000,,Менежмент,9,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,"""Милая Фүүдс"" ХХК",3500000,4000000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Сод Монгол Групп,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,Их говь энержи ХХК,4500000,5000000,,Менежмент,9,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ   /АЖК/,Алтан Жолоо Трейд ХХК,3500000,4000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Женко Тур Бюро ХК,3500000,4000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,Гранд Сутай ХХК / 200&570 авто сервис /,4500000,5000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Нягтлан бодогч | Удирдах туршлага | Санхүүгийн программ | Багаар ажиллах
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Професионалстрой  ХХК,2500000,3000000,,Менежмент,8,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Компьютерийн мэдлэг | Ур чадвар | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Цайдам Трейд ХХК,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Мэдлэг
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Хархорум хотын захиргаа,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Мэргэжил | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Наран Трейд ХХК,5000000,5500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Мэдлэг | Ур чадвар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ахлах нягтлан бодогч,Рисөрч Энд Дэвэлопмэнт,2500000,3000000,[],Мэргэжилтэн,6,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Нягтлан бодогч,Нар-Урт ХХК,3500000,4000000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Ерөнхий нягтлан бодогч,Туршлага | Ур чадвар | Мэдлэг | Хувь хүний чанар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,НЯГТЛАН БОДОГЧ,SelengePress,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Компьютерийн мэдлэг | Хувь хүний чанар
Ерөнхий нягтлан бодогч,76,64,12,Zangia,Ерөнхий нягтлан бодогч,Юнайтед Ресурсес ХХК,4500000,5000000,[],Менежмент,9,Чиг үүргийн удирдлага,Ерөнхий нягтлан бодогч,Боловсрол | Туршлага | Ур чадварууд
