category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Захиргааны ажилтан,213,209,4,Zangia,Хувийн туслах,БОСА Холдинг ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,хувийн туслахаар ажиллаж байсан туршлагатай | багаар болон бие даан ажиллах чадвартай | харилцааны өндөр ур чадвартай | зохион байгуулалт хийх чадвартай | эмэгтэй
Захиргааны ажилтан,213,209,4,Zangia,"Архив, бичиг хэрэг хариуцсан ажилтан",Сайн Интернэшнл ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,"архив, бичиг хэргийн чиглэлээр сурч төгссөн; | мэргэжлээрээ 2-с дээш жил ажилласан туршлагатай байх; | эмх цэгцтэй нямбай, баримт бичиг боловсруулах чадвартай; | хариуцлагатай, тууштай зан чанартай; | тогтвор суурьшилтай ажиллах"
Захиргааны ажилтан,213,209,4,Zangia,Ресейпшн,Монголын Алт (МАК) ХХК,2100000,2500000,,Ажилтан,2,Ажилтан,Захиргааны ажилтан,"бизнесийн удирдлага, олон улсын харилцаа, бичиг хэрэг хөтлөлт болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй; | оффис менежмент, мэдээлэл харилцааны чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно; | англи хэлний дундаас дээш түвшний мэдлэгтэй; | эерэг хандлагатай, харилцааны өндөр соёлтой; | төлөвлөх, тайлагнах чадвартай; | царайны зөв дүр төрхтэй;"
Захиргааны ажилтан,213,209,4,Zangia,"Хөтөч, бүртгэл мэдээллийн ажилтан",Грандмед эмнэлэг,1500000,1800000,,Ажилтан,2,Ажилтан,Захиргааны ажилтан,"хувийн зохион байгуулалт сайтай | харилцааны соёлтой | зөв хандлагатай, эерэг | тогтвор суурьшилтай сурч хөгжин ажиллах | англи хэлний дунд болон дундаас дээш түвшинтэй."
Захиргааны ажилтан,213,209,4,Zangia,Ерөнхий захирлын нарийн бичиг,Алтай Групп,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"дээд боловсролтой | ажлын туршлагатай байх / албан хэрэг хөтлөлт хариуцаж байсан нарийн бичгээр ажиллаж байсан туршлагатай бол сайн/ | цэвэрч нямбай, хөдөлгөөнтэй | тууштай ажиллах хүсэлтэй байх | хувийн зохион байгуулалт сайтай байх | 35 хүртэлх насны эмэгтэй"
Захиргааны ажилтан,213,209,4,Zangia,Ресепшн,Цаст Импэкс ХХК,1800000,2100000,,Ажилтан,2,Ажилтан,Захиргааны ажилтан,"англи хэлний харилцан ярианы түвшин сайтай. бичгийн англи хэл шаардахгүй. | харилцааны өндөр соёлтой, сэргэлэн цовоо, царайны зөв төрхтэй. | ресепшнээр ажиллаж байсан туршлагатай | тогтвор суурьшилтай ажиллах. | хувийн зохион байгуулалт цаг ашиглалт сайтай, үнэнч шударга. | тогтвор суурьшилтай ажиллах"
Захиргааны ажилтан,213,209,4,Zangia,"ЗАХИРЛЫН ТУСЛАХ, ОРЧУУЛАГЧ",Хасбанк,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Хэлний мэдлэг | Боловсрол | Туршлага
Захиргааны ажилтан,213,209,4,Zangia,Бүртгэл хариуцсан менежер /Солонгос хэлтэй/,Эс Ар эдүкейшн групп,2500000,3000000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Захиргааны ажилтан,Хэлний мэдлэг
Захиргааны ажилтан,213,209,4,Zangia,"Захиргаа, Оффис хариуцсан мэргэжилтэн",PC mall,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Ур чадвар
Захиргааны ажилтан,213,209,4,Zangia,Утасны оператор,Эн Өү Ти Эс ХХК,2500000,3000000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,Бусад
Захиргааны ажилтан,213,209,4,Zangia,Нарийн бичиг,Алтай Групп,1800000,2100000,"[{'name': 'Туршлага', 'description': 'Нарийн бичиг, оффис менежер, захирлын туслахаар ажиллаж байсан туршлагатай бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Мэдлэг
Захиргааны ажилтан,213,209,4,Zangia,"ЗАХИРЛЫН ТУСЛАХ, НАРИЙН БИЧИГ",ОЮУНЫ УНДРАА ГРУПП ХХК,1500000,1800000,"[{'name': 'Хэлний мэдлэг', 'description': 'Англи хэлний мэдлэгтэй бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Туршлага | Ур чадварууд
Захиргааны ажилтан,213,209,4,Zangia,"Захирлын туслах, нарийн бичиг",Одкон Холдинг ХХК,1800000,2100000,"[{'name': 'Туршлага', 'description': 'Шинэ төгсөгч байж болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Ур чадварууд | Хэлний мэдлэг
Захиргааны ажилтан,213,209,4,Zangia,Оффис ажилтан,Гранд Ай Ти ХХК,1800000,2100000,"[{'name': 'Мэргэшил', 'description': 'Багшлах эрхийн гэрчилгээтэй байх'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Ур чадварууд | Ур чадварууд
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах-нарийн бичиг,ГОВЬ РЕСУРС ДЕВЕЛОПМЕНТ ХХК,2100000,2500000,"[{'name': 'Хэлний мэдлэг', 'description': 'Гадаад хэлний мэдлэгтэй'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Ур чадварууд | Ур чадварууд
Захиргааны ажилтан,213,209,4,Zangia,Баримт бичгийн хяналтын мэргэжилтэн,Аркетайп Mонголиа ХХК,2500000,3000000,"[{'name': 'Туршлага', 'description': 'Бизнесийн удирдлага, архитектур , инженер эсвэл түүнтэй адилтгах зэрэг,туршлагатай'}]",Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Хэлний мэдлэг | Ур чадварууд
Захиргааны ажилтан,213,209,4,Zangia,Managing Assistant,Берлин-Химиэ Менарини Монголиа ХХК,3500000,4000000,,Мэргэжилтэн,3,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Хэлний мэдлэг | Ур чадвар
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах,Жэт Трак ХХК,3000000,3500000,,Мэргэжилтэн,3,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Хэлний мэдлэг | Ур чадвар
Захиргааны ажилтан,213,209,4,Zangia,Ресепшн ( Шинэ төгсөгч ),ХОС ХАС ХХК,1800000,2100000,,Ажилтан,2,Мэргэжилтэй ажилтан,Захиргааны ажилтан,Ур чадвар | Туршлага
Захиргааны ажилтан,213,209,4,Zangia,Оффис менежер,Вишн Девелопмент ХХК,2100000,2500000,,Ажилтан,1,Ажилтан,Захиргааны ажилтан,"эерэг хандлагатай харилцааны соёлтой байх | аливааг төлөвлөх, тайлагнах чадвартай | компьютерийн хэрэглээний программ дээр ажиллах чадвартай | багаар ажиллах чадвартай | үнэнч, шударга, тууштай тогтвортой ажиллах | цаг бариталдаг байх"
Захиргааны ажилтан,213,209,4,Zangia,АЖ АХУЙН ДАРГА,Нутгийн буян групп ХХК,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Захиргааны ажилтан,"нягтлан бодох бүртгэл, барилгын инженерийн чиглэлээр их дээд сургууль төгссөн | үндсэн хөрөнгийн бараа материалын чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно | ms excel програмын дунд болон түүнээс дээш түвшний мэдлэгтэй | багийг удирдан зохион байгуулах, манлайлах чадвартай"
Захиргааны ажилтан,213,209,4,Zangia,БИЧИГ ХЭРГИЙН ЭРХЛЭГЧ,Монголын Алт (МАК) ХХК,3500000,4000000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"архив, бичиг хэрэг, эрх зүй, удирдлага эсвэл холбогдох чиглэлээр их, дээд боловсролтой | албан хэрэг хөтлөлт, архивын чиглэлээр 3-аас доошгүй жил ажилласан туршлагатай | монгол улсын албан хэрэг хөтлөлт, архивын холбогдох хууль, журам, стандартын мэдлэгтэй | баримт бичиг боловсруулах, тайлагнах, зохион байгуулах чадвартай | компьютерийн хэрэглээ, цахим систем ашиглах чадвартай"
Захиргааны ажилтан,213,209,4,Zangia,Оффис менежер,Ирээдүйн ган зам,1500000,1800000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"бакалаврын зэрэгтэй | оффисын програм хангамжын мэдлэгтэй (ms office, google workspace) | харилцааны өндөр ур чадвартай | цагийн менежмент, зохион байгуулалт сайтай | ажлын туршлага 1-3 жил | багийн ажилд хамтран ажиллах чадвартай | шударга, ил тод, нээлттэй зарчмыг баримтлах | байгальд ээлтэй үйл ажиллагаанд анхаарал хандуулах"
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах,Ти Би Групп,3000000,3500000,,Менежмент,7,Менежер / Супервайзор,Захиргааны ажилтан,"бакалавр болон түүнээс дээш зэрэгтэй | англи хэлний мэдлэгтэй | хэрэглээний программууд дээр чөлөөтэй ажиллах чадвартай; | баримт бичиг боловсруулах, тайлагнах ур чадвар сайтай; | бүтээлч, гүйцэтгэл сайтай, хурдан байх; | эерэг хандлага, соёлтой харилцаатай;"
Захиргааны ажилтан,213,209,4,Zangia,Тэнхимийн зохицуулагч,Санхүү Эдийн Засгийн Их Сургууль,1500000,1800000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"бакалавр болон түүнээс дээш боловсролын зэрэгтэй, | англи хэлний зохих түвшний мэдлэгтэй, | оффисын тоног төхөөрөмж болон хэрэглээний программуудыг ашиглах чадвартай, | ачаалал даах, хариуцлагатай, идэвх санаачилгатай байх. | эерэг хандлагатай, харилцааны ур чадвар сайн байх."
Захиргааны ажилтан,213,209,4,Zangia,АДМИН,Таван Орд ХХК,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,баримт бичиг боловсруулах чадвартай | хэрэглээний программ дээр ажиллах чадвартай | англи хэлний мэдлэгтэй бол давуу тал болно
Захиргааны ажилтан,213,209,4,Zangia,БИЧИГ ХЭРГИЙН АЖИЛТАН /Шинэ төгсөгч байж болно /,Аодэ ХХК,1800000,2100000,[],Ажилтан,3,Мэргэжилтэй ажилтан,Захиргааны ажилтан,"бизнесийн удирдлага, хууль ч эрх зүйч мэргэжлээр бакалавр зэрэгтэй | тендерийн үйл ажиллагааны талаарх мэдлэгтэй бол давуу тал болно | компьютерийн хэрэглээний программыг бүрэн эзэмшсэн | нягт нямбай хариуцлагатай | багаар болон бие даан ажиллах чадвартай"
Захиргааны ажилтан,213,209,4,Zangia,ЗОХИОН БАЙГУУЛАГЧ /ХУДАЛДААНЫ ТӨВ/,Ханхөгшин Интернэшнл ХХК,2100000,2500000,[],Ажилтан,3,Мэргэжилтэй ажилтан,Захиргааны ажилтан,"бакалавр болон түүнээс дээш зэрэгтэй | харилцагчийн үйлчилгээний ур чадвар | бичиг баримт боловсруулах чадвартай | тайлан боловсруулах, дүн шинжилгээ хийх | компьютерын хэрэглээний программ дээр ажиллах чадвартай | ашиглалтын программын зохих түвшний мэдлэгтэй | харилцааны өндөр ур чадвартай /аман болон бичгийн/"
Захиргааны ажилтан,213,209,4,Zangia,"Захиргаа, эрх зүйн бичиг баримтын мэргэжилтэн",We Group,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"захиргаа, бичиг хэрэг, эсвэл хууль эрх зүйн чиглэлээр боловсролтой | албан бичгийн стандарт мэддэг | хариуцлагатай, нямбай"
Захиргааны ажилтан,213,209,4,Zangia,Хятад хэлтэй захиргааны ажилтан,Иэрт Рич Монголиа Интеллижент Ложистикс ХХК,3000000,3500000,,Ажилтан,1,Ажилтан,Захиргааны ажилтан,Боловсрол | Хандлага | Харилцааны ур чадвар | Ур чадвар | Компьютерийн мэдлэг | Багаар ажиллах | Гадаад хэл | Бүтээлч байдал
Захиргааны ажилтан,213,209,4,Zangia,Хуулийн мэдлэгтэй нарийн бичиг ажилд авна,Монголын Үндэсний Их Сургууль,2100000,2500000,,Ажилтан,1,Ажилтан,Захиргааны ажилтан,Боловсрол | Туршлага | Хувь хүний чадвар | Компьютерийн мэдлэг | Харилцааны ур чадвар | Ачаалал даах | Мэдлэг | Гадаад хэл
Захиргааны ажилтан,213,209,4,Zangia,Оффис ресепшин,Хүннү Молл,1500000,1800000,,Ажилтан,1,Ажилтан,Захиргааны ажилтан,Боловсрол | Туршлага | Гадаад хэл | Компьютерийн мэдлэг | Харилцааны ур чадвар | Хандлага | Шийдвэр гаргах | Багаар ажиллах
Захиргааны ажилтан,213,209,4,Zangia,"Оффис ажилтан /Бичиг хэрэг, архив, хүний нөөц/",Нийслэл түгээх сүлжээ,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Хариуцлагатай
Захиргааны ажилтан,213,209,4,Zangia,Мэдээллийн ажилтан,Хүннү Молл,1500000,1800000,,Ажилтан,3,Ажилтан,Захиргааны ажилтан,Боловсрол
Захиргааны ажилтан,213,209,4,Zangia,Ресепшн,М Банк,1500000,1800000,[],Ажилтан,3,Мэргэжилтэй ажилтан,Захиргааны ажилтан,Боловсрол | Хэлний мэдлэг
Захиргааны ажилтан,213,209,4,Zangia,Нарийн бичиг,МОНГОЛЫН АКТИВ УДИРДЛАГЫН КОРПОРАЦИ ХХК,2100000,2500000,,Мэргэжилтэн,,Мэргэжилтэн,Захиргааны ажилтан,
Захиргааны ажилтан,213,209,4,Zangia,"Захирлын туслах, нарийн бичиг",Улаанбаатар Зочид Буудал,2500000,3000000,,Менежмент,7,Менежер / Супервайзор,Захиргааны ажилтан,Боловсрол | Ур чадварууд | Хэлний мэдлэг | Програм хангамж
Захиргааны ажилтан,213,209,4,Zangia,ОФФИС МЕНЕЖЕР,Тэсо Фүүдс ХХК,2500000,3000000,,Мэргэжилтэн,5,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Туршлага | Англи хэл | Компьютерийн хэрэглээ | Харилцааны ур чадвар
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах,ХАН ТРАНС ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"Google Docs / Sheets, Excel дээр сайн ажилладаг | 20-23 насны эмэгтэй"
Захиргааны ажилтан,213,209,4,Zangia,Оффис менежер,РЕМАКС СУПРИМ,1800000,2100000,,Мэргэжилтэн,2,Мэргэжилтэн,Захиргааны ажилтан,"Оффис менежер, хүний нөөц, нарийн бичиг хийж байсан туршлагатай бол давуу тал | Компьютерын үндсэн программын мэдлэгтэй"
Захиргааны ажилтан,213,209,4,Zangia,Захиргааны ажилтан,Скай Резорт ХХК,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Захиргааны ажилтан,Англи хэлний дунд болон дундаас дээш түвшний мэдлэгтэй | Хүний нөөцийн чиг үүргийг сонирхон судалдаг
Захиргааны ажилтан,213,209,4,Zangia,Оффис мэргэжилтэн,Алтан Жолоо Трейд ХХК,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Захиргааны ажилтан,"Оффис менежмент, хүний нөөцийн чиглэлээр туршлагатай | Компьютерийн өндөр ур чадвартай (MS Office, Google Suite)"
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах,Дриймий Дринкс,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Захиргааны ажилтан,"Google Docs/Sheets, Excel дээр сайн ажилладаг | Текст боловсруулах чадвартай (зөв найруулга, алдаагүй бичих)"
Захиргааны ажилтан,213,209,4,Zangia,Бичиг хэргийн ажилтан,Урад тээвэр ХХК,2100000,2500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,"бакалавр болон түүнээс дээш зэрэгтэй; | бичиг хэрэг, бүртгэл мэдээллийн чиглэлээр 2-3 жил ажилласан туршлагатай байх; | компьютерын хэрэглээний программыг бүрэн эзэмшсэн байх; | харилцааны ёс зүйтэй, харилцааны соёлтой, хувийн зохион байгуулалттай байх; | хурдацтай ажиллах чадвартай байх; | нямбай, нэг дор олон ажлыг үр дүнтэй гүйцэтгэх чадвартай байх; | идэвхи санаачилгатай байх."
Захиргааны ажилтан,213,209,4,Zangia,"Захирлын туслах, Захиргааны  ажилтан",Монполимет Групп,2500000,3000000,[],Мэргэжилтэн,5,Мэргэжилтэн,Захиргааны ажилтан,"бизнесийн удирдлага, хүний нөөцийн чиглэлээр их дээд сургууль төгссөн, бакалавр зэрэгтэй, | зааварчилгааны дагуу хурдан сурах чадвартай, идэвхи санаачлагатай, | компьютерийн хэрэглээнийграммыг бүрэн эзэмшсэн, | монгол хэлний дүрмийн мэдлэг сайтай, албан найруулга зүй сайтай байх, | гүйцэтгэлийн үр дүн сайтай, цаашид мэргэжлийн дагуу өсөж дэвших чиг эрмэлзэлтэй, | захиргааны ажилтан, оффис менежерээр ажиллаж байсан туршлагатай бол давуу тал"
Захиргааны ажилтан,213,209,4,Zangia,Гэрээ бэлтгэх ажилтан,Голомт Банк,2100000,2500000,[],Ажилтан,4,Ажилтан,Захиргааны ажилтан,Боловсрол | Мэргэжил | Туршлага | Ерөнхий ур чадвар | Мэргэжлийн ур чадвар
Захиргааны ажилтан,213,209,4,Zangia,Оффис менежер,Ти Эм Би Эн ХХК,2100000,2500000,[],Менежмент,4,Менежер / Супервайзор,Захиргааны ажилтан,Боловсрол | Ур чадвар | Мэдлэг | Компьютерийн мэдлэг | Ур чадвар | Туршлага
Захиргааны ажилтан,213,209,4,Zangia,Оффис менежер,Бүүк Он Девелопмент Инком Монгол ХХК,2100000,2500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Захиргааны ажилтан,Боловсрол | Компьютерийн мэдлэг | Компьютерийн мэдлэг | Программ хангамж | Программ хангамж | Хандлага | Ур чадвар | Хандлага | Хүйс | Боловсрол
Захиргааны ажилтан,213,209,4,Zangia,Захирлын туслах,Оюуны Ундраа Пропертийз ХХК,1800000,2100000,[],Ажилтан,3,Ажилтан,Захиргааны ажилтан,Боловсрол | Туршлага | Хэлний мэдлэг | Компьютерийн мэдлэг | Мэдлэг | Ур чадвар | Ур чадвар
