category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Машин сургалтын инженер,10,8,2,Zangia,AI СУДАЛГААНЫ ИНЖЕНЕР,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,"-ai/ml хөгжүүлэлт эсвэл судалгааны чиглэлээр 1–5 жил ажиллаж байсан туршлагатай | хиймэл оюун ухаан, компьютерийн ухаан, data science, математик, статистик эсвэл холбогдох чиглэлээр бакалавр болон түүнээс дээш боловсролтой | англи хэлний бичгийн болон ярианы дунд түвшний мэдлэгтэй | шинийг санаачлагч, туршилт хийж үр дүн гаргах сонирхолтой | багийн хамтын ажиллагаанд идэвхтэй"
Машин сургалтын инженер,10,8,2,Zangia,Data Scientist,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,"статистик, математик, компьютерийн ухаан, data science, хиймэл оюун ухааны чиглэлээр бакалавр болон түүнээс дээш боловсролтой | data scientist / analyst чиглэлээр 2–5 жил ажилласан туршлагатай | тоон мэдээлэлд дүн шинжилгээ хийх, стратегийн санал боловсруулах, бизнесийн кейс боловсруулах чадвартай; | англи хэлний бичгийн болон ярианы дундаас дээш түвшиний мэдлэгтэй | өгөгдөлд суурилсан дүн шинжилгээ хийх, тайлан боловсруулах, удирдлагад стратегийн санал дэвшүүлэх чадвартай | аналитик сэтгэлгээ өндөр, бизнесийн асуудлыг ойлгох чадвартай, баримтжуулалт сайтай"
Машин сургалтын инженер,10,8,2,Zangia,Машин Сургалт - Автоматжуулалтын инженер,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,"компьютерийн ухаан, мэдээллийн технологи, програм хангамж, cloud engineering бакалавр ба түүнээс дээш зэргийн боловсролтой | devops/mlops чиглэлээр 2–5 жил ажиллаж байсан туршлагатай | англи хэлний дундаас дээш түвшний мэдлэгтэй | ml pipeline эсвэл ai production орчинд ажилласан туршлагатай | cloud deployment туршлагатай | microsoft azure болон cloud сервер дээр ажиллаж байсан бол давуу талтай"
Машин сургалтын инженер,10,8,2,Zangia,AI хөгжүүлэгч,Таб солюшн,2100000,2500000,,Ажилтан,3,Ажилтан,Машин сургалтын инженер,Туршлага | Программийн мэдлэг | Ур чадварууд
Машин сургалтын инженер,10,8,2,Zangia,AI/ML ENGINEER,Монгол Ай Ди ХХК,3500000,4000000,,Менежмент,7,Менежер / Супервайзор,Машин сургалтын инженер,"компьютерийн шинжлэх ухаан, хиймэл оюун ухаан, өгөгдлийн шинжлэх ухаан, эсвэл холбогдох чиглэлээр бакалавр эсвэл магистрын зэрэгтэй | python хэлний өндөр програмчлалын ур чадвартай | машин сургалтын алгоритм, өгөгдлийн бүтэц, загварын үнэлгээний хэмжүүрийн талаар сайн ойлголттой | өгөгдлийн дамжуулах хоолой, api болон үүлэн үйлчилгээ (aws, gcp, azure)-тэй ажиллах туршлагатай | mlops, docker эсвэл kubernetes-тэй танилцсан | сониуч, аналитик сэтгэлгээтэй, ухаалаг автоматжуулалтаар бодит ертөнцийн бэрхшээлийг шийдвэрлэх хүсэл эрмэлзэлтэй"
Машин сургалтын инженер,10,8,2,Zangia,Машин сургалтын инженер,Номин Холдинг,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Машин сургалтын инженер,Бакалаврын зэрэгтэй | Python мэдлэг | Статистик мэдлэг
Машин сургалтын инженер,10,8,2,Zangia,AI/ML Engineer,Смарт Софтвэйр Групп,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Машин сургалтын инженер,Боловсрол | Туршлага | Туршлага | Мэдлэг | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар
Машин сургалтын инженер,10,8,2,Zangia,Хөгжүүлэгч,Премиум Нэксус ХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,Боловсрол | Туршлага | Ур чадвар
Машин сургалтын инженер,10,8,2,Lambda Global,AI/ML ENGINEER,Mongol iD LLC,3000000,6000000,"[{'name': 'Сургалтын төлбөрийн дэмжлэг', 'description': None}, {'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Gym/Yoga/Wellness гишүүнчлэл', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}, {'name': 'Хүүхэд асрах дэмжлэг', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Сэтгэлзүйн эрүүл мэндийн дэмжлэг', 'description': None}, {'name': 'Амьтанд ээлтэй оффис', 'description': None}, {'name': 'Зарим өдөр гэрээс ажиллах', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Компанийн бэлэг', 'description': None}, {'name': 'Алсаас ажиллах боломж', 'description': None}]",Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,Боловсрол | Ур чадвар | Мэдлэг | Туршлага | Туршлага | Хандлага
Машин сургалтын инженер,10,8,2,Lambda Global,AI Engineer,Чимэгэ Системс ХХК,3000000,5000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Машин сургалтын инженер,Ур чадвар | Мэдлэг | Ур чадвар | Ур чадвар | Боловсрол
