source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Цэвэрлэгээ үйлчилгээний менежер,Милленниум плаза,2100000,2500000,,Менежмент,6,Менежер / Супервайзор,Бусад,аялал жуучлал болон зочид буудал зоогийн газрын менежментээр бакалавр болон түүнээс дээш зэрэгтэй | салбартаа өсөн дэвших хүсэл тэмүүлэлтэй | удирдан зохион байгуулах чадвартай | тогтвор суурьшилтай ажиллах | зочид буудлын менежерээр ажиллаж байсан туршлагатай бол давуу тал болно
Zangia,Үйл ажиллагааны менежер,Айсмарк ХХК,2500000,3000000,,Менежмент,6,Менежер / Супервайзор,Бусад,"бизнесийн удирдлага, зочид буудал, рестораны чиглэлээр бакалавар түүнээс дээш боловсролтой. | үйлчилгээний байгууллагад 1-с дээш жил ажилласан туршлагатай. | англи хэлний хэрэглээний түвшний мэдлэгтэй | санхүү, бүртгэлийн анхан шатны мэдлэгтэй. | тооцоолон бодох, дүн шинжилгээ хийх чадвартай. | сургалт зохион байгуулах, илтгэх ур чадвартай. | харилцааны ур чадвартай, бизнесийн ёс зүйг эрхэмлэн ажиллах, | ""айсмарк"" ххк-ийн шинэ компани болох ""хаппинэс айскрем"" ххк-ийн өдөр тутмын үйл ажиллагааг зохицуулах, зохион байгуулах тул өмнө салбар хариуцаад ажиллаж байсан бол давуу тал"
Zangia,Гадаад харилцааны менежер,Ньюремеди ХХК,4000000,4500000,,Менежмент,6,Менежер / Супервайзор,Бусад,"эрүүл мэндийн чиглэлээр мэргэшсэн академик англи, орос хэлтэй байх | олон улсын харилцаа, олон улсын худалдааны чиглэл эсвэл анагаахын чиглэлээр мэргэжил эзэмшсэн байх | судалгаа, шинжилгээ хийх чадвартай | танилцуулга, тайлан бэлтгэх чадвартай | гадаад харилцааны чиглэлээр 2-с дээш жил ажилласан туршлагатай | эрүүл мэндийн салбарт ажилласан туршлагатай бол давуу талтай"
Zangia,Хүний нөөцийн менежер,Мандал Капитал Маркетс ҮЦК,3000000,3500000,,Менежмент,6,Менежер / Супервайзор,Хүний нөөцийн ажилтан,"хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй | мэргэжлээрээ 2-оос дээш жил ажилласан туршлагатай | олон төрлийн судалгаа хийх, дата анализ хийх чадвартай | хөдөлмөрийн тухай хуулийн мэдлэгтэй, ашиглах чадвартай | багаар ажиллах чадвартай | англи хэлний дундаас дээш түвшний мэдлэгтэй | хариуцлагатай, хурдтай ажиллах чадвартай"
Zangia,Эдийн засагч,Грийн Групп,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Санхүүгийн шинжээч,"эдийн засаг, санхүүгийн чиглэлээр бакалаврын зэрэгтэй | тухайн салбарт 1 дээш жилийн ажлын туршлагатай | шинжилгээ хийх, тоон мэдээллийг боловсруулах чадвартай | багийн ажилд идэвхтэй оролцох, бие даан ажиллах чадвартай | харилцааны өндөр ур чадвартай | мэдээллийн технологийн мэдлэгтэй (excel, powerpoint) | монгол болон англи хэлний мэдлэгтэй | банк, санхүүгийн салбарт ажиллах сонирхолтой | тогтвор суурьшилтай, хариуцлагатай | шинэ санаа, инноваци дээр төвлөрч ажиллах боломжтой"
Zangia,Үйлдвэрийн менежер,ГРИЙН ФАКТОРИ ХХК,2500000,3000000,,Менежмент,6,Менежер / Супервайзор,Бусад,"үйлдвэрлэл, үйл ажиллагаа болон бизнесийн менежмент чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | удирдан зохион байгуулах болон хувийн зохион байгуулалтын ур чадвартай байх | хэрэглээний программуудыг бүрэн эзэмшсэн байх | баримт бичиг боловсруулах болон дүн шинжилгээ хийх | тооцоолол хийх чадвартай"
Zangia,Үйл ажиллагааны менежер,Инвескор проперти,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Бусад,"англи хэлний дундаас дээш мэдлэгтэй байх | гадаад харилцаа, зочид буудлын менежмент, бизнес менежментийн чиглэлээр бакалавр зэрэгтэй. | оффисын хэрэглээний программуудыг эзэмшсэн | хариуцлагатай, бүтээлч сэтгэлгээтэй | хувийн зохион байгуулалт сайтай | тайлан мэдээ бэлтгэх, тайлбарлан таниулах чадвартай | асуудал шийдвэрлэх чадвартай"
Zangia,Борлуулалтын менежер,Алди-Импорт ХХК,3000000,3500000,,Менежмент,6,Менежер / Супервайзор,Бусад,"борлуулалтын жилийн, улирлын төлөвлөгөө боловсруулах, хэрэгжилтийг хангах | борлуулалтын сувгуудын (tt, chain, hfs, regional, open market) стратеги, зорилт тодорхойлох | борлуулагчдын маршрут, очилт, захиалгын гүйцэтгэлийг удирдах, хянах | борлуулалтын kpi (хамралт, үр дүнтэй очилт, төлөвлөгөөний биелэлт)-г тогтмол хянаж сайжруулах | харилцагч, худалдааны цэгүүдтэй хэлэлцээр хийх, хамтын ажиллагааг өргөжүүлэх | борлуулалтын дата, тайлан дээр үндэслэн шийдвэр гаргах | маркетинг, агуулах, санхүүгийн багуудтай уялдан ажиллах"
Zangia,Маркетингийн менежер,Үнэт санхүүгийн нэгдэл,2100000,2500000,,Менежмент,6,Менежер / Супервайзор,Бусад,"маркетинг, бизнесийн удирдлагын чиглэлээр мэргэжил эзэмшсэн | маркетингийн чиглэлээр 2-с дээш жил ажилласан туршлагатай | бүтээлч сэтгэлгээтэй | хариуцлагатай | хурдтай | багаар болон бие даан ажиллах чадвартай | харилцааны болон илтгэх ур чадвар сайтай"
Zangia,Салбарын удирдлагын менежер,БЭРС ФИНАНС ББСБ,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Бусад,"банк санхүү, нягтлан бодох чиглэлээр их дээд сургууль төгссөн бакалавр болон түүнээс дээш зэрэгтэй, | банк санхүүгийн байгууллагад 3 болон түүнээс дээш жил ажиллаж байсан туршлагатай, | бүх төрлийн гэрээ хэлцэл, дүрэм журам заавар боловсруулах чадвартай, | хэрэглээний программ дээр дундаас дээш түвшинд ажиллах чадвартай, | албан бичиг төлөвлөх, боловсруулах, тайлагнах чадвартай, | хууль, эрх зүйн чиглэлийн болон албан бичиг дээр судалгаа шинжилгээ хийх, дүгнэлт гаргах, асуудлыг шийдвэрлэх чадвартай, | удирдан зохион байгуулах, хувийн зохион байгуулалт сайтай, | харилцааны соёлтой,  баг хамт олныг манлайлан ажиллах чадвартай, | хууль, эрх зүйн орчинд ажиллах чадвартай, | хэл ярианы хөгжил сайтай, илтгэх болон өөрийгөө илэрхийлэх ур чадварыг сайн эзэмшсэн."
