source,job
Zangia,"{'name': 'Цэвэрлэгээ үйлчилгээний менежер', 'company': 'Милленниум плаза', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'аялал жуучлал болон зочид буудал зоогийн газрын менежментээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'салбартаа өсөн дэвших хүсэл тэмүүлэлтэй', 'details': None}, {'name': 'удирдан зохион байгуулах чадвартай', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах', 'details': None}, {'name': 'зочид буудлын менежерээр ажиллаж байсан туршлагатай бол давуу тал болно', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Үйл ажиллагааны менежер', 'company': 'Айсмарк ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'бизнесийн удирдлага, зочид буудал, рестораны чиглэлээр бакалавар түүнээс дээш боловсролтой.', 'details': None}, {'name': 'үйлчилгээний байгууллагад 1-с дээш жил ажилласан туршлагатай.', 'details': None}, {'name': 'англи хэлний хэрэглээний түвшний мэдлэгтэй', 'details': None}, {'name': 'санхүү, бүртгэлийн анхан шатны мэдлэгтэй.', 'details': None}, {'name': 'тооцоолон бодох, дүн шинжилгээ хийх чадвартай.', 'details': None}, {'name': 'сургалт зохион байгуулах, илтгэх ур чадвартай.', 'details': None}, {'name': 'харилцааны ур чадвартай, бизнесийн ёс зүйг эрхэмлэн ажиллах,', 'details': None}, {'name': '""айсмарк"" ххк-ийн шинэ компани болох ""хаппинэс айскрем"" ххк-ийн өдөр тутмын үйл ажиллагааг зохицуулах, зохион байгуулах тул өмнө салбар хариуцаад ажиллаж байсан бол давуу тал', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Гадаад харилцааны менежер', 'company': 'Ньюремеди ХХК', 'min_salary': 4000000, 'max_salary': 4500000, 'bonus': None, 'requirements': [{'name': 'эрүүл мэндийн чиглэлээр мэргэшсэн академик англи, орос хэлтэй байх', 'details': None}, {'name': 'олон улсын харилцаа, олон улсын худалдааны чиглэл эсвэл анагаахын чиглэлээр мэргэжил эзэмшсэн байх', 'details': None}, {'name': 'судалгаа, шинжилгээ хийх чадвартай', 'details': None}, {'name': 'танилцуулга, тайлан бэлтгэх чадвартай', 'details': None}, {'name': 'гадаад харилцааны чиглэлээр 2-с дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'эрүүл мэндийн салбарт ажилласан туршлагатай бол давуу талтай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Хүний нөөцийн менежер', 'company': 'Мандал Капитал Маркетс ҮЦК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'мэргэжлээрээ 2-оос дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'олон төрлийн судалгаа хийх, дата анализ хийх чадвартай', 'details': None}, {'name': 'хөдөлмөрийн тухай хуулийн мэдлэгтэй, ашиглах чадвартай', 'details': None}, {'name': 'багаар ажиллах чадвартай', 'details': None}, {'name': 'англи хэлний дундаас дээш түвшний мэдлэгтэй', 'details': None}, {'name': 'хариуцлагатай, хурдтай ажиллах чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Хүний нөөцийн ажилтан'}"
Zangia,"{'name': 'Эдийн засагч', 'company': 'Грийн Групп', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'эдийн засаг, санхүүгийн чиглэлээр бакалаврын зэрэгтэй', 'details': None}, {'name': 'тухайн салбарт 1 дээш жилийн ажлын туршлагатай', 'details': None}, {'name': 'шинжилгээ хийх, тоон мэдээллийг боловсруулах чадвартай', 'details': None}, {'name': 'багийн ажилд идэвхтэй оролцох, бие даан ажиллах чадвартай', 'details': None}, {'name': 'харилцааны өндөр ур чадвартай', 'details': None}, {'name': 'мэдээллийн технологийн мэдлэгтэй (excel, powerpoint)', 'details': None}, {'name': 'монгол болон англи хэлний мэдлэгтэй', 'details': None}, {'name': 'банк, санхүүгийн салбарт ажиллах сонирхолтой', 'details': None}, {'name': 'тогтвор суурьшилтай, хариуцлагатай', 'details': None}, {'name': 'шинэ санаа, инноваци дээр төвлөрч ажиллах боломжтой', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Санхүүгийн шинжээч'}"
Zangia,"{'name': 'Үйлдвэрийн менежер', 'company': 'ГРИЙН ФАКТОРИ ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'үйлдвэрлэл, үйл ажиллагаа болон бизнесийн менежмент чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй', 'details': None}, {'name': 'удирдан зохион байгуулах болон хувийн зохион байгуулалтын ур чадвартай байх', 'details': None}, {'name': 'хэрэглээний программуудыг бүрэн эзэмшсэн байх', 'details': None}, {'name': 'баримт бичиг боловсруулах болон дүн шинжилгээ хийх', 'details': None}, {'name': 'тооцоолол хийх чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Үйл ажиллагааны менежер', 'company': 'Инвескор проперти', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'англи хэлний дундаас дээш мэдлэгтэй байх', 'details': None}, {'name': 'гадаад харилцаа, зочид буудлын менежмент, бизнес менежментийн чиглэлээр бакалавр зэрэгтэй.', 'details': None}, {'name': 'оффисын хэрэглээний программуудыг эзэмшсэн', 'details': None}, {'name': 'хариуцлагатай, бүтээлч сэтгэлгээтэй', 'details': None}, {'name': 'хувийн зохион байгуулалт сайтай', 'details': None}, {'name': 'тайлан мэдээ бэлтгэх, тайлбарлан таниулах чадвартай', 'details': None}, {'name': 'асуудал шийдвэрлэх чадвартай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Борлуулалтын менежер', 'company': 'Алди-Импорт ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'борлуулалтын жилийн, улирлын төлөвлөгөө боловсруулах, хэрэгжилтийг хангах', 'details': None}, {'name': 'борлуулалтын сувгуудын (tt, chain, hfs, regional, open market) стратеги, зорилт тодорхойлох', 'details': None}, {'name': 'борлуулагчдын маршрут, очилт, захиалгын гүйцэтгэлийг удирдах, хянах', 'details': None}, {'name': 'борлуулалтын kpi (хамралт, үр дүнтэй очилт, төлөвлөгөөний биелэлт)-г тогтмол хянаж сайжруулах', 'details': None}, {'name': 'харилцагч, худалдааны цэгүүдтэй хэлэлцээр хийх, хамтын ажиллагааг өргөжүүлэх', 'details': None}, {'name': 'борлуулалтын дата, тайлан дээр үндэслэн шийдвэр гаргах', 'details': None}, {'name': 'маркетинг, агуулах, санхүүгийн багуудтай уялдан ажиллах', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Маркетингийн менежер', 'company': 'Үнэт санхүүгийн нэгдэл', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'маркетинг, бизнесийн удирдлагын чиглэлээр мэргэжил эзэмшсэн', 'details': None}, {'name': 'маркетингийн чиглэлээр 2-с дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'бүтээлч сэтгэлгээтэй', 'details': None}, {'name': 'хариуцлагатай', 'details': None}, {'name': 'хурдтай', 'details': None}, {'name': 'багаар болон бие даан ажиллах чадвартай', 'details': None}, {'name': 'харилцааны болон илтгэх ур чадвар сайтай', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Салбарын удирдлагын менежер', 'company': 'БЭРС ФИНАНС ББСБ', 'min_salary': 3500000, 'max_salary': 4000000, 'bonus': None, 'requirements': [{'name': 'банк санхүү, нягтлан бодох чиглэлээр их дээд сургууль төгссөн бакалавр болон түүнээс дээш зэрэгтэй,', 'details': None}, {'name': 'банк санхүүгийн байгууллагад 3 болон түүнээс дээш жил ажиллаж байсан туршлагатай,', 'details': None}, {'name': 'бүх төрлийн гэрээ хэлцэл, дүрэм журам заавар боловсруулах чадвартай,', 'details': None}, {'name': 'хэрэглээний программ дээр дундаас дээш түвшинд ажиллах чадвартай,', 'details': None}, {'name': 'албан бичиг төлөвлөх, боловсруулах, тайлагнах чадвартай,', 'details': None}, {'name': 'хууль, эрх зүйн чиглэлийн болон албан бичиг дээр судалгаа шинжилгээ хийх, дүгнэлт гаргах, асуудлыг шийдвэрлэх чадвартай,', 'details': None}, {'name': 'удирдан зохион байгуулах, хувийн зохион байгуулалт сайтай,', 'details': None}, {'name': 'харилцааны соёлтой,  баг хамт олныг манлайлан ажиллах чадвартай,', 'details': None}, {'name': 'хууль, эрх зүйн орчинд ажиллах чадвартай,', 'details': None}, {'name': 'хэл ярианы хөгжил сайтай, илтгэх болон өөрийгөө илэрхийлэх ур чадварыг сайн эзэмшсэн.', 'details': None}], 'job_level_category': 'Менежмент', 'job_grade': '6', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'ХАБЭА МЕНЕЖЕР /ТЭСО ДЭЙРИ ХХК/', 'company': 'Тэсо Фүүдс ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'ХАБЭА-н чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй, мэргэжлийн үнэмлэхтэй'}, {'name': 'Туршлага', 'details': 'Үйлдвэрлэл, ялангуяа хүнс, сүүн бүтээгдэхүүний үйлдвэрт 2 ба түүнээс дээш жил ажилласан бол давуу'}, {'name': 'Ур чадварууд', 'details': 'Компьютерийн болон өргөн хэрэглээний програм дээр ажиллах чадвартай'}, {'name': 'Ур чадварууд', 'details': 'Зохион байгуулах манлайлах чадвартай'}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Салбар дэлгүүрийн хариуцсан менежер', 'company': 'Чиг үүргийн удирдлага', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Туршлага', 'details': 'Бусад салбарт 10 жил удирдах ажил хийж байснаас электрон барааны дэлгүүрт менежерээр 5-аас дээш жил ажилласан туршлагатай'}, {'name': 'Боловсрол', 'details': 'Худалдаа борлуулалт, үйлчилгээ, маркетингийн чиглэлээр мэргэжил эзэмшсэн, баклавлаас дээш зэрэгтэй'}, {'name': 'Ур чадварууд', 'details': 'Хэрэглээний программууд дээр бүрэн ажилладаг'}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
Zangia,"{'name': 'ТӨСЛИЙН МЕНЕЖЕР /ХЯТАД ХЭЛТЭЙ/', 'company': 'Тэсо Инвестмэнт ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Бизнесийн удирдлага, олон улсын харилцаа, санхүү чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Хэлний мэдлэг', 'details': 'Бизнесийн Хятад, Англи хэлний ярианы болон бичгийн ахисан түвшний мэдлэгтэй байх'}, {'name': 'Туршлага', 'details': 'Төсөл удирдан зохион байгуулж, ТЭЗҮ боловсруулж байсан туршлагатай'}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Төслийн менежер'}"
Zangia,"{'name': 'ДЭЛГҮҮР ХАРИУЦСАН МЕНЕЖЕР', 'company': '""Милая Фүүдс"" ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Худалдаа, нийтийн хоол үйлдвэрлэл, үйлчилгээ, бизнесийн удирдлага чиглэлээр төгссөн'}, {'name': 'Туршлага', 'details': 'Борлуулалтын чиглэлээр ажилласан туршлагатай бол давуу тал болно'}], 'job_level_category': 'Менежмент', 'job_grade': '7', 'job_level': 'Менежер / Супервайзор', 'job_category': 'Бусад'}"
