category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,Ньюремеди ХХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Мультимедиа дизайнер,"график дизайн болон видео графикч болон ойролцоо чиглэлээр мэргэжил эзэмшсэн | график дизайн чилгэлэлээр 2-оос дээш жил ажилласан туршлагатай | эрүүл мэндийн салбарт ажиллаж байсан бол давуу тал болно | идэвхи, санаачлагатай, бүтээлч сэтгэлгээтэй | багаар ажиллах чадвартай | photoshop, illustrator программуудыг бүрэн эзэмшсэн | бусад программыг эзэмшсэн бол давуу тал болно | reel болон богино хэмжээний видео эвлүүлэг, ai ашигладаг бол давуу тал болно"
Мультимедиа дизайнер,152,141,11,Zangia,ГРАФИК ДИЗАЙНЕР,Могул Групп,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадварууд
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер /EMC LLC/,Эм Эм Эс Инженеринг ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Мультимедиа дизайнер,Боловсрол | Ур чадварууд
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер /MMS/,Эм Эм Эс Инженеринг ХХК,2100000,2500000,"[{'name': 'Туршлага', 'description': 'Видео контент, motion graphic (After Effects) дээр ажиллаж байсан бол давуу тал болно'}, {'name': 'Ур чадварууд', 'description': 'Фото зураг авалт, эвлүүлэг хийх чадвартай бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадварууд | Туршлага
Мультимедиа дизайнер,152,141,11,Zangia,Videographer,Вайрал Партнерс маркетингийн агентлаг,5000000,5500000,,Мэргэжилтэн,3,Мэргэжилтэн,Мультимедиа дизайнер,Туршлага | Програм хангамж
Мультимедиа дизайнер,152,141,11,Zangia,График Дизайнер,PC mall,2500000,3000000,,Мэргэжилтэн,3,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Туршлага | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер (Холдинг),Номин Холдинг,3500000,4000000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Туршлага | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,БИШРЭЛТ ТРЕЙД,3000000,3500000,,Мэргэжилтэн,3,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,Брасерий Монголиа ХХК,3000000,3500000,,Мэргэжилтэн,3,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,Эвлүүлэгч,Танин Мэдэхүй телевиз,1800000,2100000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"компьютер график дизайн болон видео эвлүүлгийн программууд дээр ажиллах чадвартай байх | дизайны мэдрэмжтэй | нэвтрүүлгийн монтаж, эвлүүлэг хийх мэргэжлийн ур чадвартай | бүтээлч, хариуцлагатай | багаар хамтран ажиллах чадвартай | гүйцэтгэлийн хурдтай байх | тогтвор суурьшилтай ажиллах"
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,БИШРЭЛТ ГРУПП,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"график дизайн чиглэлээр их дээд сургууль төгссөн | adobe creative suite (photoshop, illustrator, indesign гэх мэт)-ийг программууд дээр ажиллах чадвартай | багаар ажиллах чадвартай, хурдан шуурхай, шинэ санал санаачлагатай | хэвлэлийн эх бэлтгэл, постер зэргийг богино хугацаанд хийх чадвартай | видео шторк, эвлүүлэг хийх чадвартай бол давуу тал болно"
Мультимедиа дизайнер,152,141,11,Zangia,Контент бүтээгч (Видео & Фото),РЕМАКС ХАБ,4000000,4500000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"видео болон фото зураг авалтын туршлагатай | видео эвлүүлэг хийх чадвартай | (adobe premiere pro, after effects эсвэл түүнтэй адил програмууд) | сошиал медиа контентын формат, онцлогийг сайн ойлгодог | бие даан болон багаар ажиллах чадвартай | хариуцлагатай, цаг баримталдаг | бүтээлч сэтгэлгээтэй, тасралтгүй суралцах хүсэлтэй"
Мультимедиа дизайнер,152,141,11,Zangia,ДИЗАЙНЕР,Цахиур Төмөр ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"график дизайн чиглэлээр их, дээд сургууль төгссөн | 1-с дээш жил ажилласан туршлагатай | хариуцлагатай, гүйцэтгэл сайтай | зураг зурах, өнгөний сонголт мэдрэмж сайтай байх | багаар ажиллах, удирдан зохион байгуулах чадвартай байх"
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,Глобал Нэгдэл ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"хэвлэлийн эх бэлтгэх, дизайнерийн чиглэлээр ажиллаж байсан, сошиал сайтууд дээр контент бэлтгэж байсан туршлагатай | дараах программууд дээр чөлөөтэй ажиллах чадвартай /photoshop, coreldraw, illustrator гэх мэт | өнгө дүрс, дизайны мэдрэмжтэй байх | гараар зурдаг бол давуу тал"
Мультимедиа дизайнер,152,141,11,Zangia,UI/UX designer,"""Степпелинк Холдинг"" ХХК",3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Мультимедиа дизайнер,"ui/ux эсвэл мультимедиа график дизайны чиглэлээр бакалавр зэрэгтэй байх дизайны хэрэгслүүд (figma, photoshop, illustrator, after effect гэх мэт)-ийг сайн мэддэг байх; | ui/ux дизайны чиглэлээр 1 ба түүнээс дээш жил ажилласан туршлагатай байх."
Мультимедиа дизайнер,152,141,11,Zangia,СУРТАЛЧИЛГААНЫ ДИЗАЙНЕР,Номин Констракшн Девелопмент Групп,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"хэвлэлийн график дизайнер мэргэжлээр гадаад дотоодын их дээд сургууль төгссөн | photoshop, coreldraw, adobe illustrator, after effect, premiere зэрэг шаардлагaтай программууд дээр ажиллах чадвартай | мэргэжлээрээ 2 болон түүнээс дээш жил ажилласан туршлагатай | англи хэлний зохих түвшний мэдлэгтэй | харилцааны өндөр соёлтой, багаар ажиллах, ачаалал даах чадвартай | шинийг санаачлагч, бүтээлч сэтгэлгээтэй | цаг баримтлах, хувийн зохион байгуулалт сайтай | тогтвор суурьшилтай ажиллах"
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер /Балансэд Грөүт Менежмент ХХК/,Тэсо Групп,3500000,4000000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Мультимедиа дизайнер,"компьютер график дизайнер чиглэлээр их дээд сургууль төгссөн | видео болон хэвлэлийн эх бэлтгэлх мэргэжлийн программууд дээр ажиллах чадвартай /adobe photoshop, adobe illustrator, adobe after effect, premiere pro, indesign/ | багаар ажиллах чадвартай, хурдан шуурхай, шинэ санал санаачлагатай | мэргэжлээрээ ажилласан туршлагатай"
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,Транскапитал,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,"брошур, танилцуулга, баннер, постер гэх мэт сурталчилгааны эх бэлтгэдэг байх; | adobe illustrator, corel draw, photoshop гэх мэт ажил үүрэгтэй холбогдолтой мэргэжлийн программууд дээр ажилладаг байх | мэргэжлээрээ 2 хүртэлх жил ажилласан туршлагатай байх | шинийг санаачлагч, бүтээлч сэтгэлгээтэй байх | эерэг хандлагатай байх | хувийн зохион байгуулалт, цагийн менежмент сайтай байх"
Мультимедиа дизайнер,152,141,11,Zangia,График дизайнер,Очир Ундраа ОМЗ ББСБ,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,ДИЗАЙНЕР /АФ Такионмед ХХК/,Ази Фарма ХХК,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мультимедиа дизайнер,Боловсрол | Ур чадвар
Мультимедиа дизайнер,152,141,11,Zangia,"Видео, фото эдитор / cameraman /",Жавхлант дистрибюшн ХХК,3000000,3500000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Мультимедиа дизайнер,Ур чадвар | Ур чадвар
