category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,IT Person,Мэйжор Дриллинг Монгол ХХК,2500000,3000000,,Мэргэжилтэн,5,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"bachelor’s degree or above in information technology, computer science, or a related field | proficient in english at an upper-intermediate level or higher | strong background in computer maintenance, server operations, and network setup and management | exceptional interpersonal and teamwork skills | flexible and available to undertake business trips to site when required"
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Өгөгдлийн баазын админ,Номин Холдинг,4000000,4500000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"мэдээллийн технологи, системийн инженерчлэл, бизнесийн удирдлага чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх, | өгөгдлийн шинжилгээний стандарт арга аргачлалыг ашиглаж байсан туршлагатай байх, | sql хэл бүрэн эзэмшсэн powerbi, tableau ашиглаж тайлан, хянах самбар бэлтгэж r хэл дээр ажиллаж байсан ажлын туршлагатай бол давуу тал болно | big data, data analysis, data science сонирхдог өгөгдлийн баазын удирдах системийг удирдах чадвартай байх | тоон шинжилгээ, өгөгдлийн шинжилгээ, статистик судалгаа шинжилгээ хийсэн туршлагатай ms office програмуудыг бүрэн эзэмшсэн байх"
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Мэдээлэл технологийн инженер /хотод/,Кэй Эй Майнинг ХХК,2100000,2500000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Туршлага
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Мэдээллийн аюулгүй байдлын инженер /охин компанид/,Шунхлай Холдинг ХХК,2500000,3000000,"[{'name': 'Ур чадварууд', 'description': 'Soc орчинд мэдээллийн аюулгүй байдлын тасралтгүй хяналт хийх'}]",Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Мэдлэг | Туршлага
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,"Сүлжээ, Дэд бүтцийн инженер /Cisco, Linux мэдлэгтэ",CAL компани Монгол дахь төлөөлөгчийн газар,6000000,6500000,"[{'name': 'Туршлага', 'description': 'IT-ийн ажлын туршлагатай'}, {'name': 'Мэргэшил', 'description': 'CCNA/CCNP эзэмшсэн хүн'}]",Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Хэлний мэдлэг | Боловсрол
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Системийн администратор,Росторг ХХК,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Туршлага | Хэлний мэдлэг
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,"Мэдээлэл, бүртгэл хяналтын мэргэжилтэн /уурхайд/",Кэй Эй Майнинг ХХК,2100000,2500000,,Мэргэжилтэн,3,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Мэдлэг | Ур чадвар
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,VENDOR SYSTEM ADMIN,МСМ Групп ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"мэдээллийн технологийн инженер болон холбогдох чиглэлээр их дээд сургууль төгссөн | системийн аюулгүй байдал, систем администратор, аюулгүй байдлын талаар мэдлэгтэй байх | клоуд сервер, сүлжээ, vpn зохион байгуулах, microsoft 365 ойлголттой байх | тус чиглэлээр 1 жил ажилласан бол давуу тал болно | power automation, power apps дээр хөгжүүлэлт хийж байсан бол давуу тал болно | гадаад харилцагч байгууллагуудтай харилцах тул англи хэлний мэдлэгтэй байх | идэвх санаачлагатай, бие даан ажиллах мөн олон төрлийн ажил дээр зэрэг, уян хатан болон оновчтой ажиллах чадвартай байх."
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Сүлжээний инженер,"""Үндэсний Соёл Амралтын Хүрээлэн""ХХК",2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"- сүлжээний инженер, компьютерийн ухааны чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | - мэргэжлийн чиглэлээр 1 жил буюу түүнээс дээш хугацаанд ажилласан ажлын туршлагатай | - байгууллагын дотоод гадаад сүлжээг зохион байгуулах, сүлжээний бүтэц, зохион байгуулалтанд шинжилгээ хийх чадвартай; | - firewall, router болон сүлжээний бүх төрлийн тоног төхөөрөмжүүд дээр ажиллах чадвартай; | - багаар хамтран ажиллах чадвартай; | - үнэнч шударга, хувийн зохион байгуулалт сайтай; | - тууштай, хөдөлмөрч, ажилдаа идэвхи санаачилгатай; | - ачаалал даах чадвартай;"
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Систем администратор,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"cистем администратор, мэдээллийн технологийн инженер, мэдээллийн сангийн инженер чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | windows active directory эсвэл unix үйлдлийн систем болон it сүлжээний чиглэлээр чиглэлээр 1-с дээш жилийн ажлын туршлагатай | програмчлалын хэлний мэдлэгтэй | өгөгдлийн сан дээр ажиллах мэдлэгтэй | microsoft azure болон cloud сервер дээр ажиллаж байсан бол давуу талтай | англи хэлний дундаас дээш түвшний мэдлэгтэй"
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,СҮЛЖЭЭ ТӨЛӨВЛӨЛТИЙН ИНЖЕНЕР,Мобиком корпораци ХХК,3500000,4000000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"ip сүлжээ, tcp/ip, bgp, ospf, vlan, vrf, nat, acl, mpls, vpn, ipsec зэргийн өндөр мэдлэгтэй байх; | сүлжээний архитектурын баримт бичиг боловсруулах чадвартай; | cisco, arista гэх мэт сүлжээний төхөөрөмжтэй ажиллаж, дата төв эсвэл байгууллагын сүлжээний архитектур гаргаж байсан туршлагатай бол давуу тал болно; | ccna, ccnp (эсвэл түүнтэй дүйцэхүйц) гэрчилгээтэй бол давуу тал болно."
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,СИСТЕМИЙН ИНЖЕНЕР,Номин Констракшн Девелопмент Групп,2500000,3000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"мэдээллийн технологи, сүлжээний инженерийн чиглэлээр гадаад, дотоодын их дээд сургууль төгссөн | мэргэжилээрээ ажиллаж байсан туршлагатай | windows/macos үйлдлийн систем дээр ажиллах чадвартай | дотоод сүлжээ зохион байгуулах болон router, firewall дээр тохируулга хийх чадвартай | active directory, vmware болон microsoft office 365 системийн зохих мэдлэгтэй | судалгаа шинжилгээ хийх, цаг ашиглалт сайтай | багаар ажиллах, асуудал шийдвэрлэх чадвартай, харилцааны соёлтой"
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Мэдээллийн аюулгүй байдлын мэргэжилтэн,Акума Эрин ХХК,3500000,4000000,,Мэргэжилтэн,4,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Туршлага | Мэдлэг | Компьютерийн мэдлэг | Мэдлэг | Ур чадвар
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,IT ИНЖЕНЕР,"""Соно финтек"" ББСБ",3000000,3500000,,Менежмент,7,Менежер / Супервайзор,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Ур чадвар | Мэдлэг | Мэдлэг | Гадаад хэл | Хувь хүний чадвар | Ур чадвар | Хандлага
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Үйлчилгээний төвийн үйл ажиллагаа хариуцсан менежер,ХАРХОРУМ ДИЗАЙН ГРУПП,2100000,2500000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Туршлага
Мэдээллийн аюулгүй байдал болон систем администрат,89,80,9,Zangia,Салбар хариуцсан зохион байгуулагч,Монжаргалант групп,1800000,2100000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,Боловсрол | Туршлага | Манлайлал | Харилцааны ур чадвар | Ачаалал даах | Шийдвэр гаргах | Компьютерийн мэдлэг | Гадаад хэл
