source,job
Zangia,"{'name': 'Бэлтгэгч', 'company': 'Тэнүүн Өлзий ХХК', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': None, 'requirements': [{'name': 'цэвэрч, нямбай', 'details': None}, {'name': 'хурдан шаламгай', 'details': None}, {'name': 'ачаалал даах чадвартай', 'details': None}, {'name': 'цаг баримталдаг', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '1', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Ачигч', 'company': 'Ти Ай Ложистик ХХК', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': None, 'requirements': [{'name': 'биеийн хүчний ажил хийх чадвартай байх', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах, хариуцлагатай байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '1', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Үйлчлэгч', 'company': 'ТОП АВТО СЕРВИС', 'min_salary': 1000000, 'max_salary': 1200000, 'bonus': None, 'requirements': [{'name': 'Ур чадварууд', 'details': 'Ажилсаг, хурдан шаламгай, цэвэрч нямбай'}], 'job_level_category': 'Ажилтан', 'job_grade': '1', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'УКС-22 өрөм дээр угаагч ажилд авна.', 'company': 'Топ Ган Дриллинг ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'Боломж', 'details': None}, {'name': 'Туршлага', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '1', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'АГУУЛАХЫН ТУСЛАХ АЖИЛТАН /ШИНГЭН ХҮНС/', 'company': 'Премиум Корпорэйшн', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'Туршлага', 'details': None}, {'name': 'Ур чадвар', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '1', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Цагаан хэрэглэлийн угаагч ажилд авна.', 'company': 'Нарантуул Групп', 'min_salary': 1200000, 'max_salary': 1500000, 'bonus': None, 'requirements': [{'name': 'урьд энэ төрлийн ажил хийж байсан туршлагатай', 'details': None}, {'name': 'ажилдаа хариуцлагатай', 'details': None}, {'name': 'цэвэрч нямбай', 'details': None}, {'name': 'удирдлагаас өгсөн үүрэг даалгаварыг хурдан шуурхай гүйцэтгэж, хүлээж авах чадвартай байх', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах /6 сараас дээш ажиллах/', 'details': None}, {'name': 'цаг менежмэнт сайтай, хариуцлагатай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'АГУУЛАХЫН ТУСЛАХ АЖИЛТАН / ЭРЭГТЭЙ /', 'company': 'Аодэ ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': [], 'requirements': [{'name': 'по буюу сэрээт өргөгчийн операторын үнэмлэхтэй бол давуу тал болно', 'details': None}, {'name': 'ажлын ачаалал даах чадвартай', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах', 'details': None}, {'name': 'хариуцлагатай, цаг баримталдаг', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Худалдааны зөвлөх Имарт Хан-Уул', 'company': 'Сүит Мэлоди ХХК', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': [], 'requirements': [{'name': '- хүүхдийн хувцасны талаар мэдлэгтэй', 'details': None}, {'name': '- найдвартай, хариуцлагатай,', 'details': None}, {'name': '- өөрийгөө хөгжүүлэх бие даан ажиллах чадвартай', 'details': None}, {'name': '- санал, санаачлага тогтмол гаргагч байх', 'details': None}, {'name': '- их дээд сургууль төгссөн бол давуу тал болно.', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Кассын ажилтан', 'company': 'Цэцэгт Мэндчилгээ ХХК', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': [], 'requirements': [{'name': '- касс ажил хийж байсан туршлагатай', 'details': None}, {'name': '- санхүүгийн болон тооцооллын мэдлэгтэй', 'details': None}, {'name': '- компьютерийн үндсэн хэрэглээний талаарх мэдлэгтэй', 'details': None}, {'name': '-төлбөр тооцооны талаарх тайлан мэдээ баримтын тулгалтыг нягт нямбай хийдэг', 'details': None}, {'name': '- харилцааны соёлтой цэвэрч нямбай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'ТОГООЧ /ХОНГОР АПАРТМЕНТ САЛБАРТ/', 'company': 'М Март', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': [], 'requirements': [{'name': '-идэвхи зүтгэлтэй, хариуцлагатай', 'details': None}, {'name': '-багаар ажиллах чадвартай', 'details': None}, {'name': '-хоолны газрын тоног төхөөрөмжийг ашиглах чадвартай байх /давуу тал болно/', 'details': None}, {'name': '-пицца, бэлэн бүтээгдэхүүний тогоочоор ажиллаж байсан туршлагатай бол давуу тал болно.', 'details': None}, {'name': '-суралцах хүсэлтэй, цаашид групп компанид ажиллан, дэвшин ажиллах хүсэлтэй хэн бүхэнд нээлттэй.', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Худалдааны зөвлөх', 'company': 'Промадик Ассетс ХХК', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': [], 'requirements': [{'name': '• арьс арчилгаа, нүүр будалтын мэдлэгтэй', 'details': None}, {'name': '• нүүр будалт хийх туршлагатай бол давуу тал болно', 'details': None}, {'name': '• гоо сайхны бүтээгдэхүүний талаар судалгаа хийх сонирхолтой', 'details': None}, {'name': '• цаг баримталдаг, хувийн зохион байгуулалт сайтай', 'details': None}, {'name': '• ms office хэрэглээний программын тодорхой мэдлэгтэй', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Тогооч', 'company': 'Макотояа монголиа ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': [], 'requirements': [{'name': 'хоол үйлдвэрлэлийн салбарт ажиллах сонирхолтой', 'details': None}, {'name': 'газар дээр ажиллах туршлагатай байх', 'details': None}, {'name': 'ариун цэврийн стандарт, дүрмийг мэддэг байх', 'details': None}, {'name': 'тодорхой хугацаанд хурдан ажиллах чадвартай', 'details': None}, {'name': 'багаар ажиллах чадвартай', 'details': None}, {'name': 'ажлын хариуцлага, сахилга баттай байх', 'details': None}, {'name': 'бүтээгдэхүүний чанарт анхаарал хандуулах', 'details': None}, {'name': 'эрүүл мэндийн шалгалтанд тэнцсэн байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'НЯРАВ', 'company': 'Шинэ Гэр Түншлэл ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': [], 'requirements': [{'name': '- санхүү, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль, мэргэжлийн сургалтын төвийг төгссөн;', 'details': None}, {'name': '- тайлан мэдээ цаг хугацаанд нь үнэн зөв гаргах чадвартай;', 'details': None}, {'name': '- харилцааны соёлтой;', 'details': None}, {'name': '- нягт нямбай, хариуцлага өндөртэй;', 'details': None}, {'name': '- санхүүгийн програм дээр ажиллах анхан шатны чадвартай;', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Мерчиндайзер', 'company': 'Оюу энд танан стөүнэ ххк', 'min_salary': 1500000, 'max_salary': 1800000, 'bonus': [], 'requirements': [{'name': 'худалдаа, борлуулалтын чиглэлээр их дээд сургууль төгссөн байх.', 'details': None}, {'name': 'салбарын чиглэлээр 1-2 жилийн ажилласан туршлагатай байх.', 'details': None}, {'name': 'бараа бүтээгдэхүүний менежмент болон маркетингийн талаар ойлголттой байх.', 'details': None}, {'name': 'харилцааны өндөр ур чадвартай, багаар ажиллах чадвартай байх.', 'details': None}, {'name': 'компьютерийн програмуудыг (ms office) эзэмшсэн байх.', 'details': None}, {'name': 'харилцагчидтай эелдэг, найрсаг харилцаа тогтоож чаддаг байх.', 'details': None}, {'name': 'ажлын ачаалал даах чадвартай, цагийг зөв менежмент хийх чадвартай байх.', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '2', 'job_level': 'Мэргэжилгүй ажилтан', 'job_category': 'Бусад'}"
