source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Нярав (Багануур),Сайн Интернэшнл ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатай | оффисын хэрэглээний программ дээр ажиллах чадвартай | эмх цэгцтэй, нягт нямбай | хариуцлага хүлээх чадвартай"
Zangia,Ээлжийн тогооч /ресторанд/,Зулзаган Дөл ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"хүнсний технологи, үйлдвэрлэлийн чиглэлээр төгссөн | ресторанд 1-ээс дээш жил ажилласан туршлагатай | цаашид тогтвор суурьшилтай ажиллах хүсэлтэй | багаар ажиллах, манлайлах чадвартай | хувийн зохион байгуулалт сайтай"
Zangia,Цахилгаанчин,Төмөр Хас ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"бүрэн дунд болон түүнээс дээш боловсролтой | цахилгаанчин, техник, цахилгааны инженер мэргэжилтэй | цахилгаан чиглэлээр 2-с дээш жил ажилласан туршлагатай | угсралтын зураг унших, уялдуулах чадвартай, холбогдох норм, дүрмийн мэдлэгтэй | цахилгааны угсралтын болон цахилгаан тоног төхөөрөмжийн ашиглалтын мэдлэгтэй | эерэг зөв хандлагатай, багаар ажиллах чадвартай | шаардлагатай үел илүү цагаар ажиллах. | ачаалал даах чадвартай"
Zangia,Бүтээгдэхүүн үйлчилгээний ажилтан,Сайн Моторс ХХК,3000000,3500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"их дээд сургууль төгссөн | хэрэглээний программууд дээр ажиллах чадвартай | өөрийн ажилдаа хариуцлагатай ханддаг байх | хувийн зохион байгуулалт сайтай, багаар ажиллах чадвартай | цаашид урт хугацаанд ажиллах хүсэлтэй байх"
Zangia,Барилгын цахилгаанчин,Кэй Эй Майнинг ХХК,1800000,2100000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"цахилгааны мэргэжлээр мэргэшсэн байх | барилгын цахилгаан системийн туршлагаатай байх | цахилгаан техникийн дүрэм, стандартуудыг мэддэг байх | аюулгүй ажиллагааны талаар мэдлэгтэй байх | гарын авлагын болон цахилгаан тоног төхөөрөмжийн зааврыг ойлгож, дагаж мөрдөх чадвартай байх | багийн үйл ажиллагаанд идэвхтэй оролцох чадвартай байх | байнгын, цагийн хуваарьт ажиллах боломжтой байх | ажлын ачаалал даах чадвартай байх"
Zangia,Бүртгэл тооцооны ажилтан,Сайн Интернэшнл ХХК,2500000,3000000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"санхүү, бүртгэлийн чиглэлээр дээд боловсролтой | санхүүгийн программ, excel-ийг сайн мэддэг байх | эмх цэгцтэй, нягт нямбай байх | шинэ төгсөгч байж болно"
Zangia,Зээлийн эргэн төлөлт хариуцсан ажилтан,Сайн Интернэшнл ХХК,3000000,3500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"санхүү, нягтлан бодох бүртгэл, эдийн засаг эсвэл бизнесийн удирдлагын чиглэлээр төгссөн бол давуу талтай | санхүүгийн байгууллага, зээл эсвэл төлбөрийн хяналтын чиглэлээр ажиллаж байсан бол давуу талтай | компьютерын хэрэглээний програм (excel, word) дээр ажиллах чадвартай | харилцааны өндөр соёлтой, бичиг баримт боловсруулах, хяналт тавих нямбай байдалтай | хариуцлагатай, цаг баримталдаг, багаар ажиллах чадвартай"
Zangia,Бараа олголтын нярав,Мөнх ногоон тал ХХК,1800000,2100000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"бараа олголтын чиглэлээр ажиллаж байсан туршлагатай | бакалаврын зэрэгтэй байх | компьютерийн хэрэглээний программ дээр ажиллах чадвартай | харилцааны өндөр ур чадвартай | ажлын цагийн хуваарьт дагаж ажиллах чадвартай | багийн хамтран ажиллах чадвартай | шударга, хариуцлагатай | тогтвор суурьшилтай ажиллах хүсэлтэй | бараа бүтээгдэхүүний талаар ойлголттой байх | ачаалал даах чадвартай байх"
Zangia,Борлуулалтын ажилтан (Салбар),ЛиквиМоли Монгол,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,"худалдаа, борлуулалтын чиглэлээр ажиллах сонирхолтой | автомашины болон техникийн мэдлэгтэй эсвэл сонирхолтой бол давуу тал болно | харилцааны зөв хандлага төлөвшилтэй, хэл ярианы баялаг сайтай | асуудлыг бие даан шийдвэрлэх чадвартай | эерэг, эрч хүчтэй хандлагатай | цагийн менежмент, хувийн зохион байгуулалт сайтай | техникийн мэдлэгтэй эсвэл сонирхолтой байх | англи эсвэл герман хэлний мэдлэгтэй бол давуу тал болно"
Zangia,Борлуулалтын зөвлөх,Топ моторс ХХК,3000000,3500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Туршлага | Тусгай шаардлага | Хэлний мэдлэг
Zangia,МЕХАНИК ЗАСВАРЧИН /АЧААНЫ МАШИН/,МСМ Групп ХХК,2500000,3000000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Туршлага | Тусгай шаардлага
Zangia,Механик,Мөнххада ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Туршлага | Хандлага
Zangia,АГУУЛАХЫН НЯРАВ -Индастриал (Түр хугацаанд),МСМ Групп ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Туршлага | Тусгай шаардлага
Zangia,Лабораторийн техникч,Интермед эмнэлэг,1800000,2100000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Ур чадварууд
Zangia,Борлуулалтын клерк,Топ моторс ХХК,1800000,2100000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Хэлний мэдлэг | Ур чадварууд
Zangia,Байгууллага хариуцсан борлуулалтын зөвлөх,Топ моторс ХХК,1800000,2100000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Хэлний мэдлэг | Туршлага
Zangia,Засварын механикч,Топ моторс ХХК,2100000,2500000,,Ажилтан,3,Мэргэжилтэй ажилтан,Бусад,Боловсрол | Туршлага
