source,job
Zangia,"{'name': 'Нярав (Багануур)', 'company': 'Сайн Интернэшнл ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатай', 'details': None}, {'name': 'оффисын хэрэглээний программ дээр ажиллах чадвартай', 'details': None}, {'name': 'эмх цэгцтэй, нягт нямбай', 'details': None}, {'name': 'хариуцлага хүлээх чадвартай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Ээлжийн тогооч /ресторанд/', 'company': 'Зулзаган Дөл ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'хүнсний технологи, үйлдвэрлэлийн чиглэлээр төгссөн', 'details': None}, {'name': 'ресторанд 1-ээс дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'цаашид тогтвор суурьшилтай ажиллах хүсэлтэй', 'details': None}, {'name': 'багаар ажиллах, манлайлах чадвартай', 'details': None}, {'name': 'хувийн зохион байгуулалт сайтай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Цахилгаанчин', 'company': 'Төмөр Хас ХХК', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'бүрэн дунд болон түүнээс дээш боловсролтой', 'details': None}, {'name': 'цахилгаанчин, техник, цахилгааны инженер мэргэжилтэй', 'details': None}, {'name': 'цахилгаан чиглэлээр 2-с дээш жил ажилласан туршлагатай', 'details': None}, {'name': 'угсралтын зураг унших, уялдуулах чадвартай, холбогдох норм, дүрмийн мэдлэгтэй', 'details': None}, {'name': 'цахилгааны угсралтын болон цахилгаан тоног төхөөрөмжийн ашиглалтын мэдлэгтэй', 'details': None}, {'name': 'эерэг зөв хандлагатай, багаар ажиллах чадвартай', 'details': None}, {'name': 'шаардлагатай үел илүү цагаар ажиллах.', 'details': None}, {'name': 'ачаалал даах чадвартай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Бүтээгдэхүүн үйлчилгээний ажилтан', 'company': 'Сайн Моторс ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'их дээд сургууль төгссөн', 'details': None}, {'name': 'хэрэглээний программууд дээр ажиллах чадвартай', 'details': None}, {'name': 'өөрийн ажилдаа хариуцлагатай ханддаг байх', 'details': None}, {'name': 'хувийн зохион байгуулалт сайтай, багаар ажиллах чадвартай', 'details': None}, {'name': 'цаашид урт хугацаанд ажиллах хүсэлтэй байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Барилгын цахилгаанчин', 'company': 'Кэй Эй Майнинг ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'цахилгааны мэргэжлээр мэргэшсэн байх', 'details': None}, {'name': 'барилгын цахилгаан системийн туршлагаатай байх', 'details': None}, {'name': 'цахилгаан техникийн дүрэм, стандартуудыг мэддэг байх', 'details': None}, {'name': 'аюулгүй ажиллагааны талаар мэдлэгтэй байх', 'details': None}, {'name': 'гарын авлагын болон цахилгаан тоног төхөөрөмжийн зааврыг ойлгож, дагаж мөрдөх чадвартай байх', 'details': None}, {'name': 'багийн үйл ажиллагаанд идэвхтэй оролцох чадвартай байх', 'details': None}, {'name': 'байнгын, цагийн хуваарьт ажиллах боломжтой байх', 'details': None}, {'name': 'ажлын ачаалал даах чадвартай байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Бүртгэл тооцооны ажилтан', 'company': 'Сайн Интернэшнл ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'санхүү, бүртгэлийн чиглэлээр дээд боловсролтой', 'details': None}, {'name': 'санхүүгийн программ, excel-ийг сайн мэддэг байх', 'details': None}, {'name': 'эмх цэгцтэй, нягт нямбай байх', 'details': None}, {'name': 'шинэ төгсөгч байж болно', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Зээлийн эргэн төлөлт хариуцсан ажилтан', 'company': 'Сайн Интернэшнл ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'санхүү, нягтлан бодох бүртгэл, эдийн засаг эсвэл бизнесийн удирдлагын чиглэлээр төгссөн бол давуу талтай', 'details': None}, {'name': 'санхүүгийн байгууллага, зээл эсвэл төлбөрийн хяналтын чиглэлээр ажиллаж байсан бол давуу талтай', 'details': None}, {'name': 'компьютерын хэрэглээний програм (excel, word) дээр ажиллах чадвартай', 'details': None}, {'name': 'харилцааны өндөр соёлтой, бичиг баримт боловсруулах, хяналт тавих нямбай байдалтай', 'details': None}, {'name': 'хариуцлагатай, цаг баримталдаг, багаар ажиллах чадвартай', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Бараа олголтын нярав', 'company': 'Мөнх ногоон тал ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'бараа олголтын чиглэлээр ажиллаж байсан туршлагатай', 'details': None}, {'name': 'бакалаврын зэрэгтэй байх', 'details': None}, {'name': 'компьютерийн хэрэглээний программ дээр ажиллах чадвартай', 'details': None}, {'name': 'харилцааны өндөр ур чадвартай', 'details': None}, {'name': 'ажлын цагийн хуваарьт дагаж ажиллах чадвартай', 'details': None}, {'name': 'багийн хамтран ажиллах чадвартай', 'details': None}, {'name': 'шударга, хариуцлагатай', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах хүсэлтэй', 'details': None}, {'name': 'бараа бүтээгдэхүүний талаар ойлголттой байх', 'details': None}, {'name': 'ачаалал даах чадвартай байх', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Борлуулалтын ажилтан (Салбар)', 'company': 'ЛиквиМоли Монгол', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'худалдаа, борлуулалтын чиглэлээр ажиллах сонирхолтой', 'details': None}, {'name': 'автомашины болон техникийн мэдлэгтэй эсвэл сонирхолтой бол давуу тал болно', 'details': None}, {'name': 'харилцааны зөв хандлага төлөвшилтэй, хэл ярианы баялаг сайтай', 'details': None}, {'name': 'асуудлыг бие даан шийдвэрлэх чадвартай', 'details': None}, {'name': 'эерэг, эрч хүчтэй хандлагатай', 'details': None}, {'name': 'цагийн менежмент, хувийн зохион байгуулалт сайтай', 'details': None}, {'name': 'техникийн мэдлэгтэй эсвэл сонирхолтой байх', 'details': None}, {'name': 'англи эсвэл герман хэлний мэдлэгтэй бол давуу тал болно', 'details': None}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Борлуулалтын зөвлөх', 'company': 'Топ моторс ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'Боловсрол', 'details': 'Бизнесийн удирдлага, маркетинг болон автын чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй'}, {'name': 'Туршлага', 'details': 'Авто машин борлуулалтын чиглэлээр 1-ээс дээш жил ажилласан туршлагатай байх'}, {'name': 'Тусгай шаардлага', 'details': 'Монгол улсын жолооны ""В"" ангиллын үнэмлэхтэй байх'}, {'name': 'Хэлний мэдлэг', 'details': 'Англи эсхүл Япон хэлний ярианы болон бичгийн дунд ба түүнээс дээш түвшний мэдлэгтэй байх'}], 'job_level_category': 'Ажилтан', 'job_grade': '3', 'job_level': 'Мэргэжилтэй ажилтан', 'job_category': 'Бусад'}"
