source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Хуульч,Энто ХХК,2500000.0,3000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"эрх зүйч аль эсвэл хуульч мэргэжилтэй /хуульчийн сонгон шалгаруулалтад тэнцсэн/ | мэргэжлээрээ 1-2 жил ажилласан туршлагатай | англи хэлээр бичигдсэн баримт бичиг дээр ажиллах чадвартай | компанийн эрх зүйн  мэдлэгтэй | хувийн компанид ажилласан туршлагатай, эсвэл шүүгчийн туслах хийж байсан байж болно | дүрэм журам, бодлогын бичиг баримт боловсруулах, хянах, тайлбарлан таниулах чадвартай"
Zangia,Чанарын менежер,МонФүүдЛанд ХХК,1800000.0,2100000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"хүнсний технологи, чанарын менежмент болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх | чанарын удирдлагын системд ажилласан туршлагатай байх | стандарт, дүрэм, журамтай сайн танилцсан байх | ажлын үр дүнг хэмжих, анализ хийх чадвартай байх | багийн ажил хийх, харилцааны өндөр чадвартай байх | судалгаа, шинжилгээ хийх, мэдээлэл боловсруулах чадвартай байх | хүнсний үйлдвэрт ажиллаж байсан бол давуу тал болно"
Zangia,Нягтлан бодогч,Үнэт санхүүгийн нэгдэл,2100000.0,2500000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"нягтлан бодох бүртгэл, санхүүгийн чиглэлээр мэргэжил эзэмшсэн | хариуцлагатай | хурдтай"
Zangia,Зээлийн эдийн засагч,Кибернетик ББСБ,2500000.0,3000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Санхүүгийн шинжээч,"банк санхүүгийн чиглэлээр бакалавраас дээш зэрэгтэй байх, | компьютерийн хэрэглээний программууд дээр ажиллах чадвартай байх; /поларис программ дээр ажилладаг бол давуу тал болно/ | харилцааны соёлтой, бичгийн чадвартай байх, | багаар ажиллах чадвартай, мэргэжлийн ёс зүйтэй байх, | 22-н товчоонд байрлах авто худалдааны төвд ажиллах боломжтой байх"
Zangia,Агент,"""Буянт-Уухай"" ХХК",5500000.0,6000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"23 – 55 насны, дээд боловсролтой | худалдан борлуулах чадвартай | энэ салбарт ажиллах хүсэлтэй"
Zangia,Маркетингийн мэргэжилтэн,Цахиур ХХК,2500000.0,3000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"худалдаа, борлуулалт, бизнес удирдлагын чиглэлээр их дээд сургууль төгссөн бол давуу тал болно | орос хэлний ахисан түвшний мэдлэгтэй байх | ms оффисын программууд дээр ажиллах чадвартай | цаашид тогтвортой өсөн дэвшиж ажиллах хүсэлтэй | харилцаа хандлага сайтай, сэргэлэн, хурдан шаламгай, багаар ажиллах чадвартай, хариуцлагатай"
Zangia,Худалдааны төлөөлөгч,Цахиур ХХК,3000000.0,3500000.0,,Мэргэжилтэн,4,Мэргэжилтэн,Бусад,"үл хөдлөх барьцаалбартай байх | хувьдаа машинтай байх | борлуулалтын тайлан тооцоог өдөр бүр санхүүд үнэн зөв гаргаж өгөх | хувийн зохион байгуулалт сайтай, цаг сайн баримталдаг"
Zangia,IT Person,Мэйжор Дриллинг Монгол ХХК,2500000.0,3000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Мэдээллийн аюулгүй байдал болон систем администрат,"bachelor’s degree or above in information technology, computer science, or a related field | proficient in english at an upper-intermediate level or higher | strong background in computer maintenance, server operations, and network setup and management | exceptional interpersonal and teamwork skills | flexible and available to undertake business trips to site when required"
Zangia,Ерөнхий мэргэжлийн сувилагч,Грандмед эмнэлэг,1800000.0,2100000.0,,Мэргэжилтэн,4,Мэргэжилтэн,Бусад,"сувилахуйн чиглэлээр бакалаврын зэрэгтэй / сувилагч, бага эмч, сувилахуйн арга зүйч мэргэжилтэй/. шинэ төгсөгч байж болно | компьютерийн хэрэглээний программууд, интернет орчин, дотоод сүлжээнд ажиллах чадвартай | ёс зүй, харилцаа хандлагын зөрчил гаргаж байгаагүй, эмнэлгийн мэргэжилтний ёс зүйн хэм хэмжээг дээдэлдэг, багаар ажиллах чадвартай | нягт нямбай, хариуцлагатай | тогтвор суурьшилтай ажиллах"
Zangia,Хүүхдийн сувилагч,Грандмед эмнэлэг,1800000.0,2100000.0,,Мэргэжилтэн,4,Мэргэжилтэн,Бусад,"хүүхдийн сувилагчаар нарийссан байх | эмчилгээний процесс, стандартын талаар мэдлэгтэй байх | харилцааны чадвар сайн байх | мэргэжлийн ёс зүйг баримтлах"
Zangia,Яаралтай түргэн тусламжийн сувилагч,Грандмед эмнэлэг,1800000.0,2100000.0,,Мэргэжилтэн,4,Мэргэжилтэн,Бусад,"яаралтайгаар нарийссан байх | эмчилгээний процесс, стандартын талаар мэдлэгтэй байх | харилцааны чадвар сайн байх | мэргэжлийн ёс зүйг баримтлах"
Zangia,Гастроэнтерологи эмч,Грандмед эмнэлэг,2500000.0,3000000.0,,Мэргэжилтэн,5,Мэргэжилтэн,Бусад,"хүний их эмч мэргэжилтэй | дотрын эмчийн мэргэжил эзэмшсэн | эмчлэх үйл ажиллагаа эрхлэх зөвшөөрөлтэй | мэргэжлээрээ 2 ба түүнээс дээш жил ажилласан туршлагатай | харилцааны соёлтой, хувийн зохион байгуулалт сайтай | багаар ажиллах чадвартай, зөв харилцаа хандлагатай | англи хэлний мэдлэгтэй"
Zangia,Ахлах тогооч,Кэй Эй Майнинг ХХК,2500000.0,3000000.0,,Мэргэжилтэн,4,Мэргэжилтэн,Бусад,"мэргэжлийн үнэмлэхтэй | мэргэжлээрээ 5-аас доошгүй жил ажилласан туршлагатай | хөдөлмөрийн аюулгүй ажиллагаа, эрүүл ахуйн мэдлэгтэй | удирдан зохион байгуулах чадвартай"
