source,job
Zangia,"{'name': 'Хуульч', 'company': 'Энто ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'эрх зүйч аль эсвэл хуульч мэргэжилтэй /хуульчийн сонгон шалгаруулалтад тэнцсэн/', 'details': None}, {'name': 'мэргэжлээрээ 1-2 жил ажилласан туршлагатай', 'details': None}, {'name': 'англи хэлээр бичигдсэн баримт бичиг дээр ажиллах чадвартай', 'details': None}, {'name': 'компанийн эрх зүйн  мэдлэгтэй', 'details': None}, {'name': 'хувийн компанид ажилласан туршлагатай, эсвэл шүүгчийн туслах хийж байсан байж болно', 'details': None}, {'name': 'дүрэм журам, бодлогын бичиг баримт боловсруулах, хянах, тайлбарлан таниулах чадвартай', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Чанарын менежер', 'company': 'МонФүүдЛанд ХХК', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'хүнсний технологи, чанарын менежмент болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх', 'details': None}, {'name': 'чанарын удирдлагын системд ажилласан туршлагатай байх', 'details': None}, {'name': 'стандарт, дүрэм, журамтай сайн танилцсан байх', 'details': None}, {'name': 'ажлын үр дүнг хэмжих, анализ хийх чадвартай байх', 'details': None}, {'name': 'багийн ажил хийх, харилцааны өндөр чадвартай байх', 'details': None}, {'name': 'судалгаа, шинжилгээ хийх, мэдээлэл боловсруулах чадвартай байх', 'details': None}, {'name': 'хүнсний үйлдвэрт ажиллаж байсан бол давуу тал болно', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Нягтлан бодогч', 'company': 'Үнэт санхүүгийн нэгдэл', 'min_salary': 2100000, 'max_salary': 2500000, 'bonus': None, 'requirements': [{'name': 'нягтлан бодох бүртгэл, санхүүгийн чиглэлээр мэргэжил эзэмшсэн', 'details': None}, {'name': 'хариуцлагатай', 'details': None}, {'name': 'хурдтай', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Зээлийн эдийн засагч', 'company': 'Кибернетик ББСБ', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'банк санхүүгийн чиглэлээр бакалавраас дээш зэрэгтэй байх,', 'details': None}, {'name': 'компьютерийн хэрэглээний программууд дээр ажиллах чадвартай байх; /поларис программ дээр ажилладаг бол давуу тал болно/', 'details': None}, {'name': 'харилцааны соёлтой, бичгийн чадвартай байх,', 'details': None}, {'name': 'багаар ажиллах чадвартай, мэргэжлийн ёс зүйтэй байх,', 'details': None}, {'name': '22-н товчоонд байрлах авто худалдааны төвд ажиллах боломжтой байх', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Санхүүгийн шинжээч'}"
Zangia,"{'name': 'Агент', 'company': '""Буянт-Уухай"" ХХК', 'min_salary': 5500000, 'max_salary': 6000000, 'bonus': None, 'requirements': [{'name': '23 – 55 насны, дээд боловсролтой', 'details': None}, {'name': 'худалдан борлуулах чадвартай', 'details': None}, {'name': 'энэ салбарт ажиллах хүсэлтэй', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Маркетингийн мэргэжилтэн', 'company': 'Цахиур ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'худалдаа, борлуулалт, бизнес удирдлагын чиглэлээр их дээд сургууль төгссөн бол давуу тал болно', 'details': None}, {'name': 'орос хэлний ахисан түвшний мэдлэгтэй байх', 'details': None}, {'name': 'ms оффисын программууд дээр ажиллах чадвартай', 'details': None}, {'name': 'цаашид тогтвортой өсөн дэвшиж ажиллах хүсэлтэй', 'details': None}, {'name': 'харилцаа хандлага сайтай, сэргэлэн, хурдан шаламгай, багаар ажиллах чадвартай, хариуцлагатай', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Худалдааны төлөөлөгч', 'company': 'Цахиур ХХК', 'min_salary': 3000000, 'max_salary': 3500000, 'bonus': None, 'requirements': [{'name': 'үл хөдлөх барьцаалбартай байх', 'details': None}, {'name': 'хувьдаа машинтай байх', 'details': None}, {'name': 'борлуулалтын тайлан тооцоог өдөр бүр санхүүд үнэн зөв гаргаж өгөх', 'details': None}, {'name': 'хувийн зохион байгуулалт сайтай, цаг сайн баримталдаг', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '4', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'IT Person', 'company': 'Мэйжор Дриллинг Монгол ХХК', 'min_salary': 2500000, 'max_salary': 3000000, 'bonus': None, 'requirements': [{'name': 'bachelor’s degree or above in information technology, computer science, or a related field', 'details': None}, {'name': 'proficient in english at an upper-intermediate level or higher', 'details': None}, {'name': 'strong background in computer maintenance, server operations, and network setup and management', 'details': None}, {'name': 'exceptional interpersonal and teamwork skills', 'details': None}, {'name': 'flexible and available to undertake business trips to site when required', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '5', 'job_level': 'Мэргэжилтэн', 'job_category': 'Мэдээллийн аюулгүй байдал болон систем администрат'}"
Zangia,"{'name': 'Ерөнхий мэргэжлийн сувилагч', 'company': 'Грандмед эмнэлэг', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'сувилахуйн чиглэлээр бакалаврын зэрэгтэй / сувилагч, бага эмч, сувилахуйн арга зүйч мэргэжилтэй/. шинэ төгсөгч байж болно', 'details': None}, {'name': 'компьютерийн хэрэглээний программууд, интернет орчин, дотоод сүлжээнд ажиллах чадвартай', 'details': None}, {'name': 'ёс зүй, харилцаа хандлагын зөрчил гаргаж байгаагүй, эмнэлгийн мэргэжилтний ёс зүйн хэм хэмжээг дээдэлдэг, багаар ажиллах чадвартай', 'details': None}, {'name': 'нягт нямбай, хариуцлагатай', 'details': None}, {'name': 'тогтвор суурьшилтай ажиллах', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '4', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
Zangia,"{'name': 'Хүүхдийн сувилагч', 'company': 'Грандмед эмнэлэг', 'min_salary': 1800000, 'max_salary': 2100000, 'bonus': None, 'requirements': [{'name': 'хүүхдийн сувилагчаар нарийссан байх', 'details': None}, {'name': 'эмчилгээний процесс, стандартын талаар мэдлэгтэй байх', 'details': None}, {'name': 'харилцааны чадвар сайн байх', 'details': None}, {'name': 'мэргэжлийн ёс зүйг баримтлах', 'details': None}], 'job_level_category': 'Мэргэжилтэн', 'job_grade': '4', 'job_level': 'Мэргэжилтэн', 'job_category': 'Бусад'}"
