category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Санхүү эрхэлсэн захирал,11,7,4,Zangia,Санхүү хариуцсан захирал,Чиглэл ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,10,Гүйцэтгэх захирал,Санхүү эрхэлсэн захирал,"су, нбб-ийн баклавр, эрдмийн зэрэгтэй байх | санхүүгийн чиглэлээр 10-с дээш жил удирдах ажил хийж байсан туршлагатай байх | мэргэшссэн ня-бо зэрэгтэй байх | санхүүгийн мэргэжлийн зөвлөгөө өгөх арга барил, чадвартай | манлайлан ажиллах чадвартай | асуудлыг дэмжин багаар хамтран ажиллах чадвартай | компанийн менежментийн хөгжилд хувь нэмэр оруулж ажиллах удирдлагын мэдлэгтэй | боловсруулах,загварчлах, төлөвлөх, тооцоолох, зохион байгуулах, тайлагнах чадвартай. | статистикийн дүн шинжилгээ хийх, санхүүгийн төлөвлөгөө төсөв боловсруулалтыг удирдах чадвартай. | асуудлыг шуурхай оновчтой шийдвэрлэх чадвартай | санхүү татварын хууль эрх зүйн мэдлэгтэй байх. | санхүү хариуцсан захирлын гүйцэтгэлийн үндсэн үзүүлэлтүүд нь: | 1. ашигт ажиллагааны түвшин | 2. мөнгөн урсгалын тогтвортой байдал | 3. төсвийн сахилга бат | 4. татвар, аудитын зөрчилгүй байдал | 5. зардлын бууралтын хувь"
Санхүү эрхэлсэн захирал,11,7,4,Zangia,Санхүүгийн албаны захирал (CFO),ГОВЬ РЕСУРС ДЕВЕЛОПМЕНТ ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол
Санхүү эрхэлсэн захирал,11,7,4,Zangia,ХЯНАЛТ ШАЛГАЛТЫН ХЭЛТЭСТ - ХЭЛТСИЙН ЗАХИРАЛ,Их Мөнх Наран ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хувийн чанар
Санхүү эрхэлсэн захирал,11,7,4,Zangia,САНХҮҮ ТӨЛӨВЛӨЛТ ХАРИУЦСАН ЗАХИРАЛ,Макс Групп,6000000,6500000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Туршлага | Ур чадвар | Хэлний мэдлэг
Санхүү эрхэлсэн захирал,11,7,4,Zangia,Санхүү төлөвлөлтийн дарга,Таван Богд Групп,8000000,9000000,,Гүйцэтгэх удирдлага,10,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Туршлага
Санхүү эрхэлсэн захирал,11,7,4,Zangia,Санхүү хариуцсан захирал,МRТ Менежмент ХХК,7000000,7500000,,Гүйцэтгэх удирдлага,10,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Туршлага | Туршлага | Туршлага | Компьютерийн мэдлэг | Ур чадвар | Хэлний мэдлэг | Ур чадвар
Санхүү эрхэлсэн захирал,11,7,4,Zangia,Санхүү бүртгэлийн албаны дарга,Уранган ХХК,5000000,5500000,,Менежмент,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Ур чадвар | Мэдлэг | Туршлага
Санхүү эрхэлсэн захирал,11,7,4,Lambda Global,Chief financial officer (CFO),Milk JSC,7000000,10000000,"[{'name': 'Компанийн хувьцаа', 'description': None}, {'name': 'Хүүхэд асрах дэмжлэг', 'description': None}, {'name': 'Өглөөний цай /үнэгүй/', 'description': None}, {'name': 'Компаний машин/унаа', 'description': None}, {'name': 'Зарим өдөр гэрээс ажиллах', 'description': None}, {'name': 'Орон сууцны дэмжлэг', 'description': None}, {'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Gym/Yoga/Wellness гишүүнчлэл', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}, {'name': 'Тэтгэврийн хуримтлал', 'description': None}, {'name': 'Шинэ аав/ээжийн уртасгасан чөлөө', 'description': None}, {'name': 'Компанийн бэлэг', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Үдийн хоол /төлбөргүй/', 'description': None}, {'name': 'Сэтгэлзүйн эрүүл мэндийн дэмжлэг', 'description': None}]",Гүйцэтгэх удирдлага,10,Дэд захирал,Санхүү эрхэлсэн захирал,
Санхүү эрхэлсэн захирал,11,7,4,Lambda Global,Санхүү төлөвлөлтийн дарга,Таван Богд Групп,8000000,9000000,"[{'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Орон сууцны дэмжлэг', 'description': None}, {'name': 'Жилийн эцсийн бонус', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}]",Менежмент,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар | Ур чадвар | Ур чадвар | Ур чадвар | Давуу тал
Санхүү эрхэлсэн захирал,11,7,4,Lambda Global,АРИЛЖААНЫ ХЭЛТСИЙН ЗАХИРАЛ,Капитрон банк,5500000,7000000,[],Менежмент,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол | Хэлний мэдлэг | Туршлага | Мэдлэг | Туршлага | Ур чадвар | Давуу тал
