category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Санхүүгийн шинжээч,342,329,13,Zangia,Зээлийн эдийн засагч,Кибернетик ББСБ,2500000,3000000,,Мэргэжилтэн,5,Мэргэжилтэн,Санхүүгийн шинжээч,"банк санхүүгийн чиглэлээр бакалавраас дээш зэрэгтэй байх, | компьютерийн хэрэглээний программууд дээр ажиллах чадвартай байх; /поларис программ дээр ажилладаг бол давуу тал болно/ | харилцааны соёлтой, бичгийн чадвартай байх, | багаар ажиллах чадвартай, мэргэжлийн ёс зүйтэй байх, | 22-н товчоонд байрлах авто худалдааны төвд ажиллах боломжтой байх"
Санхүүгийн шинжээч,342,329,13,Zangia,Эдийн засагч,Грийн Групп,3500000,4000000,,Менежмент,6,Менежер / Супервайзор,Санхүүгийн шинжээч,"эдийн засаг, санхүүгийн чиглэлээр бакалаврын зэрэгтэй | тухайн салбарт 1 дээш жилийн ажлын туршлагатай | шинжилгээ хийх, тоон мэдээллийг боловсруулах чадвартай | багийн ажилд идэвхтэй оролцох, бие даан ажиллах чадвартай | харилцааны өндөр ур чадвартай | мэдээллийн технологийн мэдлэгтэй (excel, powerpoint) | монгол болон англи хэлний мэдлэгтэй | банк, санхүүгийн салбарт ажиллах сонирхолтой | тогтвор суурьшилтай, хариуцлагатай | шинэ санаа, инноваци дээр төвлөрч ажиллах боломжтой"
Санхүүгийн шинжээч,342,329,13,Zangia,"Нөөцийн удирдлага, бүтээмжийн ахлах менежер",Улаанбаатар гурил,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Санхүүгийн шинжээч,"санхүүгийн удирдлага, санхүү шинжээч, дата аналист чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | санхүүгийн менежер, санхүүгийн шинжээч чиглэлээр 2-оос дээш жил ажилласан туршлагатай | бизнесийн болон санхүүгийн судалгаа шинжилгээ хийх, мэдээлэл боловсруулах, дүгнэлт гаргах тайлагнах чадвартай | төсөл төлөвлөгөө боловсруулах, процессийн сайжруулалт, бүтээмжийн хэмжилт, kpi тогтоох, гүйцэтгэлийг үнэлэх, дүн шинжилгээ хийх өндөр чадвартай | erp болон нөөцийн удирдлагын систем дээр ажиллах чадвартай | харилцааны өндөр ур чадвартай, багаар ажиллах болон бусдыг удирдан зохион байгуулах чадвартай | англи хэлний бичгийн болон ярианы ахисан түвшний мэдлэгтэй байвал давуу тал болно"
Санхүүгийн шинжээч,342,329,13,Zangia,Төлөвлөлтийн эдийн засагч,Цэцэнс Майнинг & Энержи ХХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Санхүүгийн шинжээч,"санхүү менежмент, эдийн засаг, бизнесийн удирдлага, нягтлан бодох бүртгэлийн чиглэлээр бакалавраас дээш зэрэгтэй; | эрчим хүчний салбарт эсвэл үйлдвэрлэлийн салбарт санхүүгийн шинжээч, төлөвлөлт, эдийн засгийн чиглэлээр 3-5 жил ажилласан туршлагатай; | цахилгаан станцын үйл ажиллагаа, өртөгийн бүтэц, зах зээлийн онцлогийг ойлгодог байх; | эдийн засгийн онол, макро ба микро эдийн засгийн мэдлэгтэй, үйлдвэрлэлийн төлөвлөлт, өртөг зардлын тооцоолол, төлөвлөлтийн арга зүйг эзэмшсэн; | санхүүгийн шинжилгээ, үр ашгийн тооцооны аргачлалыг эзэмшсэн, эдийн засгийн загварчлал, тоон судалгааны арга зүйг эзэмшсэн; | тоон мэдээлэл боловсруулах, дүн шинжилгээ хийх өндөр ур чадвартай; | санхүүгийн тооцооны программууд (excel,power bi,  erp) ашиглах чадвартай | тайлан төлөвлөгөө боловсруулах чадвартай; | судалгаа шинжилгээний арга зүй эзэмшсэн байх; | англи хэлний ахисан түвшний мэдлэгтэй; | шаардлагатай тохиолдолд төслийн талбайд ажиллах боломжтой байх;"
Санхүүгийн шинжээч,342,329,13,Zangia,САНХҮҮГИЙН МЭРГЭЖИЛТЭН /аудит/,Монголын Алт (МАК) ХХК,3500000,4000000,,Мэргэжилтэн,4,Мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Хэлний мэдлэг
Санхүүгийн шинжээч,342,329,13,Zangia,Ахлах нягтлан бодогч / Авлага/,Волтам ХХК,3500000,4000000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Ур чадварууд
Санхүүгийн шинжээч,342,329,13,Zangia,Зээлийн эдийн засагч,Мандал Даатгал ХК,2500000,3000000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага | Хэлний мэдлэг
Санхүүгийн шинжээч,342,329,13,Zangia,ТУСГАЙ АКТИВЫН АЖИЛТАН,Изи Пэй Норбүла ББСБ,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага
Санхүүгийн шинжээч,342,329,13,Zangia,Зээлийн эдийн засаг,Инвескор ББСБ ХК,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Ур чадварууд
Санхүүгийн шинжээч,342,329,13,Zangia,Зээлийн эдийн засагч /Си И Си Инвестмент ББСБ ХХК/,ЮНАЙТЭД ПРОЖЕКТС КОРПОРЭЙШН ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Санхүүгийн шинжээч,Боловсрол | Туршлага
