category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Систем хөгжүүлэгч,24,24,0,Zangia,Senior system engineer,Дэнцү Дата Артист Монгол ХХК,0,0,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Систем хөгжүүлэгч,"gcp, aws дээр 1.5 жилээс дээш туршлагатай байх. | програмчлалын аль нэг хэлний мэдлэгтэй байх. (ихэнх төсөл маань python, ts framework, sdk ашиглаж явагддаг) | ai tools ашигладаг байх."
Систем хөгжүүлэгч,24,24,0,Zangia,Функциональ шинжээч,Скай Хайпермаркет ХХК,3000000,3500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Систем хөгжүүлэгч,Боловсрол | Туршлага
Систем хөгжүүлэгч,24,24,0,Zangia,Вэб хөгжүүлэгч,Практикал Даатгал,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Систем хөгжүүлэгч,"IT, компьютерын ухааны чиглэлээр бакалавр зэрэгтэй | HTML, CSS, JS, Python хэлний мэдлэгтэй | Odoo ERP систем дээр ажиллаж байсан бол давуу тал"
Систем хөгжүүлэгч,24,24,0,Zangia,IT СУДАЛГААНЫ ИНЖЕНЕР,Мобиком корпораци ХХК,3500000,4000000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Систем хөгжүүлэгч,"мэдээллийн технологийн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй. | англи хэлний бичгийн болон ярианы дунд түвшний мэдлэгтэй | асуудлыг задлан шинжлэх, дүгнэх, учир шалтгааныг олох, шинэ технологи, системийг бие даан судлах болон ажиллуулах чадвартай. | төсөл төлөвлөгөө боловсруулах, төслийн багуудыг удирдах, тайлагнах ур чадвартай."
Систем хөгжүүлэгч,24,24,0,Zangia,БИЛЛИНГИЙН СИСТЕМ ИНЖЕНЕР,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Систем хөгжүүлэгч,"программ хангамж, мэдээллийн технологи, мэдээллийн систем, сүлжээний инженерчлэл болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | төлбөр тооцооны систем, санхүүгийн систем эсвэл том хэмжээний мэдээллийн системтэй ажиллаж байсан туршлагатай бол давуу тал болно | шинэ системийг хурдан судалж, бие даан ашиглах чадвартай | oracle, postgresql, mssql зэрэг өгөгдлийн сангийн удирдлагын системийн мэдлэгтэй, өгөгдлийн сангийн sql асуулга боловсруулах чадвартай | unix/linux үйлдлийн системийн орчинд ажиллах чадвартай, скрипт бичих туршлагатай бол давуу тал | англи хэлний дундаас дээш түвшний унших, бичих, ярих чадвартай | багаар болон бие даан ажиллах чадвартай, харилцааны соёлтой, асуудал шийдвэрлэх өндөр ур чадвартай"
Систем хөгжүүлэгч,24,24,0,Zangia,СИСТЕМ ИНЖЕНЕР.,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,4,Мэргэжилтэн,Систем хөгжүүлэгч,"мэдээллийн сүлжээ, мэдээллийн технологи, мэдээллийн систем, компьютерын программ хангамж чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй, | linux болон windows үйлдлийн системийн дээр ажиллах чадвартай, | сүлжээний суурь мэдлэгтэй virtualization орчинд ажиллах мэдлэг, туршлагатай, | automatic tools мэдлэгтэй | шинэ санал, санаачилга гаргах, багаар болон бусадтай хамтран ажиллах чадвартай, | асуудлыг задлан шинжлэх, дүгнэх, учир шалтгааныг олох, шинэ системийг судлах болон тэдгээрийг бие даан ажиллуулах, | англи хэлийг бичгийн болон ярианы дунд түвшинд эзэмшсэн байх."
Систем хөгжүүлэгч,24,24,0,Zangia,ERP систем хөгжүүлэгч / Програмист,Интер Солюшнс Менежмент ХХК,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Систем хөгжүүлэгч,Боловсрол | Туршлага | Мэдлэг | Ур чадвар | Хандлага | Гадаад хэл
Систем хөгжүүлэгч,24,24,0,Zangia,DEVOPS ХӨГЖҮҮЛЭГЧ,Могул Групп,4000000,4500000,,Мэргэжилтэн,4,Мэргэжилтэн,Систем хөгжүүлэгч,Боловсрол
Систем хөгжүүлэгч,24,24,0,Zangia,Систем шинжээч,Алтан Жолоо Трейд ХХК,4000000,4500000,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Систем хөгжүүлэгч,"Odoo ERP системтэй 5 ба түүнээс дээш жил ажилласан туршлагатай | Бизнес шинжилгээ (business analysis), процесс загварчлал хийх чадвартай"
Систем хөгжүүлэгч,24,24,0,Zangia,ERP Хөгжүүлэгч,Грийн Групп,3000000,3500000,,Менежмент,5,Менежер / Супервайзор,Систем хөгжүүлэгч,"ERP системийн хөгжүүлэлт болон хэрэгжилтэд 1-3 жилийн туршлагатай | SQL, Java, .NET программчлалын хэлний мэдлэгтэй"
