category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Төслийн менежер,71,65,6,Zangia,ТӨСЛИЙН МЕНЕЖЕР /ХЯТАД ХЭЛТЭЙ/,Тэсо Инвестмэнт ХХК,3000000,3500000,,Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Хэлний мэдлэг | Туршлага
Төслийн менежер,71,65,6,Zangia,"Бодлого зохицуулалт, үйл ажиллагааны менежер",Худалдааны санхүүжилтийн корпораци ХХК,3000000,3500000,,Менежмент,7,Ахлах менежер / Нэгжийн удирдлага,Төслийн менежер,Ур чадвар | Ур чадвар
Төслийн менежер,71,65,6,Zangia,Процесс сайжруулалтын менежер,Худалдаа хөгжлийн банк,3500000,4000000,,Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Туршлага
Төслийн менежер,71,65,6,Zangia,ТӨСЛИЙН МЕНЕЖЕР,Мобиком корпораци ХХК,3000000,3500000,"[{'name': 'Хэлний мэдлэг', 'description': 'Англи хэлний ахисан түвшний мэдлэгтэй бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Төслийн менежер,Хэлний мэдлэг | Боловсрол | Туршлага | Туршлага
Төслийн менежер,71,65,6,Zangia,Төслийн зохицуулагч (ЭТТ инженер мэргэжилтэй),Медимпекс Интернэшнл ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн менежер,"эмнэлгийн тоног төхөөрөмжийн инженер, биоинженерчлэл болон холбогдох мэргэжлээр бакалавр зэрэгтэй. | англи хэлний дундаас дээш түвшний мэдлэгтэй, бичгийн болон ярианы чадвар сайн. | интернэт орчинд чөлөөтэй ажиллах, онлайн хайлт, мэдээлэл боловсруулах чадвартай. | олон ажил, даалгаврыг зэрэг зохицуулж ажиллах зохион байгуулах чадвар өндөр. | нямбай, хурдан суралцдаг, гүйцэтгэл сайтай, ажлын ачаалал даах чадвартай. | тууштай, асуудал шийдвэрлэх болон бэрхшээлийг даван туулах ур чадвартай. | шинэ зүйлд суралцах, өөрийгөө тогтмол хөгжүүлэх хүсэл эрмэлзэлтэй. | урт хугацаанд буюу 3+ жил тогтвортой ажиллах боломжтой."
Төслийн менежер,71,65,6,Zangia,Зураг төслийн менежер,Бодь Пропертийз,4000000,4500000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Төслийн менежер,"Архитектор мэргэжилтэй, 10-с дээш жилийн туршлагатай | 3-аас доошгүй жил удирдах түвшинд ажилласан | Англи хэлний Upper Intermediate түвшний мэдлэгтэй"
Төслийн менежер,71,65,6,Zangia,Скрам мастер,Ай Си Ти групп ХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Төслийн менежер,"IT, төслийн менежментийн чиглэлээр бакалавр зэрэгтэй | Agile - Scrum арга зүйн мэдлэгтэй | Jira, Trello, MS Project зэрэг хэрэгсэл дээр ажилладаг"
Төслийн менежер,71,65,6,Zangia,Бүтээгдэхүүний хөгжүүлэлтийн менежер,БҮҮСТ,3000000,3500000,[],Менежмент,6,Менежер / Супервайзор,Төслийн менежер,"бүтээгдэхүүний шаардлага (prd), технологийн төслийн баримт бичиг боловсруулах чадвартай | судалгаа шинжилгээ хийх, дүгнэлт гаргах чадвартай | танилцуулга бэлдэх, илтгэн танилцуулах чадвартай | бие даан суралцах, бие даан асуудлыг шийдэх чадвартай | англи хэлээр ахисан түвшинд уншиж, ойлгох чадвартай | технологид сонирхолтой, технологийн тренд, тэр дундаа adtech, adnetwork-ийн талаар мэдлэгтэй бол давуу тал болно | зөв хандлагатай, хариуцлагатай | зар сурталчилгаа, маркетингийн чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно"
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,Монгол Ай Ди ХХК,4000000,4500000,[],Менежмент,6,Менежер / Супервайзор,Төслийн менежер,"мэдээллийн технологи, програм хангамж, системийн инженерчлэлийн чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | төслийн удирдлага дээр 1+ жил ажилласан туршлагатай | erp төсөл дээр ажилласан туршлагатай бол давуу тал болно | хөгжүүлэлтийн баримт бичиг (brd, fsd, bpmn) боловсруулах чадвартай | төслийн менежментийн аргачлалууд (agile, scrum, waterfall)–ын ойлголттой | production сервер, deployment процессын суурь ойлголттой байх | англи хэл дээр техникийн баримт бичиг унших, бичих чадвартай"
Төслийн менежер,71,65,6,Zangia,ТӨСЛИЙН МЕНЕЖЕР,Нэкст Групп XXK,2500000,3000000,,Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Гадаад хэл | Ур чадвар | Ур чадвар | Багаар ажиллах | Манлайлал
Төслийн менежер,71,65,6,Zangia,"ISO стандарт хариуцсан менежер /""Витафит Юу Би"" ХХК/",Витафит Групп,3000000,3500000,,Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Давуу тал | Туршлага | Мэдлэг | Ур чадвар | Ур чадвар | Гадаад хэл | Хувь хүний чадвар
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,Топологи ХХК,4000000,4500000,[],Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Туршлага | Ур чадвар | Хэлний мэдлэг
Төслийн менежер,71,65,6,Zangia,Ахлах төслийн менежер /ERP system/,Смарт Софтвэйр Групп,4000000,4500000,[],Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Туршлага | Туршлага
Төслийн менежер,71,65,6,Zangia,Төслийн менежер /SAP/,Номин Холдинг,3500000,4000000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн менежер,Боловсрол | Туршлага | Компьютерийн мэдлэг | Ур чадварууд | Давуу тал
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,Ай Си Ти групп ХК,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн менежер,Туршлага | Боловсрол | Ур чадварууд | Мэдлэг | Хэлний мэдлэг
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,Суут инвестмент групп,3000000,3500000,,Менежмент,,Чиг үүргийн удирдлага,Төслийн менежер,
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,М-Си-Эс Техноложис ХХК,4000000,4500000,,Менежмент,7,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Туршлага | Харилцааны чадвар | Agile/Scrum мэдлэг
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,"""Материалимпэкс"" ХК",2100000,2500000,,Менежмент,4,Менежер / Супервайзор,Төслийн менежер,Боловсрол | Туршлага | Төсвийн төлөвлөлт | Харилцааны чадвар
Төслийн менежер,71,65,6,Zangia,Төслийн менежер,Үлэмж Эс Жи Жи Катеринг ХХК,4500000,5000000,[],Менежмент,9,Ахлах менежер / Нэгжийн удирдлага,Төслийн менежер,"төслийн удирдлага болон холбогдох чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй байх; | төслийг удирдан зохион байгуулж байсан болон төслийн менежментийн чиглэлээр ажилласан туршлагатай байх; | баримт бичиг, төсөл боловсруулах, төлөвлөх, үнэлгээ дүгнэлт хийх чадвартай байх; | асуудал шийдвэрлэх, оновчтой шийдэл боловсруулах арга барилтай байх; | бие даан болон багаар ажиллах чадвартай байх; | эмх цэгцтэй, хувийн зохион байгуулалт сайтай байх; | англи хэлний бичгийн болон ярианы ахисан түвшний мэдлэгтэй байх."
