category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Төслийн удирдлагын ажилтан,11,9,2,Zangia,Төслийн админ,Ричвелл Инженеринг ХХК,1800000,2100000,,Ажилтан,3,Ажилтан,Төслийн удирдлагын ажилтан,"инженер болон бизнесийн удирдлагын чиглэлээр бакалавр зэрэгтэй | баримт бичиг боловсруулах чадвартай | англи хэлний дунд түвшний мэдлэгтэй | төслийн хугацаанд хөдөө, орон нутагт томилолтоор ажиллах | инженер чиглэлээр төгссөн бол давуу тал болно."
Төслийн удирдлагын ажилтан,11,9,2,Zangia,ТӨСЛИЙН ЗОХИЦУУЛАГЧ -ОТ болон бусад төсөлд ажилла,Эн Си Си Эс ХХК,2500000,3000000,,Ажилтан,4,Ажилтан,Төслийн удирдлагын ажилтан,"Бизнес, инженер, төслийн удирдлагаар төгссөн | Төслийн компанид ажиллаж байсан туршлагатай | Power BI, англи хэлний ахисан түвшний мэдлэгтэй"
Төслийн удирдлагын ажилтан,11,9,2,Zangia,ТӨСЛҮҮД ХАРИУЦСАН КООРДИНАТОР,Макс Өргөө ХХК,4500000,5000000,[],Менежмент,6,Менежер / Супервайзор,Төслийн удирдлагын ажилтан,"барилгын инженер эсвэл бусад инженерийн мэргэжлийн суурьтай, бакалавр болон түүнээс дээш зэрэгтэй. | төслийн координаторын чиглэлээр 3-аас дээш жил эсвэл төслийн удирдлага, хяналтын багт ажиллаж байсан туршлагатай. | томоохон төслүүдэд ажиллаж байсан барилга угсралт, удирдлагын талын мэдлэг туршлагатай. | бичгийн болон аман харилцааны ур чадвар, илтгэл, хурлын тэмдэглэл хөтлөх ур чадвартай, хурдтай. | багаар ажиллах, шийдвэр гаргах, хэлэлцээр хийх ур чадвартай. | харилцааны соёлтой, ёс зүйтэй, албан бичиг боловсруулах чадвартай | англи хэлний бичгийн болон ярианы дунд түвшний мэдлэгтэй байх /давуу тал болно/"
Төслийн удирдлагын ажилтан,11,9,2,Zangia,PROJECT CONTROLS SPECIALIST,Бадрах Энержи ХХК,3500000,4000000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Төслийн удирдлагын ажилтан,"bachelor’s degree in engineering, construction management, finance or related field | 3 years’ experience in project control, scheduling, preferably in mining construction projects | proficiency in software such as primavera p6, ms project, ms power bi. | ability to manage multiple priorities in a fast-paced environment | strong analytical skills and attention to detail | proficient in english, with excellent written and verbal communication skills."
Төслийн удирдлагын ажилтан,11,9,2,Zangia,ТӨСЛИЙН МЭРГЭЖИЛТЭН,Юнигаз ХХК,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн удирдлагын ажилтан,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар
Төслийн удирдлагын ажилтан,11,9,2,Zangia,ТЕНДЕР ХАРИУЦСАН МЕНЕЖЕР,Урбан Бизнес Групп ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн удирдлагын ажилтан,
Төслийн удирдлагын ажилтан,11,9,2,Zangia,Эрсдлийн төслийн координатор,Мобиком корпораци ХХК,3000000,3500000,[],Мэргэжилтэн,5,Мэргэжилтэн,Төслийн удирдлагын ажилтан,Боловсрол | Туршлага
Төслийн удирдлагын ажилтан,11,9,2,Zangia,Төслийн ажилтан,Фаро Лимитeд Групп ХХК,2100000,2500000,,Ажилтан,4,Ажилтан,Төслийн удирдлагын ажилтан,Боловсрол | Туршлага | Ур чадвар | Хэлний мэдлэг
Төслийн удирдлагын ажилтан,11,9,2,Zangia,Sponsorship & Community Coordinator,Дэлхийн Зөн Монгол ОУБ,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн удирдлагын ажилтан,Bachelor degree | Experience | English | Travel
Төслийн удирдлагын ажилтан,11,9,2,Lambda Global,Төслийн мэргэжилтэн,Unitel,2000000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Төслийн удирдлагын ажилтан,
Төслийн удирдлагын ажилтан,11,9,2,Lambda Global,Төслийн зохицуулагч,NCCS LLC,2500000,3000000,"[{'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}, {'name': 'Шинэ аав/ээжийн уртасгасан чөлөө', 'description': None}, {'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Алсаас ажиллах боломж', 'description': None}, {'name': 'Сургалтын төлбөрийн дэмжлэг', 'description': None}, {'name': 'Зарим өдөр гэрээс ажиллах', 'description': None}, {'name': 'Хүүхэд асрах дэмжлэг', 'description': None}]",Мэргэжилтэн,4,Мэргэжилтэн,Төслийн удирдлагын ажилтан,
