category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Хүний нөөцийн ажилтан,120,109,11,Zangia,Хүний нөөцийн менежер,Мандал Капитал Маркетс ҮЦК,3000000,3500000,,Менежмент,6,Менежер / Супервайзор,Хүний нөөцийн ажилтан,"хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй | мэргэжлээрээ 2-оос дээш жил ажилласан туршлагатай | олон төрлийн судалгаа хийх, дата анализ хийх чадвартай | хөдөлмөрийн тухай хуулийн мэдлэгтэй, ашиглах чадвартай | багаар ажиллах чадвартай | англи хэлний дундаас дээш түвшний мэдлэгтэй | хариуцлагатай, хурдтай ажиллах чадвартай"
Хүний нөөцийн ажилтан,120,109,11,Zangia,Сургалтын зөвлөх,Кэй Эй Майнинг ХХК,3000000,3500000,,Мэргэжилтэн,7,Ахлах мэргэжилтэн,Хүний нөөцийн ажилтан,"менежмент, удирдлага, боловсрол, хүний нөөц мэргэжлээр баклавраас дээш зэрэгтэй | мэргэжлээрээ 3-с дээш жил ажилласан, удирдах ажлын туршлагатай. | судалгаа шинжилгээ, заах арга зүй, удирдах ур чадвартай | харилцааны ур чадвар сайтай | цагийн менежмент зохион байгуулалтын ур чадвартай | компьютерийн хэрэглээний программууд дээр ажиллах чадвартай | англи хэлний мэдлэгтэй байх"
Хүний нөөцийн ажилтан,120,109,11,Zangia,Хүний нөөцийн мэргэжилтэн,Юнител Групп,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ажилтан,Боловсрол | Хэлний мэдлэг | Ур чадварууд
Хүний нөөцийн ажилтан,120,109,11,Zangia,Хүний нөөц сургалт хөгжлийн мэргэжилтэн,Хавцгайт Их Хайрхан ХХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Хүний нөөцийн ажилтан,Боловсрол | Туршлага
Хүний нөөцийн ажилтан,120,109,11,Zangia,Сургалтын менежер / Remax Mongolia /,Нано Интернэйшнл ХХК,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Хүний нөөцийн ажилтан,Ур чадвар
Хүний нөөцийн ажилтан,120,109,11,Zangia,Хүний нөөцийн менежер,Макс Групп,3000000,3500000,,Менежмент,7,Менежер / Супервайзор,Хүний нөөцийн ажилтан,Боловсрол | Туршлага
Хүний нөөцийн ажилтан,120,109,11,Zangia,Хүний нөөцийн мэргэжилтэн,Нойкрафт ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ажилтан,Боловсрол
Хүний нөөцийн ажилтан,120,109,11,Zangia,СОНГОН ШАЛГАРУУЛАЛТ ХАРИУЦСАН МЭРГЭЖИЛТЭН,Монголын Алт (МАК) ХХК,3500000,4000000,,Мэргэжилтэн,5,Мэргэжилтэн,Хүний нөөцийн ажилтан,Боловсрол | Туршлага | Хэлний мэдлэг
Хүний нөөцийн ажилтан,120,109,11,Zangia,"Бүрдүүлэлт, сонгон шалгаруулалт хариуцсан мэргэжилтэн",Абико ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ажилтан,Боловсрол | Туршлага
Хүний нөөцийн ажилтан,120,109,11,Zangia,Ахлах Хүний нөөцийн менежер,Монгол тунжөн майнинг инвестмент групп” ХХК,4500000,5000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Хүний нөөцийн ажилтан,Боловсрол | Туршлага | Хэлний мэдлэг
