category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,"ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /МЭРГЭЖИЛТЭН /",Наран Фүүдс ХХК,2500000,3000000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага | Ур чадварууд
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,Хүний нөөцийн менежер,Эс Ар Трэйд ХХК,2100000,2500000,,Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Мэргэшил | Ур чадварууд
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,Хүний Нөөцийн Менежер,Элгэн ХХК,3000000,3500000,"[{'name': 'Туршлага', 'description': 'HR менежерээр 3-аас доошгүй жил ажилласан байх'}]",Менежмент,7,Менежер / Супервайзор,Хүний нөөцийн ахлах ажилтан,Боловсрол | Хэлний мэдлэг
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,Хүний нөөцийн менежер,Нэткапитал санхүүгийн корпораци,2100000,2500000,"[{'name': 'Сонирхол', 'description': 'Хүний нөөцийн бүрдүүлэлт, сонгон шалгаруулалт, судалгаа хөгжүүлэлт чиглэлээр мэргэших хүсэл сонирхолтой байх'}]",Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Боловсрол | Ур чадварууд
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,Хос Цамхаг ХХК,2500000,3000000,"[{'name': 'Бусад', 'description': 'Өөрийн болон байгууллагын ажилчдын цалингийн хэмжээг гүйцэтгэлийн урамшуулалд тулгуурлан нэмэгдүүлэх боломжтой'}]",Менежмент,7,Менежер / Супервайзор,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР / ашиглалт үйлчилгээ/,Жигүүр Гранд Групп,2100000,2500000,"[{'name': 'Туршлага', 'description': 'Үйлчилгээний салбарт ажиллаж байсан бол давуу тал болно'}]",Мэргэжилтэн,6,Ахлах мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага | Ур чадварууд
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,Милко ХХК,2500000,3000000,"[{'name': 'Туршлага', 'description': 'ERP программ дээр ажиллаж байсан туршлагатай бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,Боловсрол | Ур чадварууд | Ур чадварууд
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,Хүний нөөцийн менежер,ДАЗЛ ХХК,3000000,3500000,,Менежмент,6,Менежер / Супервайзор,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,Хүний нөөцийн менежер,Ривер скай констракшн ХХК,3000000,3500000,,Менежмент,6,Менежер / Супервайзор,Хүний нөөцийн ахлах ажилтан,Боловсрол | Туршлага | Ур чадвар
Хүний нөөцийн ахлах ажилтан,107,104,3,Zangia,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР,Хүнс Экспресс ХХК,2500000,3000000,,Мэргэжилтэн,4,Мэргэжилтэн,Хүний нөөцийн ахлах ажилтан,"хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй | мэргэжлээрээ ажилласан 3 буюу түүнээс дээш жилийн туршлагатай | судалгаа мэдээллийг нэгтгэх, дүгнэх чадвартай | худалдааны байгууллагын онцлогийг мэддэг | харьцааны соёлтой, цагийн менежмент сайтай | дотоод гадаад арга хэмжээ зохион байгуулах, удирдан манлайлах чадвартай | захиргааны чиг үүргүүдийг хэрэгжүүлэх чадвартай"
