source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Zangia,Засвар үйлчилгээ техникийн албаны дарга,Чиглэл ХХК,5000000,5500000,,Менежмент,9,Чиг үүргийн удирдлага,Бусад,"цахилгаан, механик инженерийн чиглэлийн мэргэжилтэй. | 10 жил удирдах ажил хийж байсан ба үүнээс 5-аас дээш жил техникийн засвар үйлчилгээ, тоног төхөөрөмжийн засварын чиглэлээр удирдлагын туршлагатай. | тоног төхөөрөмж, автоматжуулалт, механик, цахилгаан системийн мэдлэгтэй | компютерийн хэрэглээний программ ашиглах чадвартай. ms office (excel, word, powerpoint) | аналитик, техникийн асуудал шийдэх чадвар/гэмтлийг оношлох, шийдлийг боловсруулах, үр дүнг хянах/ | харилцааны чадвар/ хэрэглэгч, зах зээл, удирдлага, багтайгаа хамтран ажиллах чадвартай/ | тасралтгүй сайжруулалт/ тоног төхөөрөмж, процессын үр ашиг, бүтээмжийг дээшлүүлэх санаачилга/"
Zangia,HORECA ҮЙЛ АЖИЛЛАГАА ХАРИУЦСАН ЗАХИРАЛ,Каппэ Бэнэ Монголиа ХХК,4500000,5000000,,Гүйцэтгэх удирдлага,8,Чиг үүргийн удирдлага,Бусад,Боловсрол | Туршлага | Хэлний мэдлэг | Ур чадвар
Zangia,"БОРЛУУЛАЛТ, БИЗНЕС ХӨГЖИЛ ХАРИУЦСАН ЗАХИРАЛ",МЕРА,7500000,8000000,,Гүйцэтгэх удирдлага,8,Чиг үүргийн удирдлага,Бусад,Боловсрол | Туршлага | Мэдлэг | Хэлний мэдлэг | Ур чадвар
Zangia,"Борлуулалт, Үйл ажиллагаа хариуцсан хэлтсийн дарга",БИШРЭЛТ ГРУПП,9000000,10000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Бизнес хөгжлийн менежер,"бизнесийн удирдлага, санхүү менежмент, гадаад харилцааны чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | худалдаа, борлуулалтын салбарт 5-с дээш жил удирдлагын түвшний ажлын туршлагатай | манлайллын өндөр ур чадвартай, 50-с дээш бүрэлдэхүүнтэй алба, хэлтэс, баг бүрдүүлж, гүйцэтгэлийг чиглүүлж байсан туршлагатай | шинэ санаа, өөрчлөлт авчрах сэтгэлгээтэй, эрсдэл тооцох ур чадвартай | санхүүгийн тайлагнал, өгөгдөлд суурилсан шийдвэр гаргах чадвартай | англи хэлний бичгийн болон ярианы өндөр түвшний мэдлэгтэй"
Zangia,Эрүүл мэндийн бизнес хариуцсан захирал,Таван Богд Групп,8000000,9000000,,Менежмент,9,Чиг үүргийн удирдлага,Эрүүл мэндийн салбар хариуцсан технологийн захирал,"бизнесийн удирдлага, борлуулалт маркетингийн чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй | удирдах албан тушаалд 5-с доошгүй ажилласан туршлагатай | удирдан зохион байгуулах, бизнес шинжилгээ хийх, төлөвлөх | гүйцэтгэлийг хянах, шийдвэр гаргах чадвартай | мэдээлэлд дүн шинжилгээ хийх, асуудлыг шийдвэрлэх чадвартай"
Zangia,Борлуулалт маркетинг хариуцсан Захирал ажилд авна.,Чиглэл ХХК,5500000,6000000,,Менежмент,9,Чиг үүргийн удирдлага,Бусад,"маркетинг болон бизнесийн удирдлагаар их дээд сургууль төгссөн | мэргэжлээрээ 10-с доошгүй жил ажилласан байх. худалдаа борлуулалтын чиглэлээр 5-аас дээш жил ажилласан туршлагатай. | 5-аас дээш жил худалдаа борлуулалтын чиглэлээр удирдах ажил хийж байсан туршлагатай. | судалгааны программууд дээр ажиллах чадвартай | манлайлагч, бүтээлч хандлагатай, сэтгэн бодох мэдрэмж өндөртэй | тоон мэдээлэл боловсруулах, дүгнэлт хийх, шийдвэр гаргах чадвартай | удирдан зохион байгуулах чадвартай"
Zangia,"ТӨЛӨВЛӨЛТ, ЧАНАРЫН ХЭЛТСИЙН ДАРГА /ТӨСЛИЙН/",Макс Өргөө ХХК,5500000,6000000,[],Менежмент,8,Чиг үүргийн удирдлага,Төслийн удирдлагын албаны дарга,"барилгын инженер, төслийн менежментийн чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй. | барилгын салбарт 10-аас дээш жил ажилласан, түүнээс ахлах менежер, төслийн менежер, хэлтсийн дарга зэрэг удирдах албан тушаал 4 ба түүнээс дээш жил ажилласан туршлагатай. | барилгын норм дүрэм, стандарт (бнбд, mns, iso)-ын гүнзгий мэдлэгтэй. | барилгын гүйцэтгэлийн технологи, чанарын хяналтын системийн ойлголттой. | хабэа-н хууль дүрэм, хэрэгжилтийн талаар мэдлэгтэй. | зураг төсөл унших, инженерийн шийдэлд дүн шинжилгээ хийх чадвартай. | төсөв гүйцэтгэлийн акт, өөрчлөлтийн захиалгын ойлголттой. | шийдвэр гаргах, эрсдэл тооцох чадвартай | процесс сайжруулалт, стандарт нэвтрүүлэх туршлагатай. | төслийн гүйцэтгэлд анализ хийх, тайлагнах чадвартай | удирдлагын шийдвэр гаргалтад шаардлагатай мэдээллийг нэгтгэх чадвартай | ms excel, word, pp ахисан түвшинд, ms project, primavera мэдлэгтэй. | хариуцлагатай, ёс зүйтэй, асуудалд системтэй, шийдэлд чиглэсэн хандлагатай байх"
Zangia,ХҮНИЙН НӨӨЦИЙН ХЭЛТСИЙН ДАРГА-Катеринг,КАРЬЕР МАСТЕР ХХК,5500000,6000000,[],Менежмент,8,Чиг үүргийн удирдлага,Хүний нөөцийн ахлах ажилтан,"хүний нөөц, бизнесийн удирдлага, хууль эрх зүйн чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй | хүний нөөцийн чиглэлээр 6-аас дээш жил ажилласан туршлагатай, удирдах түвшинд ажиллаж байсан бол давуу тал | хөдөлмөрийн хууль болон холбогдох хууль тогтоомжийн мэдлэгтэй | багаар ажиллах болон удирдан чиглүүлэх чадвартай | сургалт, хөгжлийн төслүүдийг удирдаж байсан туршлагатай | smart болон excel болон бусад оффисын програм дээр ажиллах чадвартай | уул уурхайн салбар болон хоол үйлдвэрлэлийн салбарт ажиллаж байсан бол давуу тал болно"
Zangia,Санхүүгийн албаны захирал (CFO),ГОВЬ РЕСУРС ДЕВЕЛОПМЕНТ ХХК,5500000,6000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Санхүү эрхэлсэн захирал,Боловсрол
Zangia,Уул уурхай хариуцсан захирал,ТИ ЭЙЧ МАЙНИНГ ХХК,9000000,10000000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Бусад,Боловсрол
